dataset,subject,modality,font,delta_snr,mean_par_snr,mean_ctrl_snr,delta_erp,mean_par_erp,mean_ctrl_erp
Angelique,S02,Dig,1F,0.026913821697235107,1.2519413232803345,1.2250275015830994,-0.07853877544403076,0.8212825357913971,0.8998213112354279
Angelique,S02,Dig,20F/A,0.37206292152404785,1.4928529262542725,1.1207900047302246,0.01307135820388794,0.9037745296955109,0.8907031714916229
Angelique,S02,Dig,20F/S,-0.17423391342163086,1.1762713193893433,1.3505052328109741,0.08775299787521362,0.7730499505996704,0.6852969527244568
Angelique,S02,NumWoGE,1F,-0.06838259100914001,1.3296951055526733,1.3980776965618134,0.3159775733947754,1.024778127670288,0.7088005542755127
Angelique,S02,NumWoGE,20F/A,0.5416330099105835,1.4472705125808716,0.9056375026702881,-0.10309919714927673,0.743237167596817,0.8463363647460938
Angelique,S02,NumWoGE,20F/S,0.49915021657943726,1.1999050080776215,0.7007547914981842,0.10571038722991943,0.9514131844043732,0.8457027971744537
Angelique,S03,Dig,1F,-0.22316575050354004,0.9316109716892242,1.1547767221927643,0.0736723393201828,0.5052505731582642,0.43157823383808136
Angelique,S03,Dig,20F/A,0.21187976002693176,1.16569983959198,0.9538200795650482,0.0013718605041503906,0.47227656841278076,0.47090470790863037
Angelique,S03,Dig,20F/S,0.3896920680999756,1.1251761317253113,0.7354840636253357,-0.0024809539318084717,0.4165651649236679,0.4190461188554764
Angelique,S03,NumWoGE,1F,-0.028162598609924316,1.0672027468681335,1.0953653454780579,-0.06475132703781128,0.37265855073928833,0.4374098777770996
Angelique,S03,NumWoGE,20F/A,-0.20538708567619324,0.9074081480503082,1.1127952337265015,0.017747581005096436,0.4428323209285736,0.4250847399234772
Angelique,S03,NumWoGE,20F/S,0.18056610226631165,1.0156314671039581,0.8350653648376465,0.24484138190746307,0.5973097085952759,0.3524683266878128
Angelique,S04,Dig,1F,-0.9662881046533585,0.6071764081716537,1.5734645128250122,-0.12497684359550476,0.9959120452404022,1.120888888835907
Angelique,S04,Dig,20F/A,-0.4852743446826935,1.205573320388794,1.6908476650714874,-0.09201303124427795,0.9770439267158508,1.0690569579601288
Angelique,S04,Dig,20F/S,-0.9002989232540131,0.4846423864364624,1.3849413096904755,0.12483641505241394,1.1332218050956726,1.0083853900432587
Angelique,S04,NumWoGE,1F,-1.2055622041225433,0.8469767868518829,2.0525389909744263,-0.25499194860458374,0.966956615447998,1.2219485640525818
Angelique,S04,NumWoGE,20F/A,-0.5768161788582802,0.5925541445612907,1.169370323419571,-0.1301186978816986,0.8896392583847046,1.0197579562664032
