dataset,modality,font,feature,n,mean_delta,sem,t,p,cohen_d,pct_pos,best_condition
Angelique,Dig,20F/A,SNR,30,0.13626,0.08221,1.658,0.1082,0.303,63.3,True
Angelique,Dig,20F/S,SNR,29,0.05193,0.08208,0.633,0.5321,0.117,58.6,False
Angelique,Dig,1F,SNR,30,0.04743,0.10186,0.466,0.645,0.085,53.3,False
Angelique,Dig,20F/S,diff-ERP,29,0.03613,0.01507,2.397,0.0235,0.445,69.0,False
Angelique,Dig,1F,diff-ERP,30,0.00992,0.01737,0.571,0.5723,0.104,60.0,False
Angelique,Dig,20F/A,diff-ERP,30,0.00756,0.01556,0.486,0.6307,0.089,53.3,True
Angelique,NumWoGE,20F/S,SNR,30,0.09576,0.10953,0.874,0.3891,0.16,50.0,True
Angelique,NumWoGE,20F/A,SNR,30,0.0572,0.08938,0.64,0.5272,0.117,53.3,False
Angelique,NumWoGE,1F,SNR,30,-0.13313,0.13508,-0.986,0.3325,-0.18,40.0,False
Angelique,NumWoGE,20F/S,diff-ERP,30,0.02938,0.02277,1.29,0.2071,0.236,46.7,True
Angelique,NumWoGE,20F/A,diff-ERP,30,0.01149,0.01888,0.608,0.5476,0.111,63.3,False
Angelique,NumWoGE,1F,diff-ERP,30,-0.01679,0.02231,-0.752,0.4578,-0.137,33.3,False
Talia,Dig,10F/S,SNR,15,0.1304,0.12094,1.078,0.2991,0.278,60.0,False
Talia,Dig,20F/HD,SNR,15,0.09365,0.14521,0.645,0.5294,0.167,53.3,False
Talia,Dig,1F,SNR,15,0.08871,0.17687,0.502,0.6238,0.129,53.3,False
Talia,Dig,10F/M,SNR,15,0.04154,0.09921,0.419,0.6818,0.108,46.7,False
Talia,Dig,20F/HD,diff-ERP,15,0.03077,0.02825,1.089,0.2944,0.281,66.7,False
Talia,Dig,1F,diff-ERP,15,0.01681,0.02712,0.62,0.5453,0.16,66.7,False
Talia,Dig,10F/S,diff-ERP,15,0.01013,0.02579,0.393,0.7003,0.101,46.7,False
Talia,Dig,10F/M,diff-ERP,15,-0.02123,0.02243,-0.947,0.3598,-0.244,33.3,False
