dataset,modality,feature,font_a,font_b,mean_a,mean_b,diff,n,p_wilcoxon,sig
Angelique,Dig,SNR,1F,20F/A,0.0474,0.1363,-0.0888,30,0.2801,ns
Angelique,Dig,SNR,20F/A,20F/S,0.1405,0.0519,0.0886,29,0.4047,ns
Angelique,Dig,SNR,1F,20F/S,0.0608,0.0519,0.0089,29,1.0,ns
Angelique,Dig,diff-ERP,20F/A,20F/S,0.0091,0.0361,-0.027,29,0.2132,ns
Angelique,Dig,diff-ERP,1F,20F/S,0.0131,0.0361,-0.0231,29,0.5504,ns
Angelique,Dig,diff-ERP,1F,20F/A,0.0099,0.0076,0.0024,30,0.7457,ns
Angelique,NumWoGE,SNR,1F,20F/A,-0.1331,0.0572,-0.1903,30,0.1048,ns
Angelique,NumWoGE,SNR,1F,20F/S,-0.1331,0.0958,-0.2289,30,0.1347,ns
Angelique,NumWoGE,SNR,20F/A,20F/S,0.0572,0.0958,-0.0386,30,0.2621,ns
Angelique,NumWoGE,diff-ERP,1F,20F/A,-0.0168,0.0115,-0.0283,30,0.1403,ns
Angelique,NumWoGE,diff-ERP,1F,20F/S,-0.0168,0.0294,-0.0462,30,0.2286,ns
Angelique,NumWoGE,diff-ERP,20F/A,20F/S,0.0115,0.0294,-0.0179,30,0.685,ns
Talia,Dig,SNR,10F/M,10F/S,0.0415,0.1304,-0.0889,15,0.6387,ns
Talia,Dig,SNR,10F/M,20F/HD,0.0415,0.0937,-0.0521,15,0.7197,ns
Talia,Dig,SNR,10F/S,1F,0.1304,0.0887,0.0417,15,0.7615,ns
Talia,Dig,SNR,10F/M,1F,0.0415,0.0887,-0.0472,15,0.804,ns
Talia,Dig,SNR,1F,20F/HD,0.0887,0.0937,-0.0049,15,0.9341,ns
Talia,Dig,SNR,10F/S,20F/HD,0.1304,0.0937,0.0367,15,0.978,ns
Talia,Dig,diff-ERP,10F/M,20F/HD,-0.0212,0.0308,-0.052,15,0.0479,*
Talia,Dig,diff-ERP,10F/M,10F/S,-0.0212,0.0101,-0.0314,15,0.2524,ns
Talia,Dig,diff-ERP,10F/M,1F,-0.0212,0.0168,-0.038,15,0.3591,ns
Talia,Dig,diff-ERP,10F/S,20F/HD,0.0101,0.0308,-0.0206,15,0.4212,ns
Talia,Dig,diff-ERP,10F/S,1F,0.0101,0.0168,-0.0067,15,0.6788,ns
Talia,Dig,diff-ERP,1F,20F/HD,0.0168,0.0308,-0.014,15,0.7615,ns
