condition,subject,dataset,modality,n_seq,purity,silhouette
disc_all,S02,Angelique,Mixed,24,0.6667,0.0376
disc_all,S03,Angelique,Mixed,24,0.5,-0.0237
disc_all,S04,Angelique,Mixed,24,0.7083,0.0527
disc_all,S05,Angelique,Mixed,24,0.625,0.0138
disc_all,S07,Angelique,Mixed,24,0.6667,0.0648
disc_all,S08,Angelique,Mixed,24,0.5833,-0.0046
disc_all,S09,Angelique,Mixed,24,0.75,0.0579
disc_all,S10,Angelique,Mixed,24,0.5833,-0.0005
disc_all,S11,Angelique,Mixed,24,0.6667,0.0112
disc_all,S13,Angelique,Mixed,24,0.625,-0.0113
disc_all,S15,Angelique,Mixed,24,0.5833,-0.0446
disc_all,S16,Angelique,Mixed,22,0.6818,0.009
disc_all,S18,Angelique,Mixed,24,0.5833,-0.0344
disc_all,S19,Angelique,Mixed,24,0.5417,-0.0349
disc_all,S21,Angelique,Mixed,24,0.5,-0.0502
disc_all,S22,Angelique,Mixed,24,0.625,0.0234
disc_all,S23,Angelique,Mixed,24,0.5833,-0.0308
disc_all,S24,Angelique,Mixed,24,0.625,0.0025
disc_all,S25,Angelique,Mixed,24,0.7083,0.0728
disc_all,S26,Angelique,Mixed,24,0.5833,-0.0431
disc_all,S27,Angelique,Mixed,24,0.6667,0.0243
disc_all,S28,Angelique,Mixed,24,0.625,-0.0101
disc_all,S29,Angelique,Mixed,24,0.5417,-0.0158
disc_all,S31,Angelique,Mixed,24,0.5417,-0.0126
disc_all,S32,Angelique,Mixed,24,0.5,-0.0252
disc_all,S33,Angelique,Mixed,24,0.5417,-0.0344
disc_all,S34,Angelique,Mixed,24,0.5417,-0.0353
disc_all,S35,Angelique,Mixed,24,0.7083,0.0524
disc_all,S37,Angelique,Mixed,24,0.5833,-0.0327
disc_all,S38,Angelique,Mixed,24,0.5,-0.0445
disc_all,S01,Talia,Dig,24,0.75,0.1359
disc_all,S02,Talia,Dig,24,0.875,0.3257
disc_all,S03,Talia,Dig,24,0.625,0.0613
disc_all,S04,Talia,Dig,24,0.5,-0.0498
disc_all,S05,Talia,Dig,24,1.0,0.8932
disc_all,S06,Talia,Dig,24,0.625,0.0498
disc_all,S07,Talia,Dig,24,0.875,0.2986
disc_all,S08,Talia,Dig,24,0.5,0.0452
disc_all,S09,Talia,Dig,24,0.75,0.1607
disc_all,S10,Talia,Dig,23,0.5217,-0.033
disc_all,S11,Talia,Dig,24,0.625,0.0536
disc_all,S12,Talia,Dig,24,0.625,0.0428
disc_all,S13,Talia,Dig,24,0.75,0.3158
disc_all,S14,Talia,Dig,24,0.5,0.2515
disc_all,S15,Talia,Dig,24,0.5,0.0591
stim_all,S02,Angelique,Mixed,24,0.6667,0.0068
stim_all,S03,Angelique,Mixed,24,0.5833,-0.0512
stim_all,S04,Angelique,Mixed,24,0.5417,-0.0653
stim_all,S05,Angelique,Mixed,24,0.6667,-0.0028
stim_all,S07,Angelique,Mixed,24,0.5,-0.0541
stim_all,S08,Angelique,Mixed,24,0.5417,-0.0182
stim_all,S09,Angelique,Mixed,24,0.5833,-0.0118
stim_all,S10,Angelique,Mixed,24,0.5833,-0.037
stim_all,S11,Angelique,Mixed,24,0.5,-0.0756
stim_all,S13,Angelique,Mixed,24,0.5417,-0.0556
stim_all,S15,Angelique,Mixed,24,0.5,-0.0683
stim_all,S16,Angelique,Mixed,22,0.5909,-0.0454
stim_all,S18,Angelique,Mixed,24,0.5,-0.0428
stim_all,S19,Angelique,Mixed,24,0.5417,-0.0443
stim_all,S21,Angelique,Mixed,24,0.5833,-0.0195
stim_all,S22,Angelique,Mixed,24,0.5417,-0.0213
stim_all,S23,Angelique,Mixed,24,0.5,-0.0517
stim_all,S24,Angelique,Mixed,24,0.5417,-0.0269
stim_all,S25,Angelique,Mixed,24,0.5,-0.0553
stim_all,S26,Angelique,Mixed,24,0.5417,0.0127
stim_all,S27,Angelique,Mixed,24,0.5417,0.0035
stim_all,S28,Angelique,Mixed,24,0.5417,-0.0516
stim_all,S29,Angelique,Mixed,24,0.5,-0.0409
stim_all,S31,Angelique,Mixed,24,0.5,-0.0522
stim_all,S32,Angelique,Mixed,24,0.6667,0.0096
stim_all,S33,Angelique,Mixed,24,0.5,-0.0707
stim_all,S34,Angelique,Mixed,24,0.5417,-0.0451
stim_all,S35,Angelique,Mixed,24,0.625,-0.0065
stim_all,S37,Angelique,Mixed,24,0.5833,0.0059
stim_all,S38,Angelique,Mixed,24,0.5,0.0074
stim_all,S01,Talia,Dig,24,0.5,-0.0691
stim_all,S02,Talia,Dig,24,0.625,0.1322
stim_all,S03,Talia,Dig,24,0.625,0.1431
stim_all,S04,Talia,Dig,24,0.5,0.0214
stim_all,S05,Talia,Dig,24,0.5,-0.0679
stim_all,S06,Talia,Dig,24,0.625,0.0393
stim_all,S07,Talia,Dig,24,0.75,0.1283
stim_all,S08,Talia,Dig,24,0.625,0.0382
stim_all,S09,Talia,Dig,24,0.5,0.0618
stim_all,S10,Talia,Dig,23,0.6087,0.0465
stim_all,S11,Talia,Dig,24,0.5,0.0978
stim_all,S12,Talia,Dig,24,0.75,0.3205
stim_all,S13,Talia,Dig,24,0.875,0.3988
stim_all,S14,Talia,Dig,24,0.625,0.0887
stim_all,S15,Talia,Dig,24,0.75,0.2281
