dataset,modality,font,n_subjects,mean_snr_par,mean_snr_ctrl,mean_diff,t_stat,p_value,cohen_d,pct_par_above
Angelique,Dig,1F,32,1.2986,1.2146,0.084,0.8509,0.4014,0.1504,56.2
Angelique,Dig,20F/A,32,1.1642,1.031,0.1331,1.696,0.0999,0.2998,62.5
Angelique,Dig,20F/S,31,1.1419,1.0829,0.059,0.7521,0.4579,0.1351,58.1
Angelique,NumWoGE,1F,32,1.3514,1.4848,-0.1333,-1.0525,0.3007,-0.1861,40.6
Angelique,NumWoGE,20F/A,32,1.1583,1.1348,0.0235,0.2698,0.7891,0.0477,50.0
Angelique,NumWoGE,20F/S,32,1.3034,1.2339,0.0694,0.6481,0.5217,0.1146,50.0
Talia,Dig,10F/M,15,1.206,1.1644,0.0415,0.4187,0.6818,0.1081,46.7
Talia,Dig,10F/S,15,1.2578,1.1274,0.1304,1.0783,0.2991,0.2784,60.0
Talia,Dig,1F,15,1.3982,1.3095,0.0887,0.5015,0.6238,0.1295,53.3
Talia,Dig,20F/HD,15,1.3945,1.3009,0.0937,0.6449,0.5294,0.1665,53.3
