dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,39.75844,1.0815,0.17188,0.34375,64,True,0.32227500000000003
Angelique,S03,12,6,6,0,44.16004,2.7031,0.01562,0.03125,64,True,0.11715
Angelique,S04,12,6,6,0,34.33825,0.1984,0.39062,0.78125,64,True,0.45071538461538463
Angelique,S05,12,6,6,0,37.66351,1.4791,0.07812,0.15625,64,True,0.21305454545454544
Angelique,S07,12,6,6,0,42.88164,1.7284,0.10938,0.21875,64,True,0.27345
Angelique,S08,12,6,6,0,36.50806,1.0874,0.14062,0.28125,64,True,0.28124
Angelique,S09,12,6,6,0,38.32535,2.0044,0.04688,0.09375,64,True,0.17579999999999998
Angelique,S10,12,6,6,0,33.15915,1.2459,0.14062,0.28125,64,True,0.28124
Angelique,S11,12,6,6,0,39.71822,2.5063,0.01562,0.03125,64,True,0.11715
Angelique,S13,12,6,6,0,45.54367,2.2185,0.04688,0.09375,64,True,0.17579999999999998
Angelique,S15,12,6,6,0,45.77121,2.853,0.01562,0.03125,64,True,0.11715
Angelique,S16,11,6,6,1,40.77716,1.4859,0.07812,0.15625,32,True,0.21305454545454544
Angelique,S18,12,6,6,0,48.19614,2.0165,0.04688,0.09375,64,True,0.17579999999999998
Angelique,S19,12,6,6,0,32.05771,-0.0394,0.45312,0.90625,64,True,0.4687448275862069
Angelique,S21,12,6,6,0,30.49207,0.4015,0.29688,0.59375,64,True,0.38723478260869565
Angelique,S22,12,6,6,0,34.04009,0.6854,0.23438,0.46875,64,True,0.38723478260869565
Angelique,S23,12,6,6,0,33.45949,-0.0894,0.54688,0.90625,64,True,0.54688
Angelique,S24,12,6,6,0,47.10487,2.0575,0.07812,0.15625,64,True,0.21305454545454544
Angelique,S25,12,6,6,0,33.76601,0.6028,0.26562,0.53125,64,True,0.38723478260869565
Angelique,S26,12,6,6,0,34.48368,0.6526,0.26562,0.53125,64,True,0.38723478260869565
Angelique,S27,12,6,6,0,34.07805,1.5968,0.04688,0.09375,64,True,0.17579999999999998
Angelique,S28,12,6,6,0,32.70375,-0.1785,0.42188,0.84375,64,True,0.4520142857142857
Angelique,S29,12,6,6,0,36.07098,0.6468,0.29688,0.59375,64,True,0.38723478260869565
Angelique,S31,12,6,6,0,31.83683,0.4311,0.32812,0.65625,64,True,0.41015
Angelique,S32,12,6,6,0,34.80735,1.1432,0.14062,0.28125,64,True,0.28124
Angelique,S33,12,6,6,0,33.70469,0.8327,0.26562,0.53125,64,True,0.38723478260869565
Angelique,S34,12,6,6,0,52.17453,2.6531,0.01562,0.03125,64,True,0.11715
Angelique,S35,12,6,6,0,34.90555,-0.0103,0.42188,0.84375,64,True,0.4520142857142857
Angelique,S37,12,6,6,0,33.26747,0.0809,0.39062,0.78125,64,True,0.45071538461538463
Angelique,S38,12,6,6,0,34.80034,0.2877,0.29688,0.59375,64,True,0.38723478260869565
Talia,S01,8,4,4,0,51.59147,-0.0295,0.5625,0.875,16,True,0.5625
Talia,S02,8,4,4,0,60.93904,1.4888,0.0625,0.125,16,True,0.078125
Talia,S03,8,4,4,0,62.96185,1.5835,0.0625,0.125,16,True,0.078125
Talia,S04,8,4,4,0,81.42939,1.7493,0.0625,0.125,16,True,0.078125
Talia,S05,8,4,4,0,59.95743,1.1083,0.1875,0.375,16,True,0.20089285714285715
Talia,S06,8,4,4,0,65.25516,1.6333,0.0625,0.125,16,True,0.078125
Talia,S07,8,4,4,0,70.15,2.2674,0.0625,0.125,16,True,0.078125
Talia,S08,8,4,4,0,67.22952,1.8849,0.0625,0.125,16,True,0.078125
Talia,S09,8,4,4,0,80.87765,1.8553,0.0625,0.125,16,True,0.078125
Talia,S10,8,4,4,0,58.2904,0.869,0.1875,0.375,16,True,0.20089285714285715
Talia,S11,8,4,4,0,70.0518,2.1471,0.0625,0.125,16,True,0.078125
Talia,S12,8,4,4,0,82.31517,2.1665,0.0625,0.125,16,True,0.078125
Talia,S13,8,4,4,0,62.53418,1.68,0.0625,0.125,16,True,0.078125
Talia,S14,8,4,4,0,70.9628,2.2189,0.0625,0.125,16,True,0.078125
Talia,S15,8,4,4,0,66.06168,2.0121,0.0625,0.125,16,True,0.078125
