dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,0.04942,0.4895,0.36719,0.73438,64,True,0.747075
Angelique,S03,12,6,6,0,0.07352,0.7154,0.25781,0.51562,64,True,0.747075
Angelique,S04,12,6,6,0,-0.07639,-0.9053,0.72656,0.54688,64,True,0.9476869565217392
Angelique,S05,12,6,6,0,-0.10699,-1.2895,0.88281,0.23438,64,True,0.9617482758620689
Angelique,S07,12,6,6,0,0.1655,1.4085,0.10156,0.20312,64,True,0.6093599999999999
Angelique,S08,12,6,6,0,0.01151,0.0661,0.47656,0.95312,64,True,0.777142105263158
Angelique,S09,12,6,6,0,0.04495,0.4928,0.32031,0.64062,64,True,0.747075
Angelique,S10,12,6,6,0,0.06048,0.587,0.30469,0.60938,64,True,0.747075
Angelique,S11,12,6,6,0,-0.01124,-0.29,0.57031,0.85938,64,True,0.8370571428571428
Angelique,S13,12,6,6,0,0.06242,0.8829,0.19531,0.39062,64,True,0.747075
Angelique,S15,12,6,6,0,0.07694,1.5016,0.07031,0.14062,64,True,0.5273249999999999
Angelique,S16,11,6,6,1,0.1143,1.6388,0.04688,0.09375,32,True,0.46879999999999994
Angelique,S18,12,6,6,0,-0.15018,-1.1013,0.83594,0.32812,64,True,0.9617482758620689
Angelique,S19,12,6,6,0,0.01184,0.1359,0.42969,0.85938,64,True,0.7582764705882353
Angelique,S21,12,6,6,0,-0.12753,-0.9773,0.78906,0.42188,64,True,0.9617482758620689
Angelique,S22,12,6,6,0,-0.10279,-0.9485,0.80469,0.39062,64,True,0.9617482758620689
Angelique,S23,12,6,6,0,0.11953,1.9308,0.02344,0.04688,64,True,0.35159999999999997
Angelique,S24,12,6,6,0,0.02057,0.5847,0.30469,0.60938,64,True,0.747075
Angelique,S25,12,6,6,0,-0.14268,-1.8623,0.97656,0.04688,64,True,0.97656
Angelique,S26,12,6,6,0,-0.06756,-1.2475,0.89844,0.20312,64,True,0.9617482758620689
Angelique,S27,12,6,6,0,0.02425,0.4399,0.33594,0.67188,64,True,0.747075
Angelique,S28,12,6,6,0,-0.01309,-0.1567,0.58594,0.82812,64,True,0.8370571428571428
Angelique,S29,12,6,6,0,0.05118,0.6114,0.32031,0.64062,64,True,0.747075
Angelique,S31,12,6,6,0,-0.02479,-0.5951,0.71094,0.57812,64,True,0.9476869565217392
Angelique,S32,12,6,6,0,0.08942,2.0685,0.00781,0.01562,64,True,0.2343
Angelique,S33,12,6,6,0,-0.07676,-1.4989,0.92969,0.14062,64,True,0.9617482758620689
Angelique,S34,12,6,6,0,0.00447,0.0833,0.49219,0.98438,64,True,0.777142105263158
Angelique,S35,12,6,6,0,0.05507,0.5946,0.30469,0.60938,64,True,0.747075
Angelique,S37,12,6,6,0,0.0159,0.3112,0.39844,0.79688,64,True,0.747075
Angelique,S38,12,6,6,0,0.02866,0.3738,0.39844,0.79688,64,True,0.747075
Talia,S01,8,4,4,0,0.0241,0.2387,0.40625,0.8125,16,True,0.6640625
Talia,S02,8,4,4,0,0.04373,1.0156,0.21875,0.4375,16,True,0.65625
Talia,S03,8,4,4,0,-0.00446,-0.189,0.53125,0.9375,16,True,0.6640625
Talia,S04,8,4,4,0,-0.0917,-1.1323,0.84375,0.3125,16,True,0.9040178571428571
Talia,S05,8,4,4,0,0.01507,0.1408,0.46875,0.9375,16,True,0.6640625
Talia,S06,8,4,4,0,-0.05061,-1.9178,0.96875,0.0625,16,True,0.96875
Talia,S07,8,4,4,0,0.33386,1.799,0.03125,0.0625,16,True,0.1171875
Talia,S08,8,4,4,0,0.06117,0.4488,0.40625,0.8125,16,True,0.6640625
Talia,S09,8,4,4,0,0.5055,1.6686,0.03125,0.0625,16,True,0.1171875
Talia,S10,8,4,4,0,0.06915,1.7933,0.03125,0.0625,16,True,0.1171875
Talia,S11,8,4,4,0,0.08072,0.5468,0.34375,0.6875,16,True,0.6640625
Talia,S12,8,4,4,0,0.10001,0.6246,0.34375,0.6875,16,True,0.6640625
Talia,S13,8,4,4,0,0.14975,1.6706,0.03125,0.0625,16,True,0.1171875
Talia,S14,8,4,4,0,-0.00621,-0.1176,0.53125,0.9375,16,True,0.6640625
Talia,S15,8,4,4,0,-0.01569,-0.3142,0.59375,0.8125,16,True,0.6850961538461539
