dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,0.14949,1.572,0.05469,0.10938,64,True,0.27698181818181816
Angelique,S03,12,6,6,0,0.05618,1.2039,0.13281,0.26562,64,True,0.332025
Angelique,S04,12,6,6,0,-0.11384,-0.9088,0.77344,0.45312,64,True,0.8001103448275861
Angelique,S05,12,6,6,0,-0.0418,-0.7146,0.74219,0.51562,64,True,0.8001103448275861
Angelique,S07,12,6,6,0,0.21864,1.4682,0.10156,0.20312,64,True,0.27698181818181816
Angelique,S08,12,6,6,0,0.05257,1.2253,0.08594,0.17188,64,True,0.27698181818181816
Angelique,S09,12,6,6,0,0.02716,1.0289,0.14844,0.29688,64,True,0.34255384615384615
Angelique,S10,12,6,6,0,0.01184,0.211,0.42969,0.85938,64,True,0.6361571428571429
Angelique,S11,12,6,6,0,-0.00466,-0.0397,0.55469,0.89062,64,True,0.6933625
Angelique,S13,12,6,6,0,0.10152,1.368,0.10156,0.20312,64,True,0.27698181818181816
Angelique,S15,12,6,6,0,0.12341,1.4715,0.10156,0.20312,64,True,0.27698181818181816
Angelique,S16,11,6,6,1,0.17909,1.4289,0.07812,0.15625,32,True,0.27698181818181816
Angelique,S18,12,6,6,0,-0.038,-0.8066,0.75781,0.48438,64,True,0.8001103448275861
Angelique,S19,12,6,6,0,0.01816,0.2815,0.38281,0.76562,64,True,0.6361571428571429
Angelique,S21,12,6,6,0,0.02415,0.2232,0.44531,0.89062,64,True,0.6361571428571429
Angelique,S22,12,6,6,0,-0.03013,-0.6105,0.71094,0.57812,64,True,0.8001103448275861
Angelique,S23,12,6,6,0,0.07119,1.762,0.03906,0.07812,64,True,0.27698181818181816
Angelique,S24,12,6,6,0,0.0755,1.3889,0.08594,0.17188,64,True,0.27698181818181816
Angelique,S25,12,6,6,0,-0.03297,-0.7335,0.72656,0.54688,64,True,0.8001103448275861
Angelique,S26,12,6,6,0,0.04458,1.7199,0.03906,0.07812,64,True,0.27698181818181816
Angelique,S27,12,6,6,0,0.06919,1.3123,0.10156,0.20312,64,True,0.27698181818181816
Angelique,S28,12,6,6,0,0.01065,0.1575,0.44531,0.89062,64,True,0.6361571428571429
Angelique,S29,12,6,6,0,0.00806,0.0973,0.39844,0.79688,64,True,0.6361571428571429
Angelique,S31,12,6,6,0,0.0142,0.2873,0.49219,0.98438,64,True,0.6623608695652173
Angelique,S32,12,6,6,0,0.11317,1.5035,0.05469,0.10938,64,True,0.27698181818181816
Angelique,S33,12,6,6,0,-0.03977,-0.7983,0.80469,0.39062,64,True,0.80469
Angelique,S34,12,6,6,0,-0.00264,-0.0322,0.50781,0.98438,64,True,0.6623608695652173
Angelique,S35,12,6,6,0,0.0246,0.2966,0.36719,0.73438,64,True,0.6361571428571429
Angelique,S37,12,6,6,0,0.0566,0.8636,0.24219,0.48438,64,True,0.51562
Angelique,S38,12,6,6,0,0.03637,0.5327,0.25781,0.51562,64,True,0.51562
Talia,S01,8,4,4,0,0.00209,0.0239,0.46875,0.9375,16,True,0.5859375
Talia,S02,8,4,4,0,0.04155,0.6205,0.34375,0.6875,16,True,0.5859375
Talia,S03,8,4,4,0,0.01056,0.5144,0.34375,0.6875,16,True,0.5859375
Talia,S04,8,4,4,0,-0.09513,-1.4648,0.90625,0.1875,16,True,0.96875
Talia,S05,8,4,4,0,0.04755,0.2976,0.46875,0.9375,16,True,0.5859375
Talia,S06,8,4,4,0,-0.08365,-1.5748,0.96875,0.0625,16,True,0.96875
Talia,S07,8,4,4,0,0.23207,1.8891,0.03125,0.0625,16,True,0.15625
Talia,S08,8,4,4,0,0.04225,0.5207,0.40625,0.8125,16,True,0.5859375
Talia,S09,8,4,4,0,0.41728,1.7585,0.03125,0.0625,16,True,0.15625
Talia,S10,8,4,4,0,0.10862,1.7272,0.03125,0.0625,16,True,0.15625
Talia,S11,8,4,4,0,0.10072,0.674,0.21875,0.4375,16,True,0.5859375
Talia,S12,8,4,4,0,0.07233,0.5403,0.28125,0.5625,16,True,0.5859375
Talia,S13,8,4,4,0,0.03854,0.4804,0.40625,0.8125,16,True,0.5859375
Talia,S14,8,4,4,0,0.00743,0.1271,0.46875,0.9375,16,True,0.5859375
Talia,S15,8,4,4,0,-0.0251,-0.5185,0.65625,0.6875,16,True,0.7572115384615384
