dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,0.1047,1.7353,0.03906,0.07812,64,True,0.29295
Angelique,S03,12,6,6,0,0.03386,1.1439,0.13281,0.26562,64,True,0.48678461538461537
Angelique,S04,12,6,6,0,0.04384,1.7228,0.05469,0.10938,64,True,0.32814
Angelique,S05,12,6,6,0,0.02547,0.4025,0.35156,0.70312,64,True,0.5550947368421052
Angelique,S07,12,6,6,0,0.03963,1.0399,0.16406,0.32812,64,True,0.48678461538461537
Angelique,S08,12,6,6,0,0.04117,0.4322,0.30469,0.60938,64,True,0.5550947368421052
Angelique,S09,12,6,6,0,-0.01037,-0.3661,0.63281,0.73438,64,True,0.796872
Angelique,S10,12,6,6,0,-0.09129,-0.6623,0.71094,0.57812,64,True,0.807288888888889
Angelique,S11,12,6,6,0,0.08616,1.4446,0.07031,0.14062,64,True,0.35155
Angelique,S13,12,6,6,0,0.00822,0.1699,0.47656,0.95312,64,True,0.6808
Angelique,S15,12,6,6,0,0.0406,1.1292,0.17969,0.35938,64,True,0.48678461538461537
Angelique,S16,11,6,6,1,0.03999,-0.7565,0.79688,0.40625,32,True,0.8538
Angelique,S18,12,6,6,0,0.00966,0.3308,0.35156,0.70312,64,True,0.5550947368421052
Angelique,S19,12,6,6,0,-0.02398,-0.6627,0.72656,0.54688,64,True,0.807288888888889
Angelique,S21,12,6,6,0,0.18387,2.0579,0.00781,0.01562,64,True,0.11715
Angelique,S22,12,6,6,0,0.06805,1.2106,0.19531,0.39062,64,True,0.48678461538461537
Angelique,S23,12,6,6,0,0.01368,0.4527,0.32031,0.64062,64,True,0.5550947368421052
Angelique,S24,12,6,6,0,0.07057,1.0794,0.16406,0.32812,64,True,0.48678461538461537
Angelique,S25,12,6,6,0,0.05882,0.8872,0.21094,0.42188,64,True,0.48678461538461537
Angelique,S26,12,6,6,0,0.10032,1.9867,0.00781,0.01562,64,True,0.11715
Angelique,S27,12,6,6,0,-0.02845,-0.3328,0.64844,0.70312,64,True,0.796872
Angelique,S28,12,6,6,0,-0.0041,-0.0484,0.50781,0.98438,64,True,0.6924681818181818
Angelique,S29,12,6,6,0,0.07906,0.6269,0.27344,0.54688,64,True,0.5550947368421052
Angelique,S31,12,6,6,0,0.07,1.585,0.03906,0.07812,64,True,0.29295
Angelique,S32,12,6,6,0,-0.06424,-0.7234,0.66406,0.67188,64,True,0.796872
Angelique,S33,12,6,6,0,0.11422,1.2995,0.13281,0.26562,64,True,0.48678461538461537
Angelique,S34,12,6,6,0,-0.02539,-1.1302,0.86719,0.26562,64,True,0.8970931034482759
Angelique,S35,12,6,6,0,-0.07828,-1.6304,0.97656,0.04688,64,True,0.97656
Angelique,S37,12,6,6,0,0.01176,0.0811,0.44531,0.89062,64,True,0.6679649999999999
Angelique,S38,12,6,6,0,0.03913,0.7912,0.28906,0.57812,64,True,0.5550947368421052
Talia,S01,8,4,4,0,0.00691,0.0817,0.40625,0.8125,16,True,0.90625
Talia,S02,8,4,4,0,-0.01645,-0.6826,0.71875,0.5625,16,True,0.90625
Talia,S03,8,4,4,0,0.04441,1.1124,0.15625,0.3125,16,True,0.78125
Talia,S04,8,4,4,0,-0.01699,-1.0584,0.78125,0.4375,16,True,0.90625
Talia,S05,8,4,4,0,0.00857,0.1998,0.40625,0.8125,16,True,0.90625
Talia,S06,8,4,4,0,-0.04247,-0.6506,0.71875,0.5625,16,True,0.90625
Talia,S07,8,4,4,0,-0.04003,-1.2713,0.90625,0.1875,16,True,0.90625
Talia,S08,8,4,4,0,-0.05211,-1.1919,0.84375,0.3125,16,True,0.90625
Talia,S09,8,4,4,0,-0.01605,-0.3655,0.59375,0.8125,16,True,0.90625
Talia,S10,8,4,4,0,0.08156,1.0774,0.15625,0.3125,16,True,0.78125
Talia,S11,8,4,4,0,0.05068,1.1874,0.03125,0.0625,16,True,0.46875
Talia,S12,8,4,4,0,-0.07424,-0.6907,0.65625,0.6875,16,True,0.90625
Talia,S13,8,4,4,0,-0.14777,-1.4077,0.90625,0.1875,16,True,0.90625
Talia,S14,8,4,4,0,0.03205,0.9577,0.21875,0.4375,16,True,0.8203125
Talia,S15,8,4,4,0,-0.02001,-1.0266,0.78125,0.4375,16,True,0.90625
