dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,13.69568,0.7887,0.16406,0.32812,64,True,0.5468666666666667
Angelique,S03,12,6,6,0,13.17507,1.8481,0.00781,0.01562,64,True,0.2343
Angelique,S04,12,6,6,0,13.52677,1.8138,0.05469,0.10938,64,True,0.32814
Angelique,S05,12,6,6,0,12.23696,-1.0341,0.85156,0.29688,64,True,0.9207642857142858
Angelique,S07,12,6,6,0,12.07858,0.3547,0.23438,0.46875,64,True,0.6392181818181819
Angelique,S08,12,6,6,0,12.39828,-0.5231,0.67188,0.65625,64,True,0.9162
Angelique,S09,12,6,6,0,13.02357,0.4161,0.35156,0.70312,64,True,0.7324125
Angelique,S10,12,6,6,0,12.2244,0.182,0.45312,0.90625,64,True,0.7996235294117647
Angelique,S11,12,6,6,0,12.72664,1.4361,0.07812,0.15625,64,True,0.3348
Angelique,S13,12,6,6,0,11.60092,-0.6074,0.70312,0.59375,64,True,0.9171130434782608
Angelique,S15,12,6,6,0,11.88244,0.1404,0.39062,0.78125,64,True,0.7324125
Angelique,S16,11,6,6,1,12.66754,-1.0472,0.85938,0.28125,32,True,0.9207642857142858
Angelique,S18,12,6,6,0,11.86673,-0.6979,0.76562,0.46875,64,True,0.9207642857142858
Angelique,S19,12,6,6,0,11.24949,-0.931,0.85938,0.28125,64,True,0.9207642857142858
Angelique,S21,12,6,6,0,12.10432,0.6921,0.27344,0.54688,64,True,0.6836000000000001
Angelique,S22,12,6,6,0,12.33767,-0.3336,0.61719,0.76562,64,True,0.8816999999999999
Angelique,S23,12,6,6,0,11.87687,-0.4602,0.50781,0.98438,64,True,0.8018052631578947
Angelique,S24,12,6,6,0,11.98792,0.2174,0.49219,0.98438,64,True,0.8018052631578947
Angelique,S25,12,6,6,0,12.77386,0.1515,0.39062,0.78125,64,True,0.7324125
Angelique,S26,12,6,6,0,13.08289,1.2788,0.07812,0.15625,64,True,0.3348
Angelique,S27,12,6,6,0,13.31799,1.525,0.10156,0.20312,64,True,0.38084999999999997
Angelique,S28,12,6,6,0,12.3882,0.8677,0.22656,0.45312,64,True,0.6392181818181819
Angelique,S29,12,6,6,0,12.458,0.5254,0.33594,0.67188,64,True,0.7324125
Angelique,S31,12,6,6,0,13.25122,1.5538,0.05469,0.10938,64,True,0.32814
Angelique,S32,12,6,6,0,12.10481,-0.9331,0.82031,0.35938,64,True,0.9207642857142858
Angelique,S33,12,6,6,0,10.49268,-1.9797,0.99219,0.01562,64,True,0.99219
Angelique,S34,12,6,6,0,10.94296,-1.6837,0.97656,0.04688,64,True,0.99219
Angelique,S35,12,6,6,0,15.25624,2.3895,0.03906,0.07812,64,True,0.32814
Angelique,S37,12,6,6,0,12.55613,-0.4159,0.60938,0.78125,64,True,0.8816999999999999
Angelique,S38,12,6,6,0,13.90774,1.9275,0.05469,0.10938,64,True,0.32814
Talia,S01,8,4,4,0,17.87925,-0.4353,0.6875,0.625,16,True,0.859375
Talia,S02,8,4,4,0,19.05425,1.6625,0.03125,0.0625,16,True,0.46875
Talia,S03,8,4,4,0,18.06717,-0.057,0.40625,0.8125,16,True,0.8096590909090909
Talia,S04,8,4,4,0,18.18508,-1.5494,0.90625,0.1875,16,True,0.96875
Talia,S05,8,4,4,0,20.03986,1.3383,0.1875,0.375,16,True,0.703125
Talia,S06,8,4,4,0,18.46336,-0.0655,0.4375,0.875,16,True,0.8096590909090909
Talia,S07,8,4,4,0,22.08403,1.4306,0.1875,0.375,16,True,0.703125
Talia,S08,8,4,4,0,18.96662,-0.3999,0.59375,0.8125,16,True,0.8096590909090909
Talia,S09,8,4,4,0,17.30065,-1.4965,0.96875,0.0625,16,True,0.96875
Talia,S10,8,4,4,0,19.7345,1.5732,0.0625,0.125,16,True,0.46875
Talia,S11,8,4,4,0,18.81536,0.4433,0.28125,0.5625,16,True,0.8096590909090909
Talia,S12,8,4,4,0,19.27332,0.0628,0.40625,0.8125,16,True,0.8096590909090909
Talia,S13,8,4,4,0,18.49124,-0.1738,0.5625,0.875,16,True,0.8096590909090909
Talia,S14,8,4,4,0,19.2342,-0.0813,0.53125,0.9375,16,True,0.8096590909090909
Talia,S15,8,4,4,0,18.03362,-0.9607,0.8125,0.375,16,True,0.9375
