dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,0.59607,1.2801,0.02344,0.04688,64,True,0.35159999999999997
Angelique,S03,12,6,6,0,2.00518,0.8917,0.39844,0.79688,64,True,0.79688
Angelique,S04,12,6,6,0,-1.75851,-1.1491,0.96094,0.07812,64,True,0.97656
Angelique,S05,12,6,6,0,-0.05629,-0.1315,0.50781,0.98438,64,True,0.8724000000000001
Angelique,S07,12,6,6,0,0.44589,1.2831,0.16406,0.32812,64,True,0.5390699999999999
Angelique,S08,12,6,6,0,0.80709,0.6401,0.44531,0.89062,64,True,0.83495625
Angelique,S09,12,6,6,0,-0.29145,-0.7648,0.57031,0.85938,64,True,0.87891
Angelique,S10,12,6,6,0,-0.24474,-0.2871,0.58594,0.82812,64,True,0.87891
Angelique,S11,12,6,6,0,0.06333,1.0781,0.17969,0.35938,64,True,0.5390699999999999
Angelique,S13,12,6,6,0,-5.03948,-0.9875,0.64844,0.70312,64,True,0.9263428571428571
Angelique,S15,12,6,6,0,0.26744,1.6213,0.08594,0.17188,64,True,0.5390699999999999
Angelique,S16,11,6,6,1,0.04347,1.0747,0.10938,0.21875,32,True,0.5390699999999999
Angelique,S18,12,6,6,0,-0.60792,-1.2025,0.89844,0.20312,64,True,0.9626142857142856
Angelique,S19,12,6,6,0,-0.04758,-0.3388,0.52344,0.95312,64,True,0.8724000000000001
Angelique,S21,12,6,6,0,0.44773,0.504,0.28906,0.57812,64,True,0.7883454545454545
Angelique,S22,12,6,6,0,-3.47397,-0.9906,0.75781,0.48438,64,True,0.9472625
Angelique,S23,12,6,6,0,0.0248,0.2009,0.32031,0.64062,64,True,0.79688
Angelique,S24,12,6,6,0,-0.27199,-1.2928,0.97656,0.04688,64,True,0.97656
Angelique,S25,12,6,6,0,0.42461,1.2846,0.13281,0.26562,64,True,0.5390699999999999
Angelique,S26,12,6,6,0,0.08152,0.9565,0.17969,0.35938,64,True,0.5390699999999999
Angelique,S27,12,6,6,0,0.4989,1.4085,0.08594,0.17188,64,True,0.5390699999999999
Angelique,S28,12,6,6,0,-61.50758,-1.0006,0.80469,0.39062,64,True,0.9626142857142856
Angelique,S29,12,6,6,0,-0.19984,-0.9382,0.69531,0.60938,64,True,0.9472625
Angelique,S31,12,6,6,0,0.02127,0.2893,0.38281,0.76562,64,True,0.79688
Angelique,S32,12,6,6,0,-1.40955,-1.3183,0.86719,0.26562,64,True,0.9626142857142856
Angelique,S33,12,6,6,0,0.46661,0.6644,0.35156,0.70312,64,True,0.79688
Angelique,S34,12,6,6,0,0.03037,1.0816,0.16406,0.32812,64,True,0.5390699999999999
Angelique,S35,12,6,6,0,0.15873,1.8935,0.02344,0.04688,64,True,0.35159999999999997
Angelique,S37,12,6,6,0,-0.07211,-0.769,0.75781,0.48438,64,True,0.9472625
Angelique,S38,12,6,6,0,-0.74471,-1.3883,0.85156,0.29688,64,True,0.9626142857142856
Talia,S01,8,4,4,0,0.37134,1.2344,0.03125,0.0625,16,True,0.15625
Talia,S02,8,4,4,0,0.01013,0.5349,0.28125,0.5625,16,True,0.52734375
Talia,S03,8,4,4,0,-0.00148,-0.1186,0.53125,0.9375,16,True,0.7244318181818182
Talia,S04,8,4,4,0,-0.32206,-0.6102,0.71875,0.5625,16,True,0.8293269230769231
Talia,S05,8,4,4,0,0.16262,1.4309,0.09375,0.1875,16,True,0.3515625
Talia,S06,8,4,4,0,-0.1787,-1.1136,0.84375,0.3125,16,True,0.84375
Talia,S07,8,4,4,0,1.24407,1.1359,0.03125,0.0625,16,True,0.15625
Talia,S08,8,4,4,0,-0.52864,-1.0402,0.84375,0.3125,16,True,0.84375
Talia,S09,8,4,4,0,4.569,1.2151,0.15625,0.3125,16,True,0.390625
Talia,S10,8,4,4,0,0.14298,0.9197,0.15625,0.3125,16,True,0.390625
Talia,S11,8,4,4,0,1.61013,0.7831,0.21875,0.4375,16,True,0.46875
Talia,S12,8,4,4,0,0.16297,0.8198,0.46875,0.9375,16,True,0.7244318181818182
Talia,S13,8,4,4,0,-0.16267,-0.7457,0.53125,0.9375,16,True,0.7244318181818182
Talia,S14,8,4,4,0,0.13137,1.2579,0.03125,0.0625,16,True,0.15625
Talia,S15,8,4,4,0,-0.33329,-0.9031,0.71875,0.5625,16,True,0.8293269230769231
