dataset,subject,n_blocks,n_par,n_strata,degenerate_strata,stat,z,p,p_two,n_assignments,exact,q
Angelique,S02,12,6,6,0,0.48686,1.3505,0.08594,0.17188,64,True,0.5077999999999999
Angelique,S03,12,6,6,0,0.34807,1.5717,0.03906,0.07812,64,True,0.5077999999999999
Angelique,S04,12,6,6,0,-1.1925,-1.7674,0.96094,0.07812,64,True,0.96094
Angelique,S05,12,6,6,0,-0.02224,-0.052,0.53906,0.92188,64,True,0.7031217391304349
Angelique,S07,12,6,6,0,1.69537,1.5264,0.03906,0.07812,64,True,0.5077999999999999
Angelique,S08,12,6,6,0,0.12705,0.4261,0.33594,0.67188,64,True,0.5928352941176471
Angelique,S09,12,6,6,0,0.33495,0.8292,0.38281,0.76562,64,True,0.5976600000000001
Angelique,S10,12,6,6,0,0.30369,1.152,0.13281,0.26562,64,True,0.55665
Angelique,S11,12,6,6,0,-0.01381,-0.0288,0.50781,0.98438,64,True,0.6924681818181818
Angelique,S13,12,6,6,0,0.55507,1.5974,0.05469,0.10938,64,True,0.5077999999999999
Angelique,S15,12,6,6,0,0.46454,1.5011,0.08594,0.17188,64,True,0.5077999999999999
Angelique,S16,11,6,6,1,0.07524,0.4961,0.32812,0.65625,32,True,0.5928352941176471
Angelique,S18,12,6,6,0,-0.15851,-0.5419,0.66406,0.67188,64,True,0.7114928571428571
Angelique,S19,12,6,6,0,-0.13169,-0.4445,0.66406,0.67188,64,True,0.7114928571428571
Angelique,S21,12,6,6,0,0.33615,0.6055,0.27344,0.54688,64,True,0.5859428571428572
Angelique,S22,12,6,6,0,0.10334,0.3302,0.39844,0.79688,64,True,0.5976600000000001
Angelique,S23,12,6,6,0,0.508,0.716,0.24219,0.48438,64,True,0.5589
Angelique,S24,12,6,6,0,-0.53673,-1.3077,0.91406,0.17188,64,True,0.9455793103448277
Angelique,S25,12,6,6,0,0.40313,1.2469,0.10156,0.20312,64,True,0.5077999999999999
Angelique,S26,12,6,6,0,0.19213,0.4668,0.32031,0.64062,64,True,0.5928352941176471
Angelique,S27,12,6,6,0,0.05073,0.1871,0.47656,0.95312,64,True,0.6808
Angelique,S28,12,6,6,0,-0.3217,-0.6508,0.60156,0.79688,64,True,0.7114928571428571
Angelique,S29,12,6,6,0,-0.23549,-0.4892,0.63281,0.73438,64,True,0.7114928571428571
Angelique,S31,12,6,6,0,0.29516,0.9367,0.19531,0.39062,64,True,0.5589
Angelique,S32,12,6,6,0,-0.17069,-0.3475,0.58594,0.82812,64,True,0.7114928571428571
Angelique,S33,12,6,6,0,0.15173,0.2514,0.39844,0.79688,64,True,0.5976600000000001
Angelique,S34,12,6,6,0,0.60954,0.8334,0.22656,0.45312,64,True,0.5589
Angelique,S35,12,6,6,0,0.50692,1.1149,0.14844,0.29688,64,True,0.55665
Angelique,S37,12,6,6,0,0.5069,0.9176,0.21094,0.42188,64,True,0.5589
Angelique,S38,12,6,6,0,0.36366,0.844,0.22656,0.45312,64,True,0.5589
Talia,S01,8,4,4,0,0.12208,0.6487,0.28125,0.5625,16,True,0.515625
Talia,S02,8,4,4,0,0.37233,0.9055,0.34375,0.6875,16,True,0.515625
Talia,S03,8,4,4,0,0.16723,0.6449,0.28125,0.5625,16,True,0.515625
Talia,S04,8,4,4,0,-0.50618,-1.2405,0.90625,0.1875,16,True,0.90625
Talia,S05,8,4,4,0,0.62395,1.3309,0.09375,0.1875,16,True,0.3515625
Talia,S06,8,4,4,0,-0.61236,-1.3141,0.90625,0.1875,16,True,0.90625
Talia,S07,8,4,4,0,1.78724,1.7612,0.03125,0.0625,16,True,0.3515625
Talia,S08,8,4,4,0,0.12472,0.4072,0.34375,0.6875,16,True,0.515625
Talia,S09,8,4,4,0,2.01065,1.5205,0.09375,0.1875,16,True,0.3515625
Talia,S10,8,4,4,0,0.35329,1.2423,0.09375,0.1875,16,True,0.3515625
Talia,S11,8,4,4,0,0.484,1.1321,0.15625,0.3125,16,True,0.46875
Talia,S12,8,4,4,0,0.41614,0.5443,0.34375,0.6875,16,True,0.515625
Talia,S13,8,4,4,0,-0.00534,-0.037,0.53125,0.9375,16,True,0.6850961538461539
Talia,S14,8,4,4,0,-0.16639,-0.3915,0.59375,0.8125,16,True,0.6850961538461539
Talia,S15,8,4,4,0,-0.07195,-0.2921,0.59375,0.8125,16,True,0.6850961538461539
