dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,Fp1,1.0786,0.14844
Angelique,S02,1,AF7,1.2428,0.11719
Angelique,S02,2,AF3,1.7374,0.03906
Angelique,S02,3,F1,1.5475,0.07031
Angelique,S02,4,F3,0.9126,0.22656
Angelique,S02,5,F5,-0.0057,0.50781
Angelique,S02,6,F7,-0.2946,0.64844
Angelique,S02,7,FT7,-0.5935,0.66406
Angelique,S02,8,FC5,0.4858,0.30469
Angelique,S02,9,FC3,1.803,0.02344
Angelique,S02,10,FC1,1.7691,0.03906
Angelique,S02,11,C1,1.715,0.02344
Angelique,S02,12,C3,1.9641,0.02344
Angelique,S02,13,C5,-0.2205,0.58594
Angelique,S02,14,T7,-1.717,0.94531
Angelique,S02,15,TP7,-0.6593,0.74219
Angelique,S02,16,CP5,0.1335,0.46094
Angelique,S02,17,CP3,1.6749,0.03906
Angelique,S02,18,CP1,1.8969,0.02344
Angelique,S02,19,P1,1.654,0.05469
Angelique,S02,20,P3,2.1715,0.00781
Angelique,S02,21,P5,1.7951,0.02344
Angelique,S02,22,P7,1.5136,0.05469
Angelique,S02,23,P9,0.3934,0.36719
Angelique,S02,24,PO7,1.0949,0.14844
Angelique,S02,25,PO3,0.7399,0.27344
Angelique,S02,26,O1,0.8153,0.22656
Angelique,S02,27,Iz,1.1923,0.11719
Angelique,S02,28,Oz,1.0525,0.14844
Angelique,S02,29,POz,1.1048,0.14844
Angelique,S02,30,Pz,1.2904,0.11719
Angelique,S02,31,CPz,1.802,0.02344
Angelique,S02,32,Fpz,1.4228,0.08594
Angelique,S02,33,Fp2,1.6047,0.07031
Angelique,S02,34,AF8,1.781,0.03906
Angelique,S02,35,AF4,1.9071,0.00781
Angelique,S02,36,AFz,1.247,0.14844
Angelique,S02,37,Fz,1.5711,0.05469
Angelique,S02,38,F2,1.7849,0.02344
Angelique,S02,39,F4,1.1903,0.11719
Angelique,S02,40,F6,0.7237,0.35156
Angelique,S02,41,F8,1.4619,0.10156
Angelique,S02,42,FT8,1.1151,0.14844
Angelique,S02,43,FC6,1.1345,0.19531
Angelique,S02,44,FC4,2.0531,0.02344
Angelique,S02,45,FC2,1.9277,0.02344
Angelique,S02,46,FCz,1.9376,0.00781
Angelique,S02,47,Cz,1.9304,0.03906
Angelique,S02,48,C2,2.1748,0.00781
Angelique,S02,49,C4,1.6686,0.03906
Angelique,S02,50,C6,0.6633,0.28906
Angelique,S02,51,T8,0.7864,0.28906
Angelique,S02,52,TP8,1.401,0.05469
Angelique,S02,53,CP6,0.1828,0.42969
Angelique,S02,54,CP4,-0.1197,0.55469
Angelique,S02,55,CP2,0.8605,0.16406
Angelique,S02,56,P2,-0.1866,0.55469
Angelique,S02,57,P4,-0.6312,0.72656
Angelique,S02,58,P6,0.3755,0.38281
Angelique,S02,59,P8,1.381,0.07031
Angelique,S02,60,P10,2.0085,0.02344
Angelique,S02,61,PO8,1.4583,0.07031
Angelique,S02,62,PO4,0.403,0.32031
Angelique,S02,63,O2,1.2781,0.10156
Angelique,S02,64,PO9,1.1645,0.17969
Angelique,S02,65,I1,1.6901,0.03906
Angelique,S02,66,I2,2.3098,0.00781
Angelique,S02,67,PO10,2.0966,0.00781
Angelique,S03,0,Fp1,0.5685,0.28906
Angelique,S03,1,AF7,0.7619,0.24219
Angelique,S03,2,AF3,-1.029,0.83594
Angelique,S03,3,F1,0.4219,0.35156
Angelique,S03,4,F3,0.7574,0.24219
Angelique,S03,5,F5,-0.3361,0.60156
Angelique,S03,6,F7,0.6284,0.27344
Angelique,S03,7,FT7,1.6175,0.05469
Angelique,S03,8,FC5,1.1389,0.14844
Angelique,S03,9,FC3,0.5821,0.30469
Angelique,S03,10,FC1,-0.5954,0.69531
Angelique,S03,11,C1,-0.0792,0.52344
Angelique,S03,12,C3,-0.0127,0.52344
Angelique,S03,13,C5,1.3984,0.11719
Angelique,S03,14,T7,1.1753,0.11719
Angelique,S03,15,TP7,-0.975,0.82031
Angelique,S03,16,CP5,-0.426,0.64844
Angelique,S03,17,CP3,0.5128,0.32031
Angelique,S03,18,CP1,0.8942,0.19531
Angelique,S03,19,P1,-1.2491,0.89844
Angelique,S03,20,P3,0.1736,0.47656
Angelique,S03,21,P5,1.4905,0.08594
Angelique,S03,22,P7,-0.6555,0.72656
Angelique,S03,23,P9,-1.1722,0.88281
Angelique,S03,24,PO7,0.7111,0.27344
Angelique,S03,25,PO3,-0.3977,0.66406
Angelique,S03,26,O1,0.7692,0.22656
Angelique,S03,27,Iz,0.1349,0.44531
Angelique,S03,28,Oz,0.43,0.36719
Angelique,S03,29,POz,0.6937,0.27344
Angelique,S03,30,Pz,-1.5948,0.94531
Angelique,S03,31,CPz,0.7533,0.24219
Angelique,S03,32,Fpz,0.9433,0.17969
Angelique,S03,33,Fp2,0.6906,0.22656
Angelique,S03,34,AF8,0.558,0.32031
Angelique,S03,35,AF4,0.9078,0.17969
Angelique,S03,36,AFz,1.187,0.13281
Angelique,S03,37,Fz,-1.3627,0.88281
Angelique,S03,38,F2,0.5569,0.28906
Angelique,S03,39,F4,1.1596,0.13281
Angelique,S03,40,F6,1.4298,0.08594
Angelique,S03,41,F8,0.8826,0.19531
Angelique,S03,42,FT8,0.8616,0.22656
Angelique,S03,43,FC6,0.6472,0.46094
Angelique,S03,44,FC4,0.1053,0.47656
Angelique,S03,45,FC2,-0.1909,0.61719
Angelique,S03,46,FCz,-0.6497,0.69531
Angelique,S03,47,Cz,-0.1808,0.53906
Angelique,S03,48,C2,-0.4904,0.66406
Angelique,S03,49,C4,0.6325,0.30469
Angelique,S03,50,C6,1.5453,0.03906
Angelique,S03,51,T8,0.5126,0.38281
Angelique,S03,52,TP8,0.4452,0.36719
Angelique,S03,53,CP6,1.2438,0.13281
Angelique,S03,54,CP4,1.4376,0.07031
Angelique,S03,55,CP2,0.1568,0.46094
Angelique,S03,56,P2,-1.2981,0.88281
Angelique,S03,57,P4,-0.7347,0.78906
Angelique,S03,58,P6,1.1649,0.17969
Angelique,S03,59,P8,0.6646,0.27344
Angelique,S03,60,P10,0.5354,0.30469
Angelique,S03,61,PO8,-0.1517,0.52344
Angelique,S03,62,PO4,0.8198,0.30469
Angelique,S03,63,O2,1.3839,0.11719
Angelique,S03,64,PO9,1.8091,0.03906
Angelique,S03,65,I1,0.0661,0.46094
Angelique,S03,66,I2,0.7469,0.21094
Angelique,S03,67,PO10,0.9531,0.17969
Angelique,S04,0,Fp1,-0.5153,0.69531
Angelique,S04,1,AF7,0.934,0.19531
Angelique,S04,2,AF3,-0.0854,0.52344
Angelique,S04,3,F1,0.728,0.27344
Angelique,S04,4,F3,1.2421,0.14844
Angelique,S04,5,F5,1.0067,0.19531
Angelique,S04,6,F7,0.7737,0.30469
Angelique,S04,7,FT7,0.1623,0.49219
Angelique,S04,8,FC5,0.5867,0.32031
Angelique,S04,9,FC3,0.9021,0.21094
Angelique,S04,10,FC1,0.08,0.49219
Angelique,S04,11,C1,0.3207,0.38281
Angelique,S04,12,C3,1.067,0.14844
Angelique,S04,13,C5,0.3168,0.38281
Angelique,S04,14,T7,-0.1491,0.55469
Angelique,S04,15,TP7,0.7331,0.27344
Angelique,S04,16,CP5,0.9631,0.19531
Angelique,S04,17,CP3,1.0626,0.17969
Angelique,S04,18,CP1,0.9908,0.17969
Angelique,S04,19,P1,0.5214,0.32031
Angelique,S04,20,P3,0.9042,0.22656
Angelique,S04,21,P5,0.911,0.22656
Angelique,S04,22,P7,-0.0365,0.52344
Angelique,S04,23,P9,-1.034,0.78906
Angelique,S04,24,PO7,-0.2586,0.60156
Angelique,S04,25,PO3,0.3652,0.38281
Angelique,S04,26,O1,-0.167,0.55469
Angelique,S04,27,Iz,-0.8928,0.78906
Angelique,S04,28,Oz,-0.0942,0.53906
Angelique,S04,29,POz,-0.0225,0.53906
Angelique,S04,30,Pz,0.1228,0.41406
Angelique,S04,31,CPz,-0.7663,0.75781
Angelique,S04,32,Fpz,0.1029,0.46094
Angelique,S04,33,Fp2,0.0924,0.47656
Angelique,S04,34,AF8,0.8381,0.24219
Angelique,S04,35,AF4,0.4444,0.33594
Angelique,S04,36,AFz,0.1335,0.42969
Angelique,S04,37,Fz,0.0485,0.47656
Angelique,S04,38,F2,0.2435,0.41406
Angelique,S04,39,F4,0.5209,0.36719
Angelique,S04,40,F6,0.431,0.38281
Angelique,S04,41,F8,0.0646,0.47656
Angelique,S04,42,FT8,0.1393,0.46094
Angelique,S04,43,FC6,0.363,0.36719
Angelique,S04,44,FC4,-0.4029,0.60156
Angelique,S04,45,FC2,-0.6751,0.74219
Angelique,S04,46,FCz,-0.2771,0.60156
Angelique,S04,47,Cz,-1.1117,0.85156
Angelique,S04,48,C2,-1.4325,0.91406
Angelique,S04,49,C4,-0.5944,0.67969
Angelique,S04,50,C6,0.3984,0.36719
Angelique,S04,51,T8,-0.0,0.50781
Angelique,S04,52,TP8,0.2847,0.38281
Angelique,S04,53,CP6,-0.0379,0.50781
Angelique,S04,54,CP4,-0.3477,0.61719
Angelique,S04,55,CP2,-1.4244,0.91406
Angelique,S04,56,P2,-1.0325,0.85156
Angelique,S04,57,P4,-0.4871,0.69531
Angelique,S04,58,P6,-0.0152,0.50781
Angelique,S04,59,P8,0.1419,0.44531
Angelique,S04,60,P10,-1.6306,0.96094
Angelique,S04,61,PO8,-0.8026,0.75781
Angelique,S04,62,PO4,0.5387,0.36719
Angelique,S04,63,O2,1.0778,0.22656
Angelique,S04,64,PO9,-0.5683,0.61719
Angelique,S04,65,I1,-0.8978,0.69531
Angelique,S04,66,I2,-0.704,0.66406
Angelique,S04,67,PO10,-1.2654,0.85156
Angelique,S05,0,Fp1,-2.0546,0.97656
Angelique,S05,1,AF7,-1.3681,0.99219
