dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,Fp1,1.7194,0.03906
Angelique,S02,1,AF7,-0.1704,0.55469
Angelique,S02,2,AF3,1.5598,0.05469
Angelique,S02,3,F1,0.8008,0.19531
Angelique,S02,4,F3,-0.7173,0.66406
Angelique,S02,5,F5,-0.173,0.57031
Angelique,S02,6,F7,-1.6684,0.96094
Angelique,S02,7,FT7,-1.1294,0.86719
Angelique,S02,8,FC5,-0.58,0.64844
Angelique,S02,9,FC3,-0.7064,0.69531
Angelique,S02,10,FC1,0.2227,0.49219
Angelique,S02,11,C1,1.0681,0.16406
Angelique,S02,12,C3,0.8348,0.19531
Angelique,S02,13,C5,-1.079,0.82031
Angelique,S02,14,T7,-0.3517,0.57031
Angelique,S02,15,TP7,-1.4438,0.91406
Angelique,S02,16,CP5,0.1115,0.46094
Angelique,S02,17,CP3,1.2988,0.11719
Angelique,S02,18,CP1,1.2824,0.11719
Angelique,S02,19,P1,1.8854,0.00781
Angelique,S02,20,P3,1.214,0.10156
Angelique,S02,21,P5,-0.2017,0.57031
Angelique,S02,22,P7,0.6558,0.35156
Angelique,S02,23,P9,-0.5306,0.69531
Angelique,S02,24,PO7,-0.6379,0.72656
Angelique,S02,25,PO3,0.8876,0.19531
Angelique,S02,26,O1,0.9432,0.17969
Angelique,S02,27,Iz,0.6735,0.24219
Angelique,S02,28,Oz,-0.6398,0.74219
Angelique,S02,29,POz,0.4935,0.32031
Angelique,S02,30,Pz,0.5925,0.27344
Angelique,S02,31,CPz,0.8661,0.21094
Angelique,S02,32,Fpz,-0.4333,0.61719
Angelique,S02,33,Fp2,-0.8767,0.80469
Angelique,S02,34,AF8,0.426,0.36719
Angelique,S02,35,AF4,-0.4105,0.61719
Angelique,S02,36,AFz,-0.7932,0.74219
Angelique,S02,37,Fz,0.2452,0.42969
Angelique,S02,38,F2,1.0339,0.21094
Angelique,S02,39,F4,0.9194,0.21094
Angelique,S02,40,F6,0.5437,0.38281
Angelique,S02,41,F8,1.3666,0.11719
Angelique,S02,42,FT8,1.3894,0.10156
Angelique,S02,43,FC6,0.0727,0.47656
Angelique,S02,44,FC4,0.8366,0.19531
Angelique,S02,45,FC2,1.7627,0.02344
