dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,t00,-0.0004,0.50781
Angelique,S02,1,t01,-0.791,0.78906
Angelique,S02,2,t02,-1.2242,0.88281
Angelique,S02,3,t03,-1.5105,0.91406
Angelique,S02,4,t04,-1.4472,0.89844
Angelique,S02,5,t05,-0.4568,0.63281
Angelique,S02,6,t06,0.529,0.30469
Angelique,S02,7,t07,1.0138,0.16406
Angelique,S02,8,t08,1.1415,0.14844
Angelique,S02,9,t09,1.3378,0.11719
Angelique,S02,10,t10,1.6967,0.03906
Angelique,S02,11,t11,1.8852,0.03906
Angelique,S02,12,t12,1.8721,0.02344
Angelique,S02,13,t13,1.9234,0.00781
Angelique,S02,14,t14,2.0607,0.00781
Angelique,S02,15,t15,2.1632,0.00781
Angelique,S02,16,t16,2.1494,0.00781
Angelique,S02,17,t17,2.0373,0.00781
Angelique,S02,18,t18,1.9363,0.02344
Angelique,S02,19,t19,1.5045,0.08594
Angelique,S02,20,t20,0.5592,0.27344
Angelique,S02,21,t21,0.555,0.32031
Angelique,S02,22,t22,1.4089,0.08594
Angelique,S02,23,t23,1.9001,0.02344
Angelique,S02,24,t24,1.5807,0.05469
Angelique,S02,25,t25,1.1853,0.19531
Angelique,S02,26,t26,0.7296,0.24219
Angelique,S02,27,t27,0.9225,0.19531
Angelique,S02,28,t28,1.4213,0.08594
Angelique,S02,29,t29,1.7561,0.02344
Angelique,S02,30,t30,1.7389,0.00781
Angelique,S02,31,t31,1.5442,0.00781
Angelique,S02,32,t32,1.2721,0.11719
Angelique,S02,33,t33,1.2127,0.13281
Angelique,S02,34,t34,1.3176,0.11719
Angelique,S02,35,t35,1.1709,0.16406
Angelique,S02,36,t36,1.2346,0.16406
Angelique,S02,37,t37,1.6848,0.03906
Angelique,S02,38,t38,1.8116,0.02344
Angelique,S02,39,t39,1.3233,0.10156
Angelique,S02,40,t40,1.8025,0.03906
Angelique,S02,41,t41,2.0368,0.02344
Angelique,S02,42,t42,1.8264,0.02344
Angelique,S02,43,t43,1.4375,0.07031
Angelique,S02,44,t44,1.5686,0.05469
Angelique,S02,45,t45,1.7227,0.02344
Angelique,S02,46,t46,1.5097,0.07031
Angelique,S02,47,t47,1.3972,0.07031
Angelique,S02,48,t48,1.6472,0.03906
Angelique,S02,49,t49,1.4086,0.08594
Angelique,S02,50,t50,0.2841,0.42969
Angelique,S02,51,t51,-0.1933,0.60156
Angelique,S02,52,t52,0.4641,0.35156
Angelique,S02,53,t53,1.0557,0.17969
Angelique,S02,54,t54,0.9659,0.27344
Angelique,S02,55,t55,0.7927,0.38281
Angelique,S02,56,t56,0.8551,0.19531
Angelique,S02,57,t57,0.3058,0.44531
Angelique,S02,58,t58,0.0802,0.35156
Angelique,S02,59,t59,0.035,0.49219
Angelique,S02,60,t60,-0.5665,0.69531
Angelique,S02,61,t61,-0.449,0.64844
Angelique,S02,62,t62,-0.4075,0.63281
Angelique,S02,63,t63,-0.3253,0.60156
Angelique,S03,0,t00,0.0625,0.46094
Angelique,S03,1,t01,0.1681,0.42969
Angelique,S03,2,t02,0.4761,0.41406
Angelique,S03,3,t03,0.7794,0.33594
Angelique,S03,4,t04,0.7837,0.25781
Angelique,S03,5,t05,0.5596,0.33594
Angelique,S03,6,t06,0.3005,0.32031
Angelique,S03,7,t07,-0.0692,0.50781
Angelique,S03,8,t08,0.0194,0.49219
Angelique,S03,9,t09,0.9542,0.17969
Angelique,S03,10,t10,1.1858,0.13281
Angelique,S03,11,t11,0.7027,0.28906
Angelique,S03,12,t12,0.2692,0.39844
Angelique,S03,13,t13,0.0674,0.47656
Angelique,S03,14,t14,0.0145,0.49219
Angelique,S03,15,t15,0.1566,0.42969
Angelique,S03,16,t16,0.4942,0.36719
Angelique,S03,17,t17,1.0027,0.16406
Angelique,S03,18,t18,1.4793,0.08594
Angelique,S03,19,t19,1.5665,0.10156
Angelique,S03,20,t20,1.5415,0.10156
Angelique,S03,21,t21,1.6441,0.05469
Angelique,S03,22,t22,1.816,0.02344
Angelique,S03,23,t23,1.7832,0.00781
Angelique,S03,24,t24,1.4281,0.08594
Angelique,S03,25,t25,0.9566,0.17969
Angelique,S03,26,t26,0.6275,0.28906
Angelique,S03,27,t27,0.3809,0.39844
Angelique,S03,28,t28,-0.0799,0.53906
Angelique,S03,29,t29,-0.9225,0.80469
Angelique,S03,30,t30,-1.1291,0.86719
