dataset,elec,z,t,p,q,elec_idx
Angelique,t00,0.22678666666666658,1.1372539780143278,0.2647418119798131,0.5436997029800551,0
Angelique,t01,0.2017733333333334,1.0130850997429286,0.31939790582300875,0.5436997029800551,1
Angelique,t02,0.24515666666666663,1.216942323353365,0.23343743711059978,0.5436997029800551,2
Angelique,t03,0.26414333333333323,1.3359354163301667,0.19196024684405635,0.5184057571056833,3
Angelique,t04,0.27127,1.412525715218695,0.1684376719029042,0.5184057571056833,4
Angelique,t05,0.28042666666666666,1.660664036281581,0.10755673468087784,0.5184057571056833,5
Angelique,t06,0.23144333333333333,1.4897106405543024,0.14709682502173502,0.5184057571056833,6
Angelique,t07,0.15727666666666668,0.9454669097132553,0.3522321275770268,0.5436997029800551,7
Angelique,t08,0.05449999999999999,0.3214614697396465,0.7501662439326374,0.8573328502087285,8
Angelique,t09,-0.018503333333333337,-0.10293505304556537,0.9187230383050908,0.9522170031459648,9
Angelique,t10,-0.0003066666666666699,-0.0016738433491663902,0.9986759283537059,0.9986759283537059,10
Angelique,t11,0.08360999999999995,0.46103522319275586,0.648212475895036,0.7682518232830057,11
Angelique,t12,0.1817733333333333,0.9861240895846818,0.3322287948473345,0.5436997029800551,12
Angelique,t13,0.24986333333333333,1.3203937147324531,0.19703041620633213,0.5184057571056833,13
Angelique,t14,0.28995333333333334,1.5205475303200398,0.1392028358532645,0.5184057571056833,14
Angelique,t15,0.30623999999999996,1.5112512389101262,0.1415456617837801,0.5184057571056833,15
Angelique,t16,0.29522,1.4063942036538184,0.17023294682346435,0.5184057571056833,16
Angelique,t17,0.32623666666666673,1.605143678256197,0.11929849944163955,0.5184057571056833,17
Angelique,t18,0.26719333333333334,1.385450740658793,0.1764790352799786,0.5184057571056833,18
Angelique,t19,0.21477,1.0854652616191083,0.2866568029046144,0.5436997029800551,19
Angelique,t20,0.18752333333333335,0.9154765269986284,0.3674916264864934,0.5436997029800551,20
Angelique,t21,0.19097666666666666,0.9122337746385191,0.36916719167594364,0.5436997029800551,21
Angelique,t22,0.16400333333333333,0.7822202561385017,0.44042569885417127,0.6127661897101513,22
Angelique,t23,0.10426666666666666,0.49665155991301063,0.6231788220932197,0.75251782290502,23
Angelique,t24,0.07743666666666661,0.3846233323196136,0.7033227417230228,0.8184119176413356,24
Angelique,t25,0.17179000000000003,0.887164897361926,0.38228885365785126,0.5436997029800551,25
Angelique,t26,0.22966333333333325,1.2209732379089002,0.23193050302600493,0.5436997029800551,26
Angelique,t27,0.21452999999999997,1.3039626955961556,0.20250224886940754,0.5184057571056833,27
Angelique,t28,0.1547,1.0412058228956291,0.3063830881440658,0.5436997029800551,28
Angelique,t29,0.034293333333333315,0.20347638559899991,0.8401837656641187,0.9113857797034508,29
Angelique,t30,0.03658333333333334,0.20985340527003385,0.8352494523140673,0.9113857797034508,30
Angelique,t31,0.09500666666666668,0.5144033568635478,0.6108682235225998,0.75251782290502,31
Angelique,t32,0.16031,0.8889690905403235,0.38133455411844525,0.5436997029800551,32
Angelique,t33,0.22777,1.3066254563266695,0.201607669802657,0.5184057571056833,33
Angelique,t34,0.16779666666666673,0.9987293253163888,0.32618685273469455,0.5436997029800551,34
Angelique,t35,0.029629999999999934,0.16803451496514282,0.8677225320927625,0.9255707008989467,35
Angelique,t36,-0.018640000000000035,-0.09818586725262494,0.9224602217976534,0.9522170031459648,36
Angelique,t37,0.09423666666666661,0.4997974715349299,0.6209889441075542,0.75251782290502,37
Angelique,t38,0.26377999999999996,1.42325272022681,0.16533286273458742,0.5184057571056833,38
Angelique,t39,0.30057333333333325,1.7240670132868041,0.09534211622733543,0.5184057571056833,39
Angelique,t40,0.2757433333333333,1.4599259564447764,0.15505958012560553,0.5184057571056833,40
Angelique,t41,0.3520666666666666,1.866446065264865,0.07212091026981922,0.5184057571056833,41
Angelique,t42,0.44626333333333335,2.4516160781563663,0.020482745553033175,0.322727275559309,42
Angelique,t43,0.5203900000000002,3.050061431686039,0.004851525470348344,0.11569204181942717,43
Angelique,t44,0.5450699999999998,3.317245544424336,0.0024550696030918562,0.11569204181942717,44
Angelique,t45,0.4969300000000001,3.0055846969433153,0.005423064460285649,0.11569204181942717,45
Angelique,t46,0.43301000000000006,2.36007460279935,0.025213068403071016,0.322727275559309,46
Angelique,t47,0.38684666666666667,2.196739538003875,0.03618224789706041,0.3859439775686444,47
Angelique,t48,0.30991,1.7918790661615982,0.08359328603688686,0.5184057571056833,48
Angelique,t49,0.23527333333333333,1.32064801382269,0.1969466336340984,0.5184057571056833,49
Angelique,t50,0.21643666666666667,1.1827399370956593,0.24651858460118414,0.5436997029800551,50
Angelique,t51,0.13615000000000002,0.7251020086286087,0.4742001484328201,0.6323718273161877,51
Angelique,t52,0.12103333333333331,0.6133284366847523,0.5444400799714383,0.7111054105749398,52
Angelique,t53,0.21712666666666666,1.0683241013723483,0.2941869344349475,0.5436997029800551,53
Angelique,t54,0.21356666666666665,0.9945548744703648,0.3281793761527606,0.5436997029800551,54
Angelique,t55,0.24239000000000002,1.164181666817867,0.25383893222048254,0.5436997029800551,55
Angelique,t56,0.2614933333333333,1.3373900193926334,0.19149092450958938,0.5184057571056833,56
Angelique,t57,0.23317666666666673,1.1577874047042804,0.25639770151715924,0.5436997029800551,57
Angelique,t58,0.14607333333333333,0.7249717135979741,0.47427887048714074,0.6323718273161877,58
Angelique,t59,0.050190000000000026,0.23351632689765858,0.8170010356278525,0.9113857797034508,59
Angelique,t60,0.01209,0.05501633459847452,0.9565027350580363,0.9716853181541956,60
Angelique,t61,0.10767666666666663,0.519060441197157,0.6076574851516398,0.75251782290502,61
Angelique,t62,0.18820999999999996,0.9238555548722874,0.3631852188172759,0.5436997029800551,62
Angelique,t63,0.21995333333333333,1.0868897899866157,0.28603722407346627,0.5436997029800551,63
Talia,t00,0.45188666666666677,2.0398444085081167,0.06070038010680197,0.5729468711715525,0
Talia,t01,0.4036733333333334,1.6791169700581694,0.11529932171380157,0.5729468711715525,1
Talia,t02,0.3789133333333333,1.5186051007580759,0.15111787647444053,0.5729468711715525,2
Talia,t03,0.41817999999999994,1.7504011982627325,0.10192176987024056,0.5729468711715525,3
Talia,t04,0.46103333333333324,1.9610747868379408,0.07007370804869008,0.5729468711715525,4
Talia,t05,0.47642666666666666,2.144360734046255,0.05003965590360774,0.5729468711715525,5
Talia,t06,0.43332,2.0769238147618614,0.05669905296129598,0.5729468711715525,6
Talia,t07,0.34356000000000003,1.6242478686972777,0.12661616278662385,0.5729468711715525,7
Talia,t08,0.20317333333333334,0.9668183060844548,0.35004066893050867,0.829726030057502,8
Talia,t09,0.15112666666666671,0.6699943735400193,0.5137614051521353,0.9352619205482708,9
Talia,t10,0.15553333333333327,0.7116662526761255,0.4883612935786162,0.924970713965835,10
Talia,t11,0.06171333333333333,0.25495023666019834,0.8024685945822136,0.9718010938269618,11
Talia,t12,0.06415999999999995,0.23441577087986878,0.8180557816369807,0.9718010938269618,12
Talia,t13,0.11021333333333332,0.42169061522862744,0.6796541325849415,0.9718010938269618,13
Talia,t14,0.09377333333333328,0.368479259402638,0.718028081202596,0.9718010938269618,14
Talia,t15,0.08558000000000002,0.32920260630348,0.7468757511074552,0.9718010938269618,15
