dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,Fp1,-0.5609,0.69531
Angelique,S02,1,AF7,0.3292,0.38281
Angelique,S02,2,AF3,-1.2155,0.83594
Angelique,S02,3,F1,-0.125,0.55469
Angelique,S02,4,F3,0.6201,0.28906
Angelique,S02,5,F5,0.2872,0.41406
Angelique,S02,6,F7,0.3218,0.41406
Angelique,S02,7,FT7,-0.3774,0.63281
Angelique,S02,8,FC5,0.0483,0.46094
Angelique,S02,9,FC3,0.928,0.16406
Angelique,S02,10,FC1,1.1226,0.14844
Angelique,S02,11,C1,1.0761,0.16406
Angelique,S02,12,C3,0.7452,0.22656
Angelique,S02,13,C5,1.1458,0.19531
Angelique,S02,14,T7,-0.9211,0.83594
Angelique,S02,15,TP7,0.801,0.22656
Angelique,S02,16,CP5,1.2841,0.14844
Angelique,S02,17,CP3,0.0391,0.47656
Angelique,S02,18,CP1,-0.6955,0.72656
Angelique,S02,19,P1,-1.2648,0.88281
Angelique,S02,20,P3,-0.31,0.60156
Angelique,S02,21,P5,1.5598,0.07031
Angelique,S02,22,P7,1.2531,0.11719
Angelique,S02,23,P9,1.0302,0.16406
Angelique,S02,24,PO7,1.8552,0.05469
Angelique,S02,25,PO3,-0.6356,0.71094
Angelique,S02,26,O1,-0.0441,0.52344
Angelique,S02,27,Iz,-0.3683,0.61719
Angelique,S02,28,Oz,-0.4758,0.67969
Angelique,S02,29,POz,0.1342,0.44531
Angelique,S02,30,Pz,0.4492,0.32031
Angelique,S02,31,CPz,0.4532,0.33594
Angelique,S02,32,Fpz,1.4079,0.08594
Angelique,S02,33,Fp2,1.6534,0.05469
Angelique,S02,34,AF8,0.7935,0.25781
Angelique,S02,35,AF4,1.6604,0.05469
Angelique,S02,36,AFz,1.5673,0.07031
Angelique,S02,37,Fz,1.5474,0.02344
Angelique,S02,38,F2,1.6078,0.05469
Angelique,S02,39,F4,-0.5746,0.72656
Angelique,S02,40,F6,0.5498,0.33594
Angelique,S02,41,F8,-0.8937,0.80469
Angelique,S02,42,FT8,-0.3856,0.63281
Angelique,S02,43,FC6,0.4778,0.35156
Angelique,S02,44,FC4,1.1316,0.14844
Angelique,S02,45,FC2,-0.3822,0.52344
Angelique,S02,46,FCz,0.74,0.28906
Angelique,S02,47,Cz,-0.1199,0.57031
Angelique,S02,48,C2,0.1715,0.42969
Angelique,S02,49,C4,0.6486,0.32031
Angelique,S02,50,C6,-0.4695,0.61719
Angelique,S02,51,T8,1.4263,0.07031
Angelique,S02,52,TP8,0.8953,0.21094
Angelique,S02,53,CP6,0.1204,0.47656
Angelique,S02,54,CP4,0.4012,0.33594
Angelique,S02,55,CP2,0.4936,0.33594
Angelique,S02,56,P2,0.3236,0.38281
Angelique,S02,57,P4,-0.0917,0.55469
Angelique,S02,58,P6,0.3769,0.36719
Angelique,S02,59,P8,0.3761,0.36719
Angelique,S02,60,P10,1.3876,0.08594
Angelique,S02,61,PO8,0.9546,0.17969
Angelique,S02,62,PO4,0.8582,0.36719
Angelique,S02,63,O2,-0.3327,0.63281
Angelique,S02,64,PO9,1.5488,0.07031
Angelique,S02,65,I1,0.518,0.28906
Angelique,S02,66,I2,0.2024,0.39844
Angelique,S02,67,PO10,1.4366,0.08594
Angelique,S03,0,Fp1,1.0356,0.19531
Angelique,S03,1,AF7,1.0851,0.14844
Angelique,S03,2,AF3,0.3348,0.39844
Angelique,S03,3,F1,1.001,0.24219
Angelique,S03,4,F3,1.5988,0.07031
Angelique,S03,5,F5,1.5208,0.08594
Angelique,S03,6,F7,1.0165,0.17969
Angelique,S03,7,FT7,1.3367,0.00781
Angelique,S03,8,FC5,2.0166,0.02344
Angelique,S03,9,FC3,1.843,0.03906
Angelique,S03,10,FC1,0.8728,0.24219
Angelique,S03,11,C1,-0.421,0.53906
Angelique,S03,12,C3,1.2261,0.13281
Angelique,S03,13,C5,1.6435,0.05469
Angelique,S03,14,T7,2.0794,0.00781
Angelique,S03,15,TP7,0.5677,0.32031
Angelique,S03,16,CP5,-0.5183,0.71094
Angelique,S03,17,CP3,0.0654,0.44531
Angelique,S03,18,CP1,-0.9806,0.80469
