dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,t00,0.7953,0.22656
Angelique,S02,1,t01,0.9564,0.21094
Angelique,S02,2,t02,1.4994,0.08594
Angelique,S02,3,t03,1.0482,0.13281
Angelique,S02,4,t04,0.5371,0.32031
Angelique,S02,5,t05,0.6196,0.28906
Angelique,S02,6,t06,0.8012,0.21094
Angelique,S02,7,t07,0.4408,0.36719
Angelique,S02,8,t08,-0.0578,0.52344
Angelique,S02,9,t09,-0.3418,0.63281
Angelique,S02,10,t10,-0.4566,0.69531
Angelique,S02,11,t11,-0.3444,0.57031
Angelique,S02,12,t12,0.0918,0.47656
Angelique,S02,13,t13,0.4259,0.35156
Angelique,S02,14,t14,0.5427,0.28906
Angelique,S02,15,t15,0.3244,0.39844
Angelique,S02,16,t16,0.3747,0.38281
Angelique,S02,17,t17,0.6449,0.27344
Angelique,S02,18,t18,0.5631,0.28906
Angelique,S02,19,t19,0.34,0.35156
Angelique,S02,20,t20,0.2105,0.42969
Angelique,S02,21,t21,0.1751,0.39844
Angelique,S02,22,t22,0.1439,0.49219
Angelique,S02,23,t23,-0.2855,0.60156
Angelique,S02,24,t24,-1.025,0.82031
Angelique,S02,25,t25,-0.8399,0.75781
Angelique,S02,26,t26,-0.0002,0.50781
Angelique,S02,27,t27,0.411,0.36719
Angelique,S02,28,t28,0.6438,0.28906
Angelique,S02,29,t29,0.8862,0.21094
Angelique,S02,30,t30,0.8007,0.24219
Angelique,S02,31,t31,0.8208,0.21094
Angelique,S02,32,t32,1.2505,0.13281
Angelique,S02,33,t33,1.5688,0.07031
Angelique,S02,34,t34,1.7394,0.03906
Angelique,S02,35,t35,1.663,0.05469
Angelique,S02,36,t36,1.3093,0.10156
Angelique,S02,37,t37,1.1091,0.14844
Angelique,S02,38,t38,1.1114,0.14844
Angelique,S02,39,t39,1.2198,0.13281
Angelique,S02,40,t40,1.2399,0.13281
Angelique,S02,41,t41,1.1282,0.14844
Angelique,S02,42,t42,0.9617,0.17969
Angelique,S02,43,t43,0.6698,0.27344
Angelique,S02,44,t44,0.1064,0.46094
Angelique,S02,45,t45,-0.1332,0.60156
Angelique,S02,46,t46,0.677,0.25781
Angelique,S02,47,t47,1.0448,0.16406
Angelique,S02,48,t48,0.7677,0.28906
Angelique,S02,49,t49,-0.1417,0.55469
Angelique,S02,50,t50,-0.7056,0.75781
Angelique,S02,51,t51,-0.0148,0.50781
Angelique,S02,52,t52,0.5104,0.30469
Angelique,S02,53,t53,0.139,0.44531
Angelique,S02,54,t54,-0.6176,0.66406
Angelique,S02,55,t55,-0.6532,0.74219
Angelique,S02,56,t56,0.0882,0.47656
Angelique,S02,57,t57,0.4798,0.33594
Angelique,S02,58,t58,0.4548,0.32031
Angelique,S02,59,t59,0.0642,0.46094
Angelique,S02,60,t60,0.1848,0.47656
Angelique,S02,61,t61,1.0995,0.24219
Angelique,S02,62,t62,1.5708,0.05469
Angelique,S02,63,t63,1.3549,0.10156
Angelique,S03,0,t00,1.5336,0.03906
