dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,Fp1,0.058,0.47656
Angelique,S02,1,AF7,-0.1978,0.60156
Angelique,S02,2,AF3,1.1215,0.16406
Angelique,S02,3,F1,0.7512,0.24219
Angelique,S02,4,F3,0.0038,0.49219
Angelique,S02,5,F5,0.3255,0.32031
Angelique,S02,6,F7,-1.0553,0.78906
Angelique,S02,7,FT7,-0.1684,0.60156
Angelique,S02,8,FC5,-1.0292,0.83594
Angelique,S02,9,FC3,0.5452,0.32031
Angelique,S02,10,FC1,0.8108,0.25781
Angelique,S02,11,C1,2.1983,0.00781
Angelique,S02,12,C3,0.8311,0.22656
Angelique,S02,13,C5,-1.4642,0.92969
Angelique,S02,14,T7,-1.8605,0.99219
Angelique,S02,15,TP7,-1.6832,0.97656
Angelique,S02,16,CP5,-1.1415,0.86719
Angelique,S02,17,CP3,0.5603,0.28906
Angelique,S02,18,CP1,1.5059,0.08594
Angelique,S02,19,P1,1.1937,0.11719
Angelique,S02,20,P3,1.7111,0.05469
Angelique,S02,21,P5,0.0584,0.47656
Angelique,S02,22,P7,-0.5339,0.71094
Angelique,S02,23,P9,0.9873,0.24219
Angelique,S02,24,PO7,0.1298,0.44531
Angelique,S02,25,PO3,0.5781,0.30469
Angelique,S02,26,O1,1.5309,0.07031
Angelique,S02,27,Iz,-0.3619,0.66406
Angelique,S02,28,Oz,-0.7648,0.71094
Angelique,S02,29,POz,1.058,0.14844
Angelique,S02,30,Pz,1.0206,0.16406
Angelique,S02,31,CPz,1.8965,0.00781
Angelique,S02,32,Fpz,1.2698,0.11719
Angelique,S02,33,Fp2,1.1294,0.14844
Angelique,S02,34,AF8,1.2044,0.16406
Angelique,S02,35,AF4,0.9613,0.19531
Angelique,S02,36,AFz,-0.6159,0.71094
Angelique,S02,37,Fz,0.5894,0.28906
Angelique,S02,38,F2,0.8546,0.22656
Angelique,S02,39,F4,0.0138,0.46094
Angelique,S02,40,F6,1.2984,0.13281
Angelique,S02,41,F8,0.5689,0.32031
Angelique,S02,42,FT8,-0.4581,0.66406
Angelique,S02,43,FC6,0.5565,0.30469
Angelique,S02,44,FC4,0.8764,0.19531
Angelique,S02,45,FC2,0.6299,0.25781
Angelique,S02,46,FCz,0.943,0.22656
Angelique,S02,47,Cz,1.4577,0.08594
Angelique,S02,48,C2,1.3125,0.11719
Angelique,S02,49,C4,1.6354,0.02344
Angelique,S02,50,C6,0.5209,0.32031
Angelique,S02,51,T8,-0.2001,0.52344
Angelique,S02,52,TP8,1.2271,0.11719
Angelique,S02,53,CP6,-1.042,0.83594
Angelique,S02,54,CP4,0.7952,0.21094
Angelique,S02,55,CP2,1.4446,0.07031
Angelique,S02,56,P2,0.9091,0.19531
Angelique,S02,57,P4,-1.1222,0.85156
Angelique,S02,58,P6,-0.3676,0.61719
Angelique,S02,59,P8,-0.1145,0.53906
Angelique,S02,60,P10,1.2177,0.13281
Angelique,S02,61,PO8,0.0292,0.47656
Angelique,S02,62,PO4,-0.4321,0.69531
Angelique,S02,63,O2,-0.7184,0.75781
Angelique,S02,64,PO9,1.3997,0.10156
Angelique,S02,65,I1,1.055,0.16406
Angelique,S02,66,I2,1.5917,0.03906
Angelique,S02,67,PO10,1.3092,0.13281
Angelique,S03,0,Fp1,-0.321,0.61719
Angelique,S03,1,AF7,-1.4609,0.97656
Angelique,S03,2,AF3,0.0685,0.47656
Angelique,S03,3,F1,0.4242,0.35156
Angelique,S03,4,F3,0.3548,0.38281
Angelique,S03,5,F5,0.8923,0.19531
Angelique,S03,6,F7,0.1488,0.46094
Angelique,S03,7,FT7,0.5771,0.27344
Angelique,S03,8,FC5,1.6718,0.05469
Angelique,S03,9,FC3,1.9498,0.00781
Angelique,S03,10,FC1,-0.5683,0.69531
Angelique,S03,11,C1,-0.3317,0.55469
Angelique,S03,12,C3,0.9854,0.21094
Angelique,S03,13,C5,1.3798,0.11719
Angelique,S03,14,T7,-1.2944,0.89844
Angelique,S03,15,TP7,-0.5333,0.69531
Angelique,S03,16,CP5,-1.1312,0.86719
Angelique,S03,17,CP3,-0.1061,0.52344
Angelique,S03,18,CP1,0.1651,0.44531
Angelique,S03,19,P1,-0.6142,0.71094
Angelique,S03,20,P3,-1.2442,0.91406
Angelique,S03,21,P5,-1.3769,0.89844
Angelique,S03,22,P7,-1.0062,0.80469
Angelique,S03,23,P9,-1.2185,0.88281
Angelique,S03,24,PO7,-0.0513,0.53906
Angelique,S03,25,PO3,-1.004,0.82031
Angelique,S03,26,O1,0.2896,0.38281
Angelique,S03,27,Iz,1.893,0.02344
Angelique,S03,28,Oz,-0.1033,0.53906
Angelique,S03,29,POz,1.0895,0.13281
Angelique,S03,30,Pz,-0.8946,0.75781
Angelique,S03,31,CPz,0.6148,0.27344
Angelique,S03,32,Fpz,0.3328,0.39844
Angelique,S03,33,Fp2,0.7648,0.28906
Angelique,S03,34,AF8,0.596,0.28906
Angelique,S03,35,AF4,0.6825,0.33594
Angelique,S03,36,AFz,-0.2163,0.58594
Angelique,S03,37,Fz,-1.4544,0.91406
Angelique,S03,38,F2,-0.2865,0.58594
Angelique,S03,39,F4,0.3952,0.33594
Angelique,S03,40,F6,0.1532,0.46094
Angelique,S03,41,F8,0.2433,0.39844
Angelique,S03,42,FT8,-0.1391,0.57031
Angelique,S03,43,FC6,-0.7696,0.77344
Angelique,S03,44,FC4,-0.915,0.80469
Angelique,S03,45,FC2,0.0425,0.49219
Angelique,S03,46,FCz,0.659,0.27344
Angelique,S03,47,Cz,0.8737,0.33594
Angelique,S03,48,C2,-1.9324,0.97656
Angelique,S03,49,C4,-1.727,0.96094
Angelique,S03,50,C6,0.7615,0.24219
Angelique,S03,51,T8,0.8114,0.21094
Angelique,S03,52,TP8,0.3548,0.38281
Angelique,S03,53,CP6,1.3855,0.11719
Angelique,S03,54,CP4,1.2419,0.10156
Angelique,S03,55,CP2,-0.5977,0.71094
Angelique,S03,56,P2,-1.2915,0.86719
Angelique,S03,57,P4,0.6208,0.30469
Angelique,S03,58,P6,-1.1963,0.86719
Angelique,S03,59,P8,2.1387,0.00781
Angelique,S03,60,P10,1.6931,0.03906
