dataset,elec,z,t,p,q,elec_idx
Angelique,Fp1,0.01960000000000001,0.11033140304937931,0.9129065670959293,0.987389833691663,0
Angelique,AF7,0.09999333333333338,0.5623857547829287,0.5781749602866602,0.9421036037799908,1
Angelique,AF3,0.03336666666666669,0.19026536743027306,0.8504268187966588,0.987389833691663,2
Angelique,F1,-0.02367333333333331,-0.11926911043055823,0.9058845524990994,0.987389833691663,3
Angelique,F3,-0.0763433333333333,-0.38330336521663727,0.7042904097540265,0.987389833691663,4
Angelique,F5,0.10472,0.5568719425297523,0.581887519981759,0.9421036037799908,5
Angelique,F7,0.12691666666666668,0.7844332073868525,0.4391469937141108,0.9421036037799908,6
Angelique,FT7,0.05972333333333335,0.3067655336459496,0.7612137444847843,0.987389833691663,7
Angelique,FC5,-0.02182333333333335,-0.11158833740293186,0.9119185958374864,0.987389833691663,8
Angelique,FC3,0.14756,0.7344425166206404,0.4685764945968491,0.9421036037799908,9
Angelique,FC1,0.051473333333333336,0.2848755855942844,0.7777640251077265,0.987389833691663,10
Angelique,C1,0.1565566666666666,0.8826710057033489,0.3846725192066676,0.9421036037799908,11
Angelique,C3,0.15794666666666668,0.8279427127898064,0.41446480994342044,0.9421036037799908,12
Angelique,C5,0.13118666666666667,0.6633114826574487,0.5123697915544854,0.9421036037799908,13
Angelique,T7,-0.08631333333333331,-0.4683985844601673,0.643001256325132,0.987389833691663,14
Angelique,TP7,0.13784000000000005,0.6876049972554799,0.4971646235187889,0.9421036037799908,15
Angelique,CP5,0.056450000000000014,0.32184334322039276,0.7498798809121932,0.987389833691663,16
Angelique,CP3,-0.08341333333333333,-0.5721736462401227,0.5716135975341875,0.9421036037799908,17
Angelique,CP1,-0.13417000000000004,-0.7028798578397247,0.48773515995816696,0.9421036037799908,18
Angelique,P1,-0.29355666666666674,-1.6389798667719748,0.11202288418326947,0.6925051022238476,19
Angelique,P3,-0.08483,-0.4483902484812002,0.6572039515122831,0.987389833691663,20
Angelique,P5,0.007833333333333314,0.047969261976741284,0.9620695798127581,0.992482871254135,21
Angelique,P7,0.19670000000000004,1.139236816673872,0.263927557174829,0.9421036037799908,22
Angelique,P9,0.12444000000000004,0.5950329113174477,0.5564364631029977,0.9421036037799908,23
Angelique,PO7,0.2586633333333334,1.7102499244481941,0.09789955643621882,0.6925051022238476,24
Angelique,PO3,-0.39713333333333334,-2.089932523372071,0.045503712670732104,0.6188504923219565,25
Angelique,O1,0.041576666666666685,0.22630382853384387,0.8225526411534779,0.987389833691663,26
Angelique,Iz,-0.008473333333333333,-0.046421890622465156,0.96329219857019,0.992482871254135,27
Angelique,Oz,-0.23943000000000003,-1.2553617324284243,0.21936910210773156,0.9421036037799908,28
Angelique,POz,-0.39370666666666665,-2.403237525184782,0.022870651765075238,0.4058989555572286,29
Angelique,Pz,-0.22291666666666662,-1.2738576964026853,0.21282893584533413,0.9421036037799908,30
Angelique,CPz,0.07469333333333336,0.4043153551732548,0.6889473365978518,0.987389833691663,31
Angelique,Fpz,-0.11851000000000002,-0.632428623434293,0.5320619494395309,0.9421036037799908,32
Angelique,Fp2,-0.02246999999999998,-0.11558323488371858,0.9087794991548374,0.987389833691663,33
Angelique,AF8,-0.027760000000000028,-0.12952971049360432,0.897832763975816,0.987389833691663,34
Angelique,AF4,-0.18524333333333326,-0.8688994804651238,0.39203666405059484,0.9421036037799908,35
Angelique,AFz,0.03282666666666667,0.18799430188208466,0.8521904029771483,0.987389833691663,36
Angelique,Fz,-0.14493333333333328,-0.7223193397203664,0.47588303159011225,0.9421036037799908,37
Angelique,F2,0.004789999999999997,0.027284464487671956,0.9784197446381276,0.9930230244088458,38
Angelique,F4,-0.2016066666666667,-1.1010770415060922,0.2799186205122615,0.9421036037799908,39
Angelique,F6,-0.14021333333333336,-0.7371407349430796,0.46695923348755397,0.9421036037799908,40
Angelique,F8,0.015476666666666687,0.09430019552931744,0.9255192417655115,0.987389833691663,41
Angelique,FT8,-0.10811666666666667,-0.6565650437448581,0.5166372141018127,0.9421036037799908,42
Angelique,FC6,-0.016243333333333325,-0.09467987826465316,0.925220282226149,0.987389833691663,43
Angelique,FC4,-0.05562666666666664,-0.3459599204887074,0.7318701831061165,0.987389833691663,44
Angelique,FC2,0.20075666666666667,1.2088900450369109,0.236469583980096,0.9421036037799908,45
Angelique,FCz,0.07517000000000001,0.4837239019268062,0.6322144974902486,0.987389833691663,46
Angelique,Cz,0.28803,1.7187179102807029,0.09632544017184559,0.6925051022238476,47
Angelique,C2,0.05996666666666665,0.4012402885208207,0.6911845647954111,0.987389833691663,48
Angelique,C4,-0.0011666666666666713,-0.006183127082567022,0.9951089489645837,0.9951089489645838,49
Angelique,C6,0.021150000000000047,0.10844665977635691,0.914388271599079,0.987389833691663,50
Angelique,T8,0.20945666666666668,1.2662019151073511,0.21551783107932365,0.9421036037799908,51
Angelique,TP8,0.5367966666666665,3.301572938289894,0.0025565133388723666,0.17384290704332092,52
Angelique,CP6,0.14489333333333337,0.6822671360269796,0.5004837401691054,0.9421036037799908,53
Angelique,CP4,0.13402333333333336,0.7828025253477569,0.44008902974402603,0.9421036037799908,54
Angelique,CP2,-0.015776666666666675,-0.0894895189695318,0.929308078768624,0.987389833691663,55
Angelique,P2,-0.15241000000000002,-0.9299139180079716,0.3600923032752234,0.9421036037799908,56
Angelique,P4,0.14142000000000002,0.7587777417774111,0.45410882461546775,0.9421036037799908,57
Angelique,P6,0.16226333333333337,0.8832997287765372,0.38433845531660327,0.9421036037799908,58
Angelique,P8,0.47448333333333326,2.4120892116307417,0.022415558369458015,0.4058989555572286,59
Angelique,P10,0.39048000000000005,1.9165754408995528,0.06519406411865625,0.6716722408651271,60
Angelique,PO8,0.4553266666666666,2.38423252639498,0.02387640915042521,0.4058989555572286,61
Angelique,PO4,0.18842,0.9945656479278078,0.3281742231594138,0.9421036037799908,62
Angelique,O2,0.24914333333333338,1.240328138877181,0.22479593610573145,0.9421036037799908,63
Angelique,PO9,0.11337333333333334,0.6344603187683826,0.5307541593291677,0.9421036037799908,64
Angelique,I1,0.09785,0.5782241936910969,0.5675763022523516,0.9421036037799908,65
Angelique,I2,0.3218266666666666,1.8874653219564208,0.0691427306772925,0.6716722408651271,66
Angelique,PO10,0.31122,1.6461834368052877,0.11052242928987488,0.6925051022238476,67
Talia,Fp1,0.48723333333333335,2.20496950521397,0.044682014419970446,0.4335733999054107,0
Talia,AF7,-0.08043333333333333,-0.3408143490783343,0.73830380784635,0.9176027088045624,1
Talia,AF3,0.33918,1.6154224375065427,0.12852337708032585,0.6242564029615828,2
Talia,F1,0.14805999999999997,0.7176553324474025,0.48477339846875966,0.901253525261125,3
Talia,F3,0.08304,0.30298295442686063,0.7663581880476646,0.9176027088045624,4
Talia,F5,-0.10119999999999997,-0.3948760828548867,0.6988849031082844,0.9176027088045624,5
Talia,F7,-0.17894,-0.6705773306433042,0.51340087552082,0.901253525261125,6
Talia,FT7,0.31931333333333334,1.1729354694770724,0.26039285408167323,0.7082685631021512,7
Talia,FC5,-0.009066666666666645,-0.03149616170445362,0.975318470822067,0.975318470822067,8
Talia,FC3,0.39380666666666664,1.8346994354662391,0.08788573266392222,0.5250173592876667,9
Talia,FC1,-0.03304666666666667,-0.14362091554192855,0.8878466029003576,0.9583106190035605,10
Talia,C1,0.12678000000000006,0.48690196849681544,0.633862431349866,0.901253525261125,11
Talia,C3,-0.05251333333333333,-0.17674572034882893,0.8622395333555075,0.9456820688415244,12
Talia,C5,0.3607266666666666,1.4107513651808328,0.18015077877428778,0.7077763850273544,13
Talia,T7,0.011613333333333342,0.044571264226985444,0.9650785496027158,0.975318470822067,14
Talia,TP7,-0.07504666666666668,-0.29922152205931557,0.769166976497942,0.9176027088045624,15
Talia,CP5,0.16773333333333326,0.5681156661050003,0.5789549962302425,0.901253525261125,16
Talia,CP3,0.15547999999999995,0.6109438380191674,0.5510277116908092,0.901253525261125,17
Talia,CP1,0.11123999999999998,0.5251223618556525,0.607714714796346,0.901253525261125,18
Talia,P1,0.10769999999999999,0.46449729714737736,0.6494326873205166,0.901253525261125,19
Talia,P3,0.21526000000000006,1.1321785935721909,0.27657897776071766,0.7233604033741846,20
Talia,P5,0.28454,1.1950649005410563,0.25191416782855935,0.7082685631021512,21
Talia,P7,0.16902000000000003,0.6500238526914577,0.5262000581933218,0.901253525261125,22
Talia,P9,-0.07964666666666669,-0.27964275132210975,0.7838406297652788,0.9189855659317062,23
Talia,PO7,0.4283666666666667,1.878457324373727,0.08130318031620827,0.5250173592876667,24
Talia,PO3,0.0891133333333333,0.35869434131025857,0.7251752663102562,0.9176027088045624,25
Talia,O1,0.4411866666666666,1.7663042151594694,0.09913096061184948,0.5250173592876667,26
Talia,Iz,-0.13204,-0.4767478075857464,0.6408974330629478,0.901253525261125,27
Talia,Oz,0.42678,2.090037617422615,0.055343131353664005,0.4335733999054107,28
Talia,POz,-0.30833333333333335,-1.0102119925915725,0.3295356395576788,0.8299416107378577,29
Talia,Pz,-0.29673333333333335,-1.2288199525077719,0.2393949537592522,0.7077763850273544,30
Talia,CPz,0.24536000000000005,1.2792202208276438,0.22161564922907084,0.7077763850273544,31
Talia,Fpz,0.4915733333333333,2.994406742175101,0.009657984861506754,0.1581037228026722,32
Talia,Fp2,0.37258,2.2127584131780367,0.04403371600756103,0.4335733999054107,33
Talia,AF8,0.6149066666666667,4.116167053028748,0.0010485117940489629,0.07129880199532948,34
Talia,AF4,0.37044,3.5282528149818493,0.0033422206078688936,0.09057923515529977,35
Talia,AFz,0.4835866666666667,2.9007298085990807,0.011625273735490603,0.1581037228026722,36
Talia,Fz,0.57374,3.4383517793365317,0.0039961427274396956,0.09057923515529977,37
Talia,F2,0.14297333333333334,0.7428878675255636,0.4698324898690886,0.901253525261125,38
Talia,F4,0.11148666666666672,0.5032080714900115,0.622641945869296,0.901253525261125,39
Talia,F6,0.2745733333333334,1.25430212064122,0.23027055457903262,0.7077763850273544,40
Talia,F8,-0.07469999999999999,-0.3871259318034038,0.7044840808968986,0.9176027088045624,41
Talia,FT8,0.025613333333333325,0.11966458707589765,0.9064491029776575,0.963102171913761,42
Talia,FC6,-0.10637333333333336,-0.5245685085895242,0.6080897913210671,0.901253525261125,43
Talia,FC4,-0.04649333333333338,-0.17918155891653434,0.8603624673053475,0.9456820688415244,44
Talia,FC2,0.10814666666666665,0.5184198175458973,0.6122614381855583,0.901253525261125,45
Talia,FCz,-0.0580533333333333,-0.21432330900888436,0.8333852046722595,0.9456820688415244,46
Talia,Cz,0.08958666666666666,0.3326351608033678,0.7443381111509706,0.9176027088045624,47
Talia,C2,0.007006666666666663,0.040659754537901736,0.9681413096558471,0.975318470822067,48
Talia,C4,-0.022273333333333336,-0.09062193150046952,0.9290768086040903,0.9719572766935098,49
Talia,C6,-0.5193866666666668,-2.070402224493372,0.05738471469336318,0.4335733999054107,50
Talia,T8,-0.28106666666666674,-0.9426296623972551,0.3618535008528017,0.8590452091690568,51
Talia,TP8,0.12293333333333333,0.4807283247063744,0.6381353322076042,0.901253525261125,52
Talia,CP6,-0.3439,-1.256393227177571,0.22953412762395478,0.7077763850273544,53
Talia,CP4,-0.24492666666666668,-0.7187654204888871,0.48411012006789356,0.901253525261125,54
Talia,CP2,-0.21748000000000003,-0.8009399998656066,0.4365489174485297,0.901253525261125,55
Talia,P2,-0.36504,-1.3519210313613217,0.19783879176687386,0.7077763850273544,56
Talia,P4,-0.38948666666666665,-1.3320327756598334,0.20412864616709875,0.7077763850273544,57
Talia,P6,0.05741999999999999,0.1966149959153721,0.8469544386809414,0.9456820688415244,58
Talia,P8,0.39088,1.547545400882588,0.14403470335325785,0.6499028362904505,59
Talia,P10,0.42208,1.7591900014386865,0.10037096574617158,0.5250173592876667,60
Talia,PO8,0.20516000000000004,0.6563379588521044,0.5222489131135671,0.901253525261125,61
Talia,PO4,-0.23755333333333334,-0.744370169138665,0.4689636339245085,0.901253525261125,62
Talia,O2,0.29070000000000007,0.93313415002467,0.3665657765906024,0.8590452091690568,63
Talia,PO9,0.16505333333333336,0.5429239273940426,0.5957207490821647,0.901253525261125,64
Talia,I1,0.09480666666666665,0.3365977770435498,0.7414124335629197,0.9176027088045624,65
Talia,I2,0.28080000000000005,0.9084950831924394,0.3789905334569368,0.8590452091690568,66
Talia,PO10,0.3719266666666667,1.5114322900253923,0.15291831442128248,0.6499028362904505,67
