dataset,subject,elec_idx,elec,z,p
Angelique,S02,0,Fp1,0.7541,0.27344
Angelique,S02,1,AF7,0.1295,0.36719
Angelique,S02,2,AF3,-0.791,0.67969
Angelique,S02,3,F1,0.9477,0.24219
Angelique,S02,4,F3,0.8601,0.17969
Angelique,S02,5,F5,-1.0202,0.78906
Angelique,S02,6,F7,-0.5552,0.63281
Angelique,S02,7,FT7,0.5348,0.36719
Angelique,S02,8,FC5,-0.8591,0.66406
Angelique,S02,9,FC3,-0.7291,0.64844
Angelique,S02,10,FC1,1.0492,0.19531
Angelique,S02,11,C1,1.7356,0.05469
Angelique,S02,12,C3,-0.7624,0.67969
Angelique,S02,13,C5,-1.2192,0.96094
Angelique,S02,14,T7,-1.4671,0.89844
Angelique,S02,15,TP7,-1.6199,0.96094
Angelique,S02,16,CP5,-1.1415,0.88281
Angelique,S02,17,CP3,1.7434,0.02344
Angelique,S02,18,CP1,1.2492,0.13281
Angelique,S02,19,P1,1.2016,0.11719
Angelique,S02,20,P3,1.509,0.03906
Angelique,S02,21,P5,-1.1501,0.85156
Angelique,S02,22,P7,0.271,0.47656
Angelique,S02,23,P9,-0.3725,0.63281
Angelique,S02,24,PO7,1.1003,0.10156
Angelique,S02,25,PO3,1.4197,0.11719
Angelique,S02,26,O1,1.4061,0.00781
Angelique,S02,27,Iz,-1.5826,0.94531
Angelique,S02,28,Oz,-0.9874,0.75781
Angelique,S02,29,POz,0.0292,0.47656
Angelique,S02,30,Pz,0.6264,0.35156
Angelique,S02,31,CPz,1.7014,0.00781
Angelique,S02,32,Fpz,1.2018,0.14844
Angelique,S02,33,Fp2,0.8881,0.19531
Angelique,S02,34,AF8,0.1564,0.46094
Angelique,S02,35,AF4,1.1042,0.17969
Angelique,S02,36,AFz,0.9318,0.22656
Angelique,S02,37,Fz,-0.0746,0.53906
Angelique,S02,38,F2,1.4738,0.07031
Angelique,S02,39,F4,0.7373,0.38281
Angelique,S02,40,F6,-1.2513,0.88281
Angelique,S02,41,F8,1.3509,0.11719
Angelique,S02,42,FT8,-0.3347,0.55469
