dataset,elec,z,t,p,q,elec_idx
Angelique,Fp1,0.33959666666666666,1.7803889123630567,0.08549273356990177,0.581350588275332,0
Angelique,AF7,0.07471000000000004,0.4359534909539171,0.666098613289776,0.888131484386368,1
Angelique,AF3,-0.11037333333333338,-0.5569968064383247,0.5818033170124081,0.888131484386368,2
Angelique,F1,-0.4716933333333334,-2.320579170560237,0.027545706845894944,0.4898667479319846,3
Angelique,F3,-0.01347333333333336,-0.06966132077644278,0.9449413743554619,0.9735759614571424,4
Angelique,F5,0.024946666666666686,0.12366741907697444,0.902431774256141,0.9632850944222228,5
Angelique,F7,0.13755666666666672,0.7573217669436364,0.4549669066897249,0.8569892339819404,6
Angelique,FT7,0.08623333333333338,0.46440199894446466,0.6458274598166593,0.888131484386368,7
Angelique,FC5,-0.17672333333333334,-1.0598992603757524,0.2979387139346134,0.7609050897907192,8
Angelique,FC3,-0.16506,-0.876317764745931,0.38805870999731623,0.7996361296914395,9
Angelique,FC1,-0.0005400000000000067,-0.002803204778778545,0.9977825638626646,0.9977825638626647,10
Angelique,C1,-0.20191333333333336,-1.1167394638139427,0.273273170450777,0.7609050897907192,11
Angelique,C3,-0.16292333333333336,-1.0261298965641887,0.3133138605020609,0.7609050897907192,12
Angelique,C5,-0.21139333333333338,-1.086451734311238,0.28622764884348617,0.7609050897907192,13
Angelique,T7,-0.3533733333333332,-2.1742149770536847,0.037992206908628395,0.4898667479319846,14
Angelique,TP7,-0.19171000000000002,-1.033948805416861,0.30970586576207787,0.7609050897907192,15
Angelique,CP5,0.02895666666666669,0.1670222364542544,0.8685117471796405,0.9632850944222228,16
Angelique,CP3,0.07131666666666664,0.44628688481426254,0.6587047191085649,0.888131484386368,17
Angelique,CP1,-0.22771,-1.2827766922182933,0.20972860515526986,0.7609050897907192,18
Angelique,P1,0.06683999999999998,0.3506952380662906,0.7283517682593718,0.9076172939608191,19
Angelique,P3,-0.20736333333333334,-1.162726296224779,0.2544196725180952,0.7609050897907192,20
Angelique,P5,-0.11122999999999998,-0.608924268906579,0.5473154945970292,0.8861298483951902,21
Angelique,P7,-0.19849,-1.1602516453579752,0.2554093709788821,0.7609050897907192,22
Angelique,P9,-0.02058666666666661,-0.1003116128065008,0.9207872226094777,0.9632850944222228,23
Angelique,PO7,0.25947000000000003,1.5147969088876445,0.1406483572676476,0.7465441066345854,24
Angelique,PO3,-0.2118233333333333,-1.0665431039423987,0.2949772635644458,0.7609050897907192,25
Angelique,O1,0.16503666666666658,0.9144066800998485,0.368043876042152,0.782093236589573,26
Angelique,Iz,-0.20080666666666666,-1.0467822340762885,0.3038467598258328,0.7609050897907192,27
Angelique,Oz,-0.3556466666666667,-2.082006902464188,0.04627376071152108,0.4898667479319846,28
Angelique,POz,-0.2935099999999999,-2.0909918111496575,0.04540165832296697,0.4898667479319846,29
Angelique,Pz,-0.03899666666666673,-0.2013777881901204,0.8418090435464796,0.9540502493526769,30
Angelique,CPz,-0.16043666666666664,-0.9431166738066948,0.3534125077807813,0.775227436422359,31
Angelique,Fpz,-0.16826666666666662,-0.8226431079487555,0.41742424273529616,0.8348484854705923,32
Angelique,Fp2,-0.05191999999999994,-0.2754330356539464,0.7849366424578232,0.9293481096961599,33
Angelique,AF8,-0.18507999999999997,-0.9647678067745865,0.3426379415000737,0.775227436422359,34
Angelique,AF4,-0.08717666666666668,-0.44796879408799645,0.6575045464859175,0.888131484386368,35
Angelique,AFz,-0.05004666666666664,-0.2532986476087194,0.8018245272728346,0.9293481096961599,36
Angelique,Fz,-0.3863533333333332,-2.0736225791236955,0.047100919195398154,0.4898667479319846,37
Angelique,F2,-0.28496333333333335,-1.4673293721382936,0.1530488233022071,0.7465441066345854,38
