dataset,subject,modality,font,n_seq,purity_kmeans,feature,level
Angelique,S02,Dig,1F,4,0.5,SNR_occ,font
Angelique,S02,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S02,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S02,NumWoGE,1F,4,1.0,SNR_occ,font
Angelique,S02,NumWoGE,20F/A,4,1.0,SNR_occ,font
Angelique,S02,NumWoGE,20F/S,4,1.0,SNR_occ,font
Angelique,S03,Dig,1F,4,0.5,SNR_occ,font
Angelique,S03,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S03,Dig,20F/S,4,1.0,SNR_occ,font
Angelique,S03,NumWoGE,1F,4,0.5,SNR_occ,font
Angelique,S03,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S03,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S04,Dig,1F,4,0.75,SNR_occ,font
Angelique,S04,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S04,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S04,NumWoGE,1F,4,1.0,SNR_occ,font
Angelique,S04,NumWoGE,20F/A,4,1.0,SNR_occ,font
Angelique,S04,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S05,Dig,1F,4,0.5,SNR_occ,font
Angelique,S05,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S05,Dig,20F/S,4,1.0,SNR_occ,font
Angelique,S05,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S05,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S05,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S07,Dig,1F,4,0.75,SNR_occ,font
Angelique,S07,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S07,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S07,NumWoGE,1F,4,1.0,SNR_occ,font
Angelique,S07,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S07,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S08,Dig,1F,4,0.75,SNR_occ,font
Angelique,S08,Dig,20F/A,4,0.75,SNR_occ,font
Angelique,S08,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S08,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S08,NumWoGE,20F/A,4,0.5,SNR_occ,font
Angelique,S08,NumWoGE,20F/S,4,0.75,SNR_occ,font
Angelique,S09,Dig,1F,4,0.75,SNR_occ,font
Angelique,S09,Dig,20F/A,4,1.0,SNR_occ,font
Angelique,S09,Dig,20F/S,4,0.5,SNR_occ,font
Angelique,S09,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S09,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S09,NumWoGE,20F/S,4,0.5,SNR_occ,font
Angelique,S10,Dig,1F,4,0.5,SNR_occ,font
Angelique,S10,Dig,20F/A,4,0.5,SNR_occ,font
Angelique,S10,Dig,20F/S,4,0.75,SNR_occ,font
Angelique,S10,NumWoGE,1F,4,0.75,SNR_occ,font
Angelique,S10,NumWoGE,20F/A,4,0.75,SNR_occ,font
Angelique,S10,NumWoGE,20F/S,4,1.0,SNR_occ,font
Angelique,S11,Dig,1F,4,0.75,SNR_occ,font
