subject,dataset,modality,n_seq,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label,feature,level
S02,Angelique,Dig,12,0.8333,0.3956,0.6335,0.0979,0.6667,0.5556,0.75,0.1773,0.6319,0.2917,0.5,0.5139,0.318,0.2875,diffERP_occ,modality
S02,Angelique,NumWoGE,12,0.75,0.1773,0.6331,0.2989,0.5,0.5139,0.75,0.1773,0.6331,0.2989,0.5,0.5139,0.4776,0.2464,diffERP_occ,modality
S03,Angelique,Dig,12,0.75,0.1773,0.6673,0.4026,0.8333,0.5139,0.75,0.1773,0.6673,0.4026,0.8333,0.5139,0.517,0.2905,diffERP_occ,modality
S03,Angelique,NumWoGE,12,0.8333,0.3956,0.6342,0.4026,1.0,0.5556,0.8333,0.3889,0.6339,0.1999,0.6667,0.5,0.5187,0.3277,diffERP_occ,modality
S04,Angelique,Dig,12,0.8333,0.3956,0.6324,0.0979,0.6667,0.5556,0.8333,0.3889,0.6321,0.1983,0.6667,0.5,0.3644,0.2503,diffERP_occ,modality
S04,Angelique,NumWoGE,12,0.6667,0.033,0.6324,0.6949,0.6667,0.5556,0.5833,-0.0665,0.6331,1.0,0.5,0.5139,0.502,-0.0081,diffERP_occ,modality
S05,Angelique,Dig,12,0.5833,-0.0434,0.5996,1.0,0.5,0.625,0.6667,0.033,0.6337,0.6989,0.6667,0.5556,0.3528,0.0766,diffERP_occ,modality
S05,Angelique,NumWoGE,12,0.75,0.1951,0.6501,0.4009,0.8333,0.625,0.75,0.1773,0.6327,0.296,0.5,0.5139,0.3747,0.0652,diffERP_occ,modality
S07,Angelique,Dig,12,0.75,0.1951,0.6502,0.4012,0.8333,0.625,0.75,0.1951,0.6502,0.4012,0.8333,0.625,0.5524,0.1369,diffERP_occ,modality
S07,Angelique,NumWoGE,12,1.0,1.0,0.6993,0.0979,1.0,0.5,1.0,1.0,0.6993,0.0979,1.0,0.5,0.59,0.59,diffERP_occ,modality
S08,Angelique,Dig,12,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.4732,0.169,diffERP_occ,modality
S08,Angelique,NumWoGE,12,0.8333,0.3889,0.6328,0.1992,0.6667,0.5,0.8333,0.3889,0.6328,0.1992,0.6667,0.5,0.4902,0.2678,diffERP_occ,modality
S09,Angelique,Dig,12,0.6667,0.0222,0.5998,0.5986,0.3333,0.5,0.6667,0.0222,0.6002,0.6012,0.3333,0.5,0.3547,0.1183,diffERP_occ,modality
S09,Angelique,NumWoGE,12,0.5833,-0.0665,0.633,1.0,0.5,0.5139,0.5833,-0.0665,0.633,1.0,0.5,0.5139,0.5072,-0.0803,diffERP_occ,modality
S10,Angelique,Dig,12,0.5833,-0.0665,0.6337,1.0,0.5,0.5139,0.5833,-0.0665,0.6337,1.0,0.5,0.5139,0.5107,-0.0185,diffERP_occ,modality
S10,Angelique,NumWoGE,12,0.5833,-0.0665,0.6338,1.0,0.5,0.5139,0.6667,0.0222,0.6342,0.6029,0.6667,0.5,0.4058,-0.0335,diffERP_occ,modality
S11,Angelique,Dig,12,0.6667,0.033,0.6342,0.7019,0.6667,0.5556,0.5,-0.1,0.6344,1.0,0.6667,0.5,0.4177,0.0164,diffERP_occ,modality
S11,Angelique,NumWoGE,12,0.5,-0.0879,0.566,1.0,0.3333,0.5556,0.5,-0.0879,0.566,1.0,0.3333,0.5556,0.4427,0.1232,diffERP_occ,modality
S13,Angelique,Dig,12,0.75,0.1773,0.667,0.4004,0.8333,0.5139,0.75,0.1773,0.667,0.4004,0.8333,0.5139,0.5143,0.222,diffERP_occ,modality
S13,Angelique,NumWoGE,12,0.5833,-0.0665,0.6339,1.0,0.5,0.5139,0.6667,0.0222,0.5994,0.5963,0.3333,0.5,0.3707,0.0612,diffERP_occ,modality
S15,Angelique,Dig,12,0.5,-0.0879,0.5674,1.0,0.3333,0.5556,0.5,-0.1,0.6343,1.0,0.6667,0.5,0.4113,-0.0137,diffERP_occ,modality
S15,Angelique,NumWoGE,12,0.9167,0.6648,0.665,0.0979,0.8333,0.5139,0.9167,0.6648,0.665,0.0979,0.8333,0.5139,0.6199,0.5159,diffERP_occ,modality
S16,Angelique,Dig,10,0.6,-0.0714,0.6601,1.0,0.6,0.52,0.6,-0.0714,0.6601,1.0,0.6,0.52,0.8542,-0.05,diffERP_occ,modality
S16,Angelique,NumWoGE,12,0.75,0.1773,0.6334,0.3005,0.5,0.5139,0.75,0.1773,0.6334,0.3005,0.5,0.5139,0.4493,0.0925,diffERP_occ,modality
S18,Angelique,Dig,12,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.5057,0.3581,diffERP_occ,modality
S18,Angelique,NumWoGE,12,0.5833,-0.0434,0.6001,1.0,0.5,0.625,0.5833,-0.0434,0.6001,1.0,0.5,0.625,0.8115,-0.0539,diffERP_occ,modality
S19,Angelique,Dig,12,0.8333,0.3889,0.6321,0.1956,0.6667,0.5,0.8333,0.3889,0.6321,0.1956,0.6667,0.5,0.4862,0.3083,diffERP_occ,modality
S19,Angelique,NumWoGE,12,0.5833,-0.0665,0.6663,1.0,0.8333,0.5139,0.5833,-0.0665,0.6663,1.0,0.8333,0.5139,0.6229,0.1105,diffERP_occ,modality
S21,Angelique,Dig,12,0.75,0.1773,0.6334,0.3005,0.5,0.5139,0.75,0.1773,0.6334,0.3005,0.5,0.5139,0.6543,0.1306,diffERP_occ,modality
S21,Angelique,NumWoGE,12,0.6667,0.033,0.6327,0.7002,0.6667,0.5556,0.6667,0.0222,0.6,0.6003,0.3333,0.5,0.5068,0.0003,diffERP_occ,modality
S22,Angelique,Dig,12,0.5833,-0.0665,0.634,1.0,0.5,0.5139,0.5833,-0.0665,0.634,1.0,0.5,0.5139,0.4429,0.0392,diffERP_occ,modality
S22,Angelique,NumWoGE,12,0.6667,0.0222,0.5997,0.5982,0.3333,0.5,0.6667,0.0222,0.5997,0.5982,0.3333,0.5,0.4763,0.0638,diffERP_occ,modality
S23,Angelique,Dig,12,0.5833,-0.0665,0.6334,1.0,0.5,0.5139,0.5833,-0.0665,0.6334,1.0,0.5,0.5139,0.4326,0.1616,diffERP_occ,modality
S23,Angelique,NumWoGE,12,0.8333,0.3956,0.6334,0.4004,1.0,0.5556,0.8333,0.3889,0.6321,0.1983,0.6667,0.5,0.4733,0.2083,diffERP_occ,modality
S24,Angelique,Dig,12,0.5833,-0.0434,0.6001,1.0,0.5,0.625,0.5833,-0.0434,0.6001,1.0,0.5,0.625,0.5674,-0.0482,diffERP_occ,modality
S24,Angelique,NumWoGE,12,0.9167,0.6648,0.6663,0.0979,0.8333,0.5139,0.9167,0.6648,0.6663,0.0979,0.8333,0.5139,0.5218,0.4498,diffERP_occ,modality
S25,Angelique,Dig,12,0.6667,0.033,0.6342,0.7048,0.6667,0.5556,0.6667,0.033,0.6342,0.7048,0.6667,0.5556,0.667,0.0094,diffERP_occ,modality
S25,Angelique,NumWoGE,12,0.6667,0.0222,0.6313,0.5941,0.6667,0.5,0.5833,-0.0665,0.6656,1.0,0.8333,0.5139,0.5325,0.1281,diffERP_occ,modality
S26,Angelique,Dig,12,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.5062,0.0879,diffERP_occ,modality
S26,Angelique,NumWoGE,12,0.5,-0.0879,0.5669,1.0,0.3333,0.5556,0.5,-0.0879,0.5669,1.0,0.3333,0.5556,0.377,-0.0483,diffERP_occ,modality
S27,Angelique,Dig,12,0.5833,-0.0665,0.6334,1.0,0.5,0.5139,0.5833,-0.0665,0.6334,1.0,0.5,0.5139,0.487,0.1374,diffERP_occ,modality
S27,Angelique,NumWoGE,12,0.5,-0.1,0.6334,1.0,0.6667,0.5,0.5,-0.1,0.6334,1.0,0.6667,0.5,0.5494,0.0144,diffERP_occ,modality
S28,Angelique,Dig,12,0.8333,0.3956,0.6325,0.0979,0.6667,0.5556,0.75,0.1773,0.633,0.2979,0.5,0.5139,0.3418,0.2642,diffERP_occ,modality
S28,Angelique,NumWoGE,12,1.0,1.0,0.6993,0.0979,1.0,0.5,1.0,1.0,0.6993,0.0979,1.0,0.5,0.5611,0.5611,diffERP_occ,modality
S29,Angelique,Dig,12,0.6667,0.033,0.5668,0.4012,0.3333,0.5556,0.6667,0.0222,0.6002,0.6013,0.3333,0.5,0.4749,0.0085,diffERP_occ,modality
S29,Angelique,NumWoGE,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5485,-0.0523,diffERP_occ,modality
S31,Angelique,Dig,12,0.5833,-0.0665,0.6336,1.0,0.5,0.5139,0.5833,-0.0665,0.6336,1.0,0.5,0.5139,0.5967,-0.0293,diffERP_occ,modality
S31,Angelique,NumWoGE,12,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.5339,-0.1057,diffERP_occ,modality
S32,Angelique,Dig,12,0.8333,0.3956,0.6336,0.4009,1.0,0.5556,0.75,0.1773,0.6664,0.4009,0.8333,0.5139,0.424,0.313,diffERP_occ,modality
S32,Angelique,NumWoGE,12,0.5833,-0.0665,0.6333,1.0,0.5,0.5139,0.5833,-0.0665,0.6333,1.0,0.5,0.5139,0.4051,-0.0325,diffERP_occ,modality
