subject,dataset,modality,n_seq,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label,feature,level
S02,Angelique,Dig,12,0.5,-0.0532,0.5665,1.0,0.6667,0.7222,0.75,0.1773,0.6322,0.2933,0.5,0.5139,0.3574,-0.0603,SNR_occ,modality
S02,Angelique,NumWoGE,12,0.6667,0.0222,0.6992,1.0,1.0,0.5,0.6667,0.033,0.6328,0.699,0.6667,0.5556,0.3811,0.0694,SNR_occ,modality
S03,Angelique,Dig,12,0.5,-0.1,0.6344,1.0,0.6667,0.5,0.5,-0.1,0.6344,1.0,0.6667,0.5,0.3899,-0.0925,SNR_occ,modality
S03,Angelique,NumWoGE,12,0.5,-0.0879,0.6339,1.0,1.0,0.5556,0.5833,-0.0665,0.6673,1.0,0.8333,0.5139,0.3721,-0.047,SNR_occ,modality
S04,Angelique,Dig,12,0.5833,-0.0434,0.6001,1.0,0.5,0.625,0.6667,0.0222,0.6341,0.6029,0.6667,0.5,0.273,0.0185,SNR_occ,modality
S04,Angelique,NumWoGE,12,0.5833,-0.0665,0.6675,1.0,0.8333,0.5139,0.5,-0.1,0.6344,1.0,0.6667,0.5,0.3782,-0.0882,SNR_occ,modality
S05,Angelique,Dig,12,0.5833,-0.0665,0.6329,1.0,0.5,0.5139,0.6667,0.0222,0.6002,0.6013,0.3333,0.5,0.3057,-0.028,SNR_occ,modality
S05,Angelique,NumWoGE,12,0.6667,0.033,0.5657,0.3946,0.3333,0.5556,0.5833,-0.0665,0.5833,1.0,0.1667,0.5139,0.3679,-0.0785,SNR_occ,modality
S07,Angelique,Dig,12,0.5,-0.0879,0.6339,1.0,1.0,0.5556,0.5,-0.0879,0.6339,1.0,1.0,0.5556,0.7275,-0.0716,SNR_occ,modality
S07,Angelique,NumWoGE,12,0.5,-0.0879,0.6339,1.0,1.0,0.5556,0.6667,0.0222,0.7001,1.0,1.0,0.5,0.3404,0.0107,SNR_occ,modality
S08,Angelique,Dig,12,0.5833,-0.0665,0.6333,1.0,0.5,0.5139,0.5,-0.0879,0.633,1.0,0.6667,0.5556,0.4744,-0.0323,SNR_occ,modality
S08,Angelique,NumWoGE,12,0.5833,-0.0665,0.6338,1.0,0.5,0.5139,0.5833,-0.0665,0.6338,1.0,0.5,0.5139,0.6322,-0.0693,SNR_occ,modality
S09,Angelique,Dig,12,0.5,-0.1,0.6009,1.0,0.3333,0.5,0.6667,0.033,0.5657,0.3946,0.3333,0.5556,0.391,-0.1031,SNR_occ,modality
S09,Angelique,NumWoGE,12,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.6667,0.033,0.6337,0.7017,0.6667,0.5556,0.5265,0.0246,SNR_occ,modality
