dataset,subject,measure,stat,z,p,n_assignments,q
Angelique,S02,csp2_diff,0.4169427627335631,-0.5981846204883264,0.5703125,64,0.7883522727272727
Angelique,S03,csp2_diff,1.0577881674324416,0.5962113829842178,0.203125,64,0.703125
Angelique,S04,csp2_diff,0.09240038518149962,-0.5456732049679718,0.6640625,64,0.830078125
Angelique,S05,csp2_diff,3.1475133219167812,0.20075771645744403,0.3828125,64,0.7552083333333334
Angelique,S07,csp2_diff,0.22799512700139068,2.071623148866099,0.0078125,64,0.234375
Angelique,S08,csp2_diff,1.0207898512960547,1.2504910993277605,0.078125,64,0.4296875
Angelique,S09,csp2_diff,0.4115741092326948,-0.12261743176314005,0.5703125,64,0.7883522727272727
Angelique,S10,csp2_diff,1.0245463821791283,0.21086601540856753,0.421875,64,0.7552083333333334
Angelique,S11,csp2_diff,1.9806949876351538,1.313060350812404,0.1015625,64,0.43526785714285715
Angelique,S13,csp2_diff,0.8109768028654276,-0.11442097701482895,0.515625,64,0.7883522727272727
Angelique,S15,csp2_diff,0.8707674476021623,0.17003269086221348,0.328125,64,0.7552083333333334
Angelique,S16,csp2_diff,0.5700719869811088,-0.9218523324788601,0.734375,32,0.8473557692307693
Angelique,S18,csp2_diff,0.3783064887271106,-0.8304138758599962,0.7890625,64,0.8621651785714286
Angelique,S19,csp2_diff,3.8330341531227248,0.7100451254664147,0.2109375,64,0.703125
Angelique,S21,csp2_diff,0.37992345548939177,1.8834360590570378,0.0546875,64,0.4296875
Angelique,S22,csp2_diff,1.6628133823862044,0.613312456429522,0.453125,64,0.7552083333333334
Angelique,S23,csp2_diff,0.26095711446001335,1.689731399669156,0.0859375,64,0.4296875
Angelique,S24,csp2_diff,0.33366738029004317,0.06767367391929545,0.3203125,64,0.7552083333333334
Angelique,S25,csp2_diff,0.2974246758578829,-0.15722666224339338,0.4453125,64,0.7552083333333334
Angelique,S26,csp2_diff,0.3167107034804175,-0.7762980870582764,0.8046875,64,0.8621651785714286
Angelique,S27,csp2_diff,0.9710967913249906,-0.08374179970126301,0.4453125,64,0.7552083333333334
Angelique,S28,csp2_diff,0.45976377698425885,-0.2506725866919354,0.6171875,64,0.8050271739130435
Angelique,S29,csp2_diff,1.248417387606569,-0.7027008987746985,0.7109375,64,0.8473557692307693
Angelique,S31,csp2_diff,0.3725185539841682,0.43856709276797273,0.2734375,64,0.7457386363636364
Angelique,S32,csp2_diff,0.6855603587555947,1.9008761929479419,0.0546875,64,0.4296875
