dataset,subject,measure,stat,z,p,n_assignments,q
Angelique,S02,csp_diff,2.6194196705953177,2.1527854020290995,0.0234375,64,0.6510416666666666
Angelique,S03,csp_diff,2.9894725538170244,0.7868446509571007,0.1953125,64,0.6510416666666666
Angelique,S04,csp_diff,1.753015417168279,-0.5556429054249029,0.6640625,64,0.8022836538461539
Angelique,S05,csp_diff,2.102454749795363,-1.2902779449045028,0.9921875,64,0.9921875
Angelique,S07,csp_diff,3.1261632994947823,2.110587455754353,0.0703125,64,0.6510416666666666
Angelique,S08,csp_diff,2.9389622867448066,0.07192165911774938,0.5546875,64,0.8022836538461539
Angelique,S09,csp_diff,2.359025842684088,-0.7775267978737725,0.8046875,64,0.8324353448275862
Angelique,S10,csp_diff,2.858405646883442,-0.5948747180138526,0.6640625,64,0.8022836538461539
Angelique,S11,csp_diff,2.734766926348116,-0.5973523909041312,0.6953125,64,0.8022836538461539
Angelique,S13,csp_diff,2.9525336648019835,1.103821053550953,0.1640625,64,0.6510416666666666
Angelique,S15,csp_diff,2.716384045765965,0.8814430183132769,0.2265625,64,0.6796875
Angelique,S16,csp_diff,3.082345781768209,1.5608453783306766,0.109375,32,0.6510416666666666
Angelique,S18,csp_diff,3.0852942665309016,-0.01886805356875636,0.4140625,64,0.8022836538461539
Angelique,S19,csp_diff,2.5393631812021735,-0.5105339892859365,0.5703125,64,0.8022836538461539
Angelique,S21,csp_diff,2.6716060584531967,0.4039780189043371,0.2890625,64,0.72265625
Angelique,S22,csp_diff,2.3073346597469517,-0.7226065798126835,0.7578125,64,0.8119419642857143
Angelique,S23,csp_diff,2.2802452609041763,0.26659630583776966,0.3828125,64,0.8022836538461539
Angelique,S24,csp_diff,2.7167912914541077,1.3417415415776506,0.1015625,64,0.6510416666666666
Angelique,S25,csp_diff,2.6523292626222434,-0.4199725424086852,0.7421875,64,0.8119419642857143
Angelique,S26,csp_diff,2.503173450147695,0.7857575997628303,0.1796875,64,0.6510416666666666
Angelique,S27,csp_diff,2.5376874100378535,1.0964752755984413,0.1484375,64,0.6510416666666666
Angelique,S28,csp_diff,2.510750531570267,0.9868454652606633,0.1484375,64,0.6510416666666666
Angelique,S29,csp_diff,2.7178731507802354,0.03183171622987367,0.5546875,64,0.8022836538461539
Angelique,S31,csp_diff,2.672228304748792,-0.405124626755218,0.5859375,64,0.8022836538461539
Angelique,S32,csp_diff,2.500003160622,0.4397988138202964,0.2734375,64,0.72265625
Angelique,S33,csp_diff,2.853485375215256,-0.5915971680838391,0.5859375,64,0.8022836538461539
Angelique,S34,csp_diff,2.4836072137413208,-0.42953481991197445,0.6640625,64,0.8022836538461539
Angelique,S35,csp_diff,2.610718406115027,-0.5740391827571651,0.6953125,64,0.8022836538461539
Angelique,S37,csp_diff,2.0599982922811373,-0.5210761006167711,0.6328125,64,0.8022836538461539
Angelique,S38,csp_diff,2.2755012081004726,0.06941298676786742,0.4296875,64,0.8022836538461539
Talia,S01,csp_diff,3.0728833837049674,0.8672738127397114,0.15625,16,0.46875
Talia,S02,csp_diff,3.6222788728559805,0.3516855839156071,0.34375,16,0.46875
Talia,S03,csp_diff,2.916760821403952,0.38963384141505614,0.34375,16,0.46875
Talia,S04,csp_diff,2.7247161997338987,0.276272769384822,0.28125,16,0.46875
Talia,S05,csp_diff,3.182350409190853,0.5472870405399948,0.34375,16,0.46875
