subset,arm,op,subject,z,p,n_assignments
D1 digits,disc,roi_rms,S02,0.16144918531450464,0.3125,8
D1 digits,disc,roi_tmpl,S02,0.45545848336864003,0.375,8
D1 digits,disc,tdca,S02,1.5100933626487048,0.125,8
D1 digits,disc,roi_rms,S03,1.3097562474562923,0.1875,8
D1 digits,disc,roi_tmpl,S03,1.4825007110570765,0.125,8
D1 digits,disc,tdca,S03,1.5100371872352112,0.125,8
D1 digits,disc,roi_rms,S04,-1.4043654828800067,0.9375,8
D1 digits,disc,roi_tmpl,S04,-0.19620576673863294,0.375,8
D1 digits,disc,tdca,S04,1.4643738520788963,0.125,8
D1 digits,disc,roi_rms,S05,-0.6550845053791245,0.6875,8
D1 digits,disc,roi_tmpl,S05,0.9232836411173472,0.125,8
D1 digits,disc,tdca,S05,0.7419003636456196,0.375,8
D1 digits,disc,roi_rms,S07,-1.5852804953808664,0.9375,8
D1 digits,disc,roi_tmpl,S07,1.0016971491394135,0.125,8
D1 digits,disc,tdca,S07,1.6078592052132628,0.125,8
D1 digits,disc,roi_rms,S08,0.38764843724617326,0.4375,8
D1 digits,disc,roi_tmpl,S08,0.6800670188423538,0.125,8
D1 digits,disc,tdca,S08,1.3378838310934527,0.125,8
D1 digits,disc,roi_rms,S09,1.6142274195009712,0.0625,8
D1 digits,disc,roi_tmpl,S09,1.1803898349064417,0.125,8
D1 digits,disc,tdca,S09,-1.3273144434355513,0.875,8
D1 digits,disc,roi_rms,S10,-0.3624374603934651,0.6875,8
D1 digits,disc,roi_tmpl,S10,0.9482876074432879,0.125,8
D1 digits,disc,tdca,S10,1.458887176377476,0.125,8
D1 digits,disc,roi_rms,S11,0.18710521635134802,0.4375,8
D1 digits,disc,roi_tmpl,S11,1.078525059377265,0.125,8
D1 digits,disc,tdca,S11,1.5312122424280195,0.125,8
D1 digits,disc,roi_rms,S13,-0.2878027895632908,0.5625,8
D1 digits,disc,roi_tmpl,S13,1.1083800234859258,0.125,8
D1 digits,disc,tdca,S13,1.4732854707834642,0.125,8
D1 digits,disc,roi_rms,S15,-0.6622623865055067,0.6875,8
D1 digits,disc,roi_tmpl,S15,0.8837359513796852,0.125,8
D1 digits,disc,tdca,S15,1.1330448509918125,0.125,8
D1 digits,disc,roi_rms,S16,0.2223653295410527,0.375,4
D1 digits,disc,roi_tmpl,S16,1.0469572326687793,0.125,4
D1 digits,disc,tdca,S16,-0.2154988219820372,0.375,4
D1 digits,disc,roi_rms,S18,-0.481661567454142,0.6875,8
D1 digits,disc,roi_tmpl,S18,1.4480187396435107,0.125,8
D1 digits,disc,tdca,S18,1.5495408025799273,0.125,8
D1 digits,disc,roi_rms,S19,0.4975448893214386,0.4375,8
D1 digits,disc,roi_tmpl,S19,1.3460932907329821,0.125,8
D1 digits,disc,tdca,S19,0.2149760361506354,0.375,8
D1 digits,disc,roi_rms,S21,-0.7809274438773698,0.6875,8
D1 digits,disc,roi_tmpl,S21,-0.07382664146074042,0.375,8
D1 digits,disc,tdca,S21,1.4812586651571695,0.125,8
D1 digits,disc,roi_rms,S22,-0.9146580220049157,0.8125,8
D1 digits,disc,roi_tmpl,S22,-0.40248739472702394,0.625,8
D1 digits,disc,tdca,S22,0.9684306291812106,0.125,8
D1 digits,disc,roi_rms,S23,1.4518840871538232,0.0625,8
D1 digits,disc,roi_tmpl,S23,-0.17498108997959522,0.625,8
D1 digits,disc,tdca,S23,-0.05263892216590042,0.375,8
D1 digits,disc,roi_rms,S24,0.6788239881175155,0.4375,8
D1 digits,disc,roi_tmpl,S24,0.12374680621459294,0.625,8
D1 digits,disc,tdca,S24,0.6009243905518303,0.375,8
D1 digits,disc,roi_rms,S25,-1.1607719880236176,0.8125,8
D1 digits,disc,roi_tmpl,S25,0.8833275074664628,0.375,8
D1 digits,disc,tdca,S25,0.8671947551103819,0.375,8
D1 digits,disc,roi_rms,S26,0.06121644711917555,0.4375,8
D1 digits,disc,roi_tmpl,S26,1.5474600276639543,0.125,8
D1 digits,disc,tdca,S26,0.9598631026086047,0.125,8
D1 digits,disc,roi_rms,S27,-0.5114330036664796,0.6875,8
D1 digits,disc,roi_tmpl,S27,-0.6289598379006534,0.625,8
D1 digits,disc,tdca,S27,0.9596189640593447,0.125,8
D1 digits,disc,roi_rms,S28,1.3429734478201216,0.0625,8
D1 digits,disc,roi_tmpl,S28,1.5900978408328248,0.125,8
D1 digits,disc,tdca,S28,1.6159510437653213,0.125,8
D1 digits,disc,roi_rms,S29,0.4512374066042523,0.3125,8
D1 digits,disc,roi_tmpl,S29,1.505161721843624,0.125,8
D1 digits,disc,tdca,S29,1.36090906025613,0.125,8
D1 digits,disc,roi_rms,S31,0.8598011867229884,0.1875,8
D1 digits,disc,roi_tmpl,S31,0.9421603615814244,0.125,8
D1 digits,disc,tdca,S31,1.4323500330434473,0.125,8
D1 digits,disc,roi_rms,S32,1.5197288302920477,0.0625,8
D1 digits,disc,roi_tmpl,S32,0.0296054467306804,0.625,8
D1 digits,disc,tdca,S32,1.5826869297802195,0.125,8
