table,subset,arm,contrast,n,mean,lo,hi,t,p,pos,p_holm
subset,D1 digits,disc,roi_rms,30.0,0.0770772332840763,-0.2694481265147043,0.42360259308285686,0.4549180537254435,0.6525555864057571,17.0,
subset,D1 digits,disc,roi_tmpl,30.0,0.831658316534276,0.5904619916289553,1.0728546414395967,7.052065332130449,9.322326438337276e-08,25.0,
subset,D1 digits,disc,tdca,30.0,1.0616803157189125,0.8123601144700712,1.3110005169677539,8.709202227900972,1.375972810106696e-09,27.0,
subset,D1 digits,ctrl,roi_rms,30.0,0.48194461524157106,0.16955010328763248,0.7943391271955096,3.1552648181720873,0.0037191323998565376,19.0,
subset,D1 digits,ctrl,roi_tmpl,30.0,0.002274961158069725,-0.3639678184339418,0.3685177407500813,0.012704190374395661,0.9899507929905892,15.0,
subset,D1 digits,ctrl,tdca,30.0,0.04607203534311439,-0.31481899529956353,0.4069630659857923,0.2610979058950877,0.7958623315044168,16.0,
subset,D1 words,disc,roi_rms,30.0,0.12566857751519464,-0.24239037861045867,0.493727533640848,0.6983150268213605,0.4905424348886178,15.0,
subset,D1 words,disc,roi_tmpl,30.0,0.5253050451640908,0.14695787212533262,0.903652218202849,2.8396391623663546,0.008170493424696543,21.0,
subset,D1 words,disc,tdca,30.0,1.138181020356508,0.9516854681839766,1.3246765725290393,12.48202187037917,3.4598357885034375e-13,29.0,
subset,D1 words,ctrl,roi_rms,30.0,0.20139215055851029,-0.15234129658078166,0.5551255976978022,1.1644168775844477,0.2537451666769701,17.0,
subset,D1 words,ctrl,roi_tmpl,30.0,0.08113964201035122,-0.25266466401864845,0.4149439480393509,0.49714517756157783,0.622834980709216,14.0,
subset,D1 words,ctrl,tdca,30.0,0.12394275455506452,-0.22739505272366223,0.4752805618337913,0.721503323274554,0.47637718906539916,15.0,
subset,D1 all,disc,roi_rms,30.0,0.28480323199916024,-0.08020454798125276,0.6498110119795732,1.5958235528325924,0.12136967349989229,14.0,
subset,D1 all,disc,roi_tmpl,30.0,0.9395493699813386,0.5786954152823117,1.3004033246803655,5.325130005394181,1.0276968616661017e-05,23.0,
subset,D1 all,disc,tdca,30.0,0.8814914716949533,0.5728817237958267,1.19010121959408,5.841852046057169,2.4601299243810484e-06,26.0,
subset,D1 all,ctrl,roi_rms,30.0,0.5101619225051384,0.1464582504961235,0.8738655945141532,2.868814275180192,0.007607547822716512,21.0,
subset,D1 all,ctrl,roi_tmpl,30.0,-0.03358946715026767,-0.4924530451906161,0.42527411089008077,-0.14971372139091293,0.882026862009937,16.0,
subset,D1 all,ctrl,tdca,30.0,0.07077579839866202,-0.2527623580657308,0.39431395486305487,0.4474055314291276,0.6579063747589485,16.0,
subset,D2 digits,disc,roi_rms,15.0,0.6034173677923919,0.020894020967263338,1.1859407146175203,2.221716167692139,0.043299015037199275,13.0,
subset,D2 digits,disc,roi_tmpl,15.0,1.1800700383823968,0.855617508107003,1.5045225686577905,7.800828389240536,1.8342803058748287e-06,14.0,
subset,D2 digits,disc,tdca,15.0,1.7366934055825112,1.545374222500313,1.9280125886647093,19.469228528368077,1.5479624296926485e-11,15.0,
subset,D2 digits,ctrl,roi_rms,15.0,-0.24912991026281647,-0.7715212323726082,0.27326141184697517,-1.0228548838365752,0.3237268938362884,6.0,
subset,D2 digits,ctrl,roi_tmpl,15.0,-0.264399288282449,-0.7782606172819777,0.24946204071707972,-1.1035663549682262,0.28838932038330384,6.0,
subset,D2 digits,ctrl,tdca,15.0,-0.1342339442848724,-0.6058130294862789,0.33734514091653406,-0.6105087901553863,0.5513076652554341,5.0,
digits_minus_words,D1,disc,roi_rms,30.0,-0.04859134423111833,-0.578775933514454,0.48159324505221734,-0.18744501364495017,0.8526170671160781,14.0,1.0
digits_minus_words,D1,disc,roi_tmpl,30.0,0.3063532713701853,-0.058748966985126494,0.6714555097254971,1.7161296912150565,0.09680428857345821,17.0,0.2904128657203746
digits_minus_words,D1,disc,tdca,30.0,-0.0765007046375952,-0.4153886200284874,0.2623872107532971,-0.46169102426794145,0.6477476088951543,19.0,1.0
op_minus_roi,D1 digits,disc,roi_tmpl - roi_rms,30.0,0.7545810832501998,0.38182480347850734,1.1273373630218924,4.140216228687432,0.0002730444632005471,25.0,
op_minus_roi,D1 digits,disc,tdca - roi_rms,30.0,0.9846030824348363,0.5027361179282561,1.4664700469414165,4.179036037452737,0.0002455434500597168,25.0,
op_minus_roi,D1 words,disc,roi_tmpl - roi_rms,30.0,0.3996364676488962,-0.050440722428354845,0.8497136577261473,1.816018158068487,0.07971973449823368,21.0,
op_minus_roi,D1 words,disc,tdca - roi_rms,30.0,1.0125124428413133,0.6634640882549476,1.3615607974276789,5.932760988319919,1.9157626052703256e-06,26.0,
op_minus_roi,D1 all,disc,roi_tmpl - roi_rms,30.0,0.6547461379821785,0.18308201089668458,1.1264102650676724,2.8391097235816165,0.008181062611000874,21.0,
op_minus_roi,D1 all,disc,tdca - roi_rms,30.0,0.5966882396957932,0.23218070627513354,0.9611957731164529,3.3479814902191865,0.0022672577944411517,22.0,
op_minus_roi,D2 digits,disc,roi_tmpl - roi_rms,15.0,0.5766526705900049,-0.06979050582990975,1.2230958470099196,1.913233856505739,0.07639176169543659,8.0,
op_minus_roi,D2 digits,disc,tdca - roi_rms,15.0,1.1332760377901194,0.5277435383496955,1.7388085372305433,4.014046086435733,0.0012803044513943133,14.0,
d1dig_vs_d2,D1dig-D2,disc,roi_rms,,-0.5263401345083155,,,-1.6442249313111976,0.1125609588295599,,
d1dig_vs_d2,D1dig-D2,disc,roi_tmpl,,-0.34841172184812075,,,-1.816422164172766,0.0790781832190106,,
d1dig_vs_d2,D1dig-D2,disc,tdca,,-0.6750130898635986,,,-4.468678581470666,5.665112364946129e-05,,
