method,dataset,check,median,tail,roi_top10,n,passed,target_top10,z_target
tdca,D1,calibration,0.484375,0.08333333333333333,0.125,600,,,
tdca,D2,calibration,0.4375,0.0,0.08333333333333333,300,,,
tdca,pooled,calibration,0.484375,0.05555555555555555,0.1111111111111111,900,True,,
tdca,D1,plant ROI x0.1,,,0.13333333333333333,30,False,0.13333333333333333,0.37811656737105853
tdca,D1,plant ROI x0.5,,,0.9666666666666667,30,True,0.9666666666666667,2.0122165406706265
tdca,D1,plant nn:Pz x0.1,,,0.13333333333333333,30,False,0.03333333333333333,0.15619852733070194
tdca,D1,plant nn:Pz x0.5,,,0.0,30,True,1.0,2.157074674561853
tdca,D2,plant ROI x0.1,,,0.0,15,False,0.0,-0.10717310317376066
tdca,D2,plant ROI x0.5,,,0.9333333333333333,15,True,0.9333333333333333,1.6902995498517417
tdca,D2,plant nn:Pz x0.1,,,0.06666666666666667,15,False,0.2,-0.02751944718999084
tdca,D2,plant nn:Pz x0.5,,,0.0,15,False,0.7333333333333333,1.8171244789658811
csp,D1,calibration,0.484375,0.07166666666666667,0.10333333333333333,600,,,
csp,D2,calibration,0.5625,0.0,0.08,300,,,
csp,pooled,calibration,0.515625,0.04777777777777778,0.09555555555555556,900,True,,
csp,D1,plant ROI x0.1,,,0.1,30,False,0.1,-0.0682456239351433
csp,D1,plant ROI x0.5,,,0.3,30,False,0.3,0.549214628824772
csp,D1,plant nn:Pz x0.1,,,0.1,30,False,0.2,-0.016992161936501316
csp,D1,plant nn:Pz x0.5,,,0.13333333333333333,30,False,0.43333333333333335,1.0450410256427047
csp,D2,plant ROI x0.1,,,0.0,15,False,0.0,-0.38506666932685196
csp,D2,plant ROI x0.5,,,0.13333333333333333,15,False,0.13333333333333333,0.3858336657094755
csp,D2,plant nn:Pz x0.1,,,0.0,15,False,0.06666666666666667,-0.32036834076167614
csp,D2,plant nn:Pz x0.5,,,0.0,15,False,0.2,0.657229267087608
