dataset,subject,measure,z,p,n_assignments
Angelique,S02,ress_disc,1.667778648215491,0.0390625,64
Angelique,S02,ress_sym,0.6071213831164992,0.3046875,64
Angelique,S02,roi_disc,0.8240963001966677,0.2734375,64
Angelique,S02,roi_sym,1.1895682186530756,0.1328125,64
Angelique,S03,ress_disc,1.5697886668005072,0.0703125,64
Angelique,S03,ress_sym,-1.7400235926464378,0.9765625,64
Angelique,S03,roi_disc,1.0628014460321855,0.1640625,64
Angelique,S03,roi_sym,-0.19913766172459785,0.5703125,64
Angelique,S04,ress_disc,-0.4221764228077077,0.6796875,64
Angelique,S04,ress_sym,0.23800198036053186,0.3984375,64
Angelique,S04,roi_disc,-0.7769965485084591,0.7890625,64
Angelique,S04,roi_sym,0.009016009933385697,0.4921875,64
Angelique,S05,ress_disc,1.8331739990912037,0.0390625,64
Angelique,S05,ress_sym,-0.5040700559265857,0.7265625,64
Angelique,S05,roi_disc,-0.8349917172450729,0.7578125,64
Angelique,S05,roi_sym,0.7417528430533866,0.2734375,64
Angelique,S07,ress_disc,1.4654608754838614,0.0859375,64
Angelique,S07,ress_sym,1.18620385883392,0.1328125,64
Angelique,S07,roi_disc,1.2118143416508724,0.1328125,64
Angelique,S07,roi_sym,1.109782286188441,0.1796875,64
Angelique,S08,ress_disc,1.4028026849892787,0.0546875,64
Angelique,S08,ress_sym,1.1553115948636004,0.1328125,64
Angelique,S08,roi_disc,0.7734538617464761,0.2109375,64
Angelique,S08,roi_sym,0.9350899298610451,0.2109375,64
Angelique,S09,ress_disc,-1.7399770933000545,0.9609375,64
Angelique,S09,ress_sym,-0.20688360636099287,0.5390625,64
Angelique,S09,roi_disc,1.7022698454966176,0.0390625,64
Angelique,S09,roi_sym,-0.7226879483154781,0.7265625,64
Angelique,S10,ress_disc,0.9501758167943419,0.2109375,64
Angelique,S10,ress_sym,1.0285401734359427,0.1640625,64
Angelique,S10,roi_disc,1.2318899227892637,0.1171875,64
Angelique,S10,roi_sym,1.298155981253263,0.0546875,64
Angelique,S11,ress_disc,1.808020502724734,0.0390625,64
Angelique,S11,ress_sym,0.9823072311111952,0.1484375,64
Angelique,S11,roi_disc,0.1684971167832007,0.4140625,64
Angelique,S11,roi_sym,1.2215368825970276,0.1015625,64
Angelique,S13,ress_disc,0.7860371335458065,0.2265625,64
Angelique,S13,ress_sym,0.6107480612948076,0.2265625,64
Angelique,S13,roi_disc,0.5122171346659024,0.3515625,64
Angelique,S13,roi_sym,-0.6448032132901791,0.7421875,64
