subject,dataset,modality,n_seq,feature,purity_gmm,ari_gmm,blocknull_gmm,blockp_gmm,cohesion_gmm,cohesion0_gmm,purity_kmeans,ari_kmeans,blocknull_kmeans,blockp_kmeans,cohesion_kmeans,cohesion0_kmeans,silhouette,silhouette_label
S02,Angelique,Mixed,24,SNR_all,0.5417,-0.0353,0.5913,1.0,0.5833,0.5312,0.5417,-0.0379,0.5948,1.0,0.5833,0.5035,0.3236,0.0024
S03,Angelique,Mixed,24,SNR_all,0.5,-0.0455,0.5946,1.0,0.6667,0.5,0.5,-0.0455,0.5946,1.0,0.6667,0.5,0.4507,-0.048
S04,Angelique,Mixed,24,SNR_all,0.5417,-0.0379,0.5945,1.0,0.5833,0.5035,0.5,-0.0455,0.607,1.0,0.8333,0.5,0.3354,-0.0355
S05,Angelique,Mixed,24,SNR_all,0.5,-0.0402,0.5726,1.0,0.5,0.5556,0.5417,-0.0379,0.5809,1.0,0.4167,0.5035,0.3724,-0.031
S07,Angelique,Mixed,24,SNR_all,0.7083,0.1385,0.6135,0.239,0.9167,0.5312,0.5417,-0.0353,0.6128,1.0,0.9167,0.5312,0.3537,0.0128
S08,Angelique,Mixed,24,SNR_all,0.5,-0.0337,0.5538,1.0,0.5,0.625,0.5833,-0.0164,0.5819,0.7031,0.5,0.5,0.3331,-0.0269
S09,Angelique,Mixed,24,SNR_all,0.6667,0.0754,0.5866,0.2767,0.6667,0.5556,0.5417,-0.0379,0.5939,1.0,0.5833,0.5035,0.3534,-0.0281
S10,Angelique,Mixed,24,SNR_all,0.5,-0.0455,0.582,1.0,0.5,0.5,0.5,-0.0455,0.582,1.0,0.5,0.5,0.3822,-0.0206
S11,Angelique,Mixed,24,SNR_all,0.5833,-0.0113,0.6009,0.7762,0.8333,0.5556,0.5417,-0.0353,0.6128,1.0,0.9167,0.5312,0.4167,-0.0391
S13,Angelique,Mixed,24,SNR_all,0.5417,-0.0301,0.6065,1.0,0.9167,0.5868,0.5,-0.0402,0.5995,1.0,1.0,0.5556,0.4584,-0.0495
S15,Angelique,Mixed,24,SNR_all,0.5417,-0.0353,0.6135,1.0,0.9167,0.5312,0.5417,-0.0353,0.6135,1.0,0.9167,0.5312,0.5627,-0.019
S16,Angelique,Mixed,22,SNR_all,0.5909,-0.0135,0.6255,0.7424,0.9091,0.5165,0.5455,-0.0405,0.6156,1.0,0.8182,0.5041,0.5203,-0.0419
S18,Angelique,Mixed,24,SNR_all,0.5,-0.0441,0.5929,1.0,0.6667,0.5139,0.5417,-0.0379,0.5938,1.0,0.5833,0.5035,0.4835,-0.0465
S19,Angelique,Mixed,24,SNR_all,0.5,-0.0337,0.5884,1.0,0.8333,0.625,0.5,-0.0337,0.5884,1.0,0.8333,0.625,0.4512,-0.0556
S21,Angelique,Mixed,24,SNR_all,0.5,-0.0455,0.6075,1.0,0.8333,0.5,0.5833,-0.0151,0.5938,0.7407,0.6667,0.5139,0.4544,0.0245
S22,Angelique,Mixed,24,SNR_all,0.5417,-0.0301,0.5804,1.0,0.5833,0.5868,0.5833,-0.0151,0.5793,0.6944,0.5,0.5139,0.3653,-0.051
S23,Angelique,Mixed,24,SNR_all,0.5,-0.0402,0.5998,1.0,0.8333,0.5556,0.5833,-0.0151,0.5938,0.7386,0.6667,0.5139,0.3271,-0.0413
S24,Angelique,Mixed,24,SNR_all,0.5833,-0.0151,0.6045,0.7398,0.8333,0.5139,0.5833,-0.0151,0.6045,0.7398,0.8333,0.5139,0.4359,-0.0441
S25,Angelique,Mixed,24,SNR_all,0.5417,-0.0379,0.6057,1.0,0.75,0.5035,0.625,0.0202,0.6165,0.5649,0.9167,0.5035,0.3796,0.005
S26,Angelique,Mixed,24,SNR_all,0.5,-0.0441,0.6033,1.0,0.8333,0.5139,0.5,-0.0441,0.6033,1.0,0.8333,0.5139,0.4182,-0.0425
S27,Angelique,Mixed,24,SNR_all,0.5417,-0.0353,0.6132,1.0,0.9167,0.5312,0.5417,-0.0379,0.6168,1.0,0.9167,0.5035,0.3829,0.0016
