dataset,subject,measure,z,p,n_assignments,q
Angelique,S02,learned_diff,-0.5312078276939558,0.7265625,64,0.9825721153846154
Angelique,S03,learned_diff,-0.1026215928721919,0.5234375,64,0.97265625
Angelique,S04,learned_diff,-0.8090430154619982,0.7578125,64,0.9825721153846154
Angelique,S05,learned_diff,-0.16393861426702275,0.5546875,64,0.97265625
Angelique,S07,learned_diff,0.30610596649725574,0.3828125,64,0.97265625
Angelique,S08,learned_diff,-0.15419640323597192,0.5390625,64,0.97265625
Angelique,S09,learned_diff,0.23897172508124184,0.3984375,64,0.97265625
Angelique,S10,learned_diff,0.920885546936381,0.2109375,64,0.97265625
Angelique,S11,learned_diff,0.5157092987875707,0.3359375,64,0.97265625
Angelique,S13,learned_diff,0.07264501582142273,0.4765625,64,0.97265625
Angelique,S15,learned_diff,1.4306889705228356,0.1015625,64,0.76171875
Angelique,S16,learned_diff,0.9786487537284907,0.203125,32,0.97265625
Angelique,S18,learned_diff,-2.0164924299981686,0.9921875,64,0.9921875
Angelique,S19,learned_diff,0.4118753072416902,0.3515625,64,0.97265625
Angelique,S21,learned_diff,-0.3646099611623936,0.6484375,64,0.97265625
Angelique,S22,learned_diff,-1.0085297141854472,0.8203125,64,0.9825721153846154
Angelique,S23,learned_diff,-0.9315776479703805,0.7890625,64,0.9825721153846154
Angelique,S24,learned_diff,-1.1502721860334397,0.8515625,64,0.9825721153846154
Angelique,S25,learned_diff,-1.451172681319357,0.9296875,64,0.9921875
Angelique,S26,learned_diff,1.924956611337439,0.0234375,64,0.3515625
Angelique,S27,learned_diff,0.06041625243257537,0.4609375,64,0.97265625
Angelique,S28,learned_diff,-1.2087813937743688,0.8203125,64,0.9825721153846154
Angelique,S29,learned_diff,1.7854636405975162,0.0390625,64,0.390625
Angelique,S31,learned_diff,0.7669810255007095,0.2578125,64,0.97265625
Angelique,S32,learned_diff,-1.8736238099951588,0.9765625,64,0.9921875
Angelique,S33,learned_diff,-0.5377468123743775,0.6484375,64,0.97265625
Angelique,S34,learned_diff,-0.2563382624711877,0.6484375,64,0.97265625
Angelique,S35,learned_diff,-1.5725667738373368,0.9453125,64,0.9921875
Angelique,S37,learned_diff,0.523947155324783,0.3046875,64,0.97265625
Angelique,S38,learned_diff,2.2316803711333413,0.0078125,64,0.234375
Talia,S01,learned_diff,-0.008892148549399086,0.53125,16,0.796875
Talia,S02,learned_diff,-1.4069250640904118,0.96875,16,0.96875
Talia,S03,learned_diff,1.539926778793115,0.09375,16,0.46875
Talia,S04,learned_diff,-1.456713207793889,0.90625,16,0.96875
Talia,S05,learned_diff,1.1128604997056892,0.21875,16,0.52734375
Talia,S06,learned_diff,-0.5837233146508388,0.71875,16,0.8984375
Talia,S07,learned_diff,1.238813687332002,0.15625,16,0.52734375
Talia,S08,learned_diff,0.1488956571444741,0.40625,16,0.6770833333333334
Talia,S09,learned_diff,1.6938457449753788,0.03125,16,0.46875
Talia,S10,learned_diff,0.7453814606191644,0.21875,16,0.52734375
Talia,S11,learned_diff,0.5655111579123496,0.28125,16,0.52734375
Talia,S12,learned_diff,-0.595037700736271,0.65625,16,0.8948863636363636
Talia,S13,learned_diff,0.7491099047833764,0.28125,16,0.52734375
Talia,S14,learned_diff,-1.5201955550035087,0.96875,16,0.96875
