dataset,subject,measure,z,p,n_assignments,q
Angelique,S02,learned_diff,0.7879693852286799,0.2421875,64,0.4833984375
Angelique,S03,learned_diff,1.8576343746795991,0.0234375,64,0.17578125
Angelique,S04,learned_diff,-1.429100698172811,0.9609375,64,0.9921875
Angelique,S05,learned_diff,-0.33815134635388666,0.6015625,64,0.7846467391304348
Angelique,S07,learned_diff,0.5121845686760503,0.2890625,64,0.5101102941176471
Angelique,S08,learned_diff,1.9557963712009754,0.0078125,64,0.1171875
Angelique,S09,learned_diff,1.2065709292278246,0.1328125,64,0.3622159090909091
Angelique,S10,learned_diff,0.8827191216983026,0.2109375,64,0.4833984375
Angelique,S11,learned_diff,-0.6826857377673134,0.6953125,64,0.8022836538461539
Angelique,S13,learned_diff,-0.448895344627837,0.6796875,64,0.8022836538461539
Angelique,S15,learned_diff,0.8972688724054176,0.2421875,64,0.4833984375
Angelique,S16,learned_diff,1.5380395234684252,0.046875,32,0.18229166666666666
Angelique,S18,learned_diff,1.6084553290441757,0.0546875,64,0.18229166666666666
Angelique,S19,learned_diff,-1.0470221552632246,0.7578125,64,0.8119419642857143
Angelique,S21,learned_diff,-0.22589720241624522,0.5859375,64,0.7846467391304348
Angelique,S22,learned_diff,-0.23630485625896785,0.5703125,64,0.7846467391304348
Angelique,S23,learned_diff,1.6052157821654347,0.0546875,64,0.18229166666666666
Angelique,S24,learned_diff,-2.3815899024609304,0.9921875,64,0.9921875
Angelique,S25,learned_diff,-0.5022855972844316,0.6796875,64,0.8022836538461539
Angelique,S26,learned_diff,2.001165492838459,0.0234375,64,0.17578125
Angelique,S27,learned_diff,0.7231263328187015,0.2578125,64,0.4833984375
Angelique,S28,learned_diff,-0.25291616905549175,0.5703125,64,0.7846467391304348
Angelique,S29,learned_diff,2.1061634647932213,0.0078125,64,0.1171875
Angelique,S31,learned_diff,0.42996386909866513,0.4453125,64,0.7421875
Angelique,S32,learned_diff,-0.7032076149226834,0.7578125,64,0.8119419642857143
Angelique,S33,learned_diff,0.8993397852863837,0.1640625,64,0.41015625
Angelique,S34,learned_diff,1.5663794648143834,0.1015625,64,0.3046875
Angelique,S35,learned_diff,-0.20677843583693356,0.5703125,64,0.7846467391304348
Angelique,S37,learned_diff,1.9448127997031581,0.0390625,64,0.18229166666666666
Angelique,S38,learned_diff,1.7344463294304882,0.0390625,64,0.18229166666666666
Talia,S01,learned_diff,0.8419492592399627,0.21875,16,0.29829545454545453
Talia,S02,learned_diff,1.7854476866338054,0.03125,16,0.06696428571428571
Talia,S03,learned_diff,1.8425276986346184,0.03125,16,0.06696428571428571
Talia,S04,learned_diff,0.8048725357487708,0.21875,16,0.29829545454545453
Talia,S05,learned_diff,1.6282247490933,0.03125,16,0.06696428571428571
Talia,S06,learned_diff,-1.1502667621668876,0.84375,16,0.9040178571428571
Talia,S07,learned_diff,1.1480231158518377,0.21875,16,0.29829545454545453
Talia,S08,learned_diff,1.9044247812339818,0.03125,16,0.06696428571428571
Talia,S09,learned_diff,1.8718961449162452,0.03125,16,0.06696428571428571
Talia,S10,learned_diff,1.8407514637956515,0.03125,16,0.06696428571428571
Talia,S11,learned_diff,1.2479352381053181,0.21875,16,0.29829545454545453
Talia,S12,learned_diff,0.2087354671989855,0.40625,16,0.46875
Talia,S13,learned_diff,0.8619961689755276,0.34375,16,0.4296875
Talia,S14,learned_diff,-1.7531233008617833,0.96875,16,0.96875
