dataset,subject,modality,font,condition,block_id,n_seq,n_samples,asym,sym
Angelique,S25,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixAF8 icfilt ica ep1 but chanlocs chansel chanlabels S25.csv,2,30720,0.15410446230736044,0.7701992800252304
Angelique,S34,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixC4 ica ep1 but chanlocs chansel chanlabels S34.csv,2,30720,0.5097429038335879,2.1559410815437636
Angelique,S15,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixC5 ica ep1 but chanlocs chansel chanlabels S15.csv,2,30720,0.3206654235513674,1.6336504037802417
Angelique,S32,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixF6 fixP5 fixFC5 icfilt ica ep1 but chanlocs chansel chanlabels S32.csv,2,30720,0.22213969783236584,1.95657488082846
Angelique,S11,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixF7 icfilt ica ep1 but chanlocs chansel chanlabels S11.csv,2,30720,0.2872074775190817,2.576497476754917
Angelique,S21,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixF7 icfilt ica ep1 but chanlocs chansel chanlabels S21.csv,2,30720,0.5702752345759008,1.712651495097412
Angelique,S03,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixF8 ica ep1 but chanlocs chansel chanlabels S03.csv,2,30720,0.20144105738856727,0.5433647867499126
Angelique,S28,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixF8 icfilt ica ep1 but chanlocs chansel chanlabels S28.csv,2,30720,0.18012057658698824,1.420052986074653
Angelique,S22,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixFC4 icfilt ica ep1 but chanlocs chansel chanlabels S22.csv,2,30720,0.04290031859030326,0.8868227949779895
Angelique,S27,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixFT8 icfilt ica ep1 but chanlocs chansel chanlabels S27.csv,2,30720,0.3076068303651279,0.9865668724394507
Angelique,S13,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixO1 icfilt ica ep1 but chanlocs chansel chanlabels S13.csv,2,30720,0.5715151425037118,1.5703653167519305
Angelique,S23,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixP2 fixP3 fixC3 icfilt ica ep1 but chanlocs chansel chanlabels S23.csv,2,30720,0.11270585842430593,1.0915099021254313
Angelique,S08,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixPO8 icfilt ica ep1 but chanlocs chansel chanlabels S08.csv,2,30720,0.04445429611951113,0.6803576163947582
Angelique,S38,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixT8 fixF8 fixFT7 icfilt ica ep1 but chanlocs chansel chanlabels S38.csv,2,30720,0.04768033801681466,1.6441871874655287
Angelique,S35,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixT8 ica ep1 but chanlocs chansel chanlabels S35.csv,2,30720,0.11617235290921396,0.9100275261120664
Angelique,S31,Dig,1F,Control,epbin_Dig_1F_C1 21 rr fixTP8 fixC6 ica ep1 but chanlocs chansel chanlabels S31.csv,2,30720,0.008062066199878842,0.5876250840309594
Angelique,S04,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S04.csv,2,30720,0.10716356481942865,2.017687964770529
Angelique,S10,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S10.csv,2,30720,0.19589040635360613,1.2387648133767977
Angelique,S18,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S18.csv,2,30720,0.18812690902915266,0.8807443969158663
Angelique,S26,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S26.csv,2,30720,0.2465759398829606,0.8256053585145209
Angelique,S29,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S29.csv,2,30720,0.08974031317565179,3.5260585476126933
Angelique,S33,Dig,1F,Control,epbin_Dig_1F_C1 21 rr ica ep1 but chanlocs chansel chanlabels S33.csv,2,30720,0.20099922673155868,2.2486317029429808
Angelique,S02,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S02.csv,2,30720,0.321615534213682,0.9346228417836957
Angelique,S05,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S05.csv,2,30720,0.169275831638111,0.6344660653008356
Angelique,S07,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S07.csv,2,30720,0.29776041623618865,2.330650780039529
Angelique,S09,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S09.csv,2,30720,0.05224822947962416,0.7261327511320511
Angelique,S16,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S16.csv,2,30720,0.2538240644046002,3.807783438410196
Angelique,S19,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S19.csv,2,30720,-0.05900348795370923,2.080721815013223
Angelique,S24,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S24.csv,2,30720,0.055237182312541544,1.2477263677865267
Angelique,S37,Dig,1F,Control,epbin_Dig_1F_C1 21 rr icfilt ica ep1 but chanlocs chansel chanlabels S37.csv,2,30720,0.11645350646641518,3.6125915611369743
