dataset,subject,arm,z,p,n_assignments
Angelique,S02,asym,1.8025039968051504,0.0390625,64
Angelique,S02,sym,0.9150634374696169,0.2109375,64
Angelique,S03,asym,0.698488736218512,0.2890625,64
Angelique,S03,sym,-0.13100426616300825,0.5703125,64
Angelique,S04,asym,-0.6592815957663791,0.6640625,64
Angelique,S04,sym,1.5345644539540257,0.0546875,64
Angelique,S05,asym,-1.2182041604323757,0.8671875,64
Angelique,S05,sym,-0.20220797299161108,0.5859375,64
Angelique,S07,asym,1.2783187024113953,0.1171875,64
Angelique,S07,sym,1.8981020181208876,0.0078125,64
Angelique,S08,asym,1.028170968838787,0.1640625,64
Angelique,S08,sym,0.5768515732565391,0.2734375,64
Angelique,S09,asym,1.1699042581348056,0.1171875,64
Angelique,S09,sym,0.062450730836178955,0.4921875,64
Angelique,S10,asym,1.0381461091433266,0.1796875,64
Angelique,S10,sym,-0.36585975406626603,0.6328125,64
Angelique,S11,asym,0.49470330297251064,0.3203125,64
Angelique,S11,sym,2.017634044615446,0.0078125,64
Angelique,S13,asym,0.007750850861877532,0.4921875,64
Angelique,S13,sym,-0.2369469009981108,0.6015625,64
Angelique,S15,asym,0.7795218458466967,0.2734375,64
Angelique,S15,sym,0.3499456465914082,0.3984375,64
Angelique,S16,asym,0.974182711337622,0.171875,32
Angelique,S16,sym,-1.0413610302088565,0.890625,32
Angelique,S18,asym,-0.3730435415894229,0.6171875,64
Angelique,S18,sym,0.7378834142171535,0.2421875,64
Angelique,S19,asym,0.9203029484956188,0.2421875,64
Angelique,S19,sym,-0.017877615516643817,0.5078125,64
Angelique,S21,asym,-0.2587421688969397,0.6015625,64
Angelique,S21,sym,1.8619298431136386,0.0078125,64
Angelique,S22,asym,0.13541874344563368,0.4296875,64
Angelique,S22,sym,1.3224188713144764,0.1015625,64
Angelique,S23,asym,2.07811544908033,0.0078125,64
Angelique,S23,sym,-0.8653086191853202,0.7578125,64
Angelique,S24,asym,1.2530125486658876,0.0859375,64
Angelique,S24,sym,0.961735115616722,0.1953125,64
Angelique,S25,asym,-0.7216099235998822,0.7578125,64
Angelique,S25,sym,1.8662225480172074,0.0390625,64
Angelique,S26,asym,1.905227043165071,0.0390625,64
Angelique,S26,sym,1.847437208920744,0.0390625,64
Angelique,S27,asym,1.1947660314935233,0.1171875,64
Angelique,S27,sym,0.07819743967704047,0.4453125,64
Angelique,S28,asym,0.44715260827934467,0.3515625,64
Angelique,S28,sym,0.05266566961022805,0.4921875,64
Angelique,S29,asym,-0.2512718340111568,0.5859375,64
Angelique,S29,sym,0.5784722264605257,0.2890625,64
Angelique,S31,asym,0.33649380817300256,0.3671875,64
Angelique,S31,sym,1.1469971435216608,0.1328125,64
Angelique,S32,asym,0.9496740896538619,0.2109375,64
Angelique,S32,sym,-0.3974977295840889,0.6015625,64
Angelique,S33,asym,-0.6261290406575213,0.7265625,64
Angelique,S33,sym,0.5586659581371186,0.3203125,64
Angelique,S34,asym,1.074836247010113,0.1953125,64
Angelique,S34,sym,-1.2919439620941655,0.8984375,64
Angelique,S35,asym,-0.23837104125205485,0.5390625,64
Angelique,S35,sym,-1.2330577673141032,0.8984375,64
Angelique,S37,asym,-0.3512727198728595,0.6328125,64
Angelique,S37,sym,-0.046632976563336835,0.5078125,64
Angelique,S38,asym,0.1457466519956085,0.4609375,64
Angelique,S38,sym,-0.2728170012490468,0.6015625,64
Talia,S01,asym,1.1898236360768741,0.09375,16
Talia,S01,sym,-0.20425947042998177,0.59375,16
Talia,S02,asym,0.5933846816437598,0.34375,16
Talia,S02,sym,-1.4350865270343884,0.96875,16
Talia,S03,asym,1.68546697485997,0.03125,16
Talia,S03,sym,0.9944425242317686,0.15625,16
Talia,S04,asym,-1.5235263427608914,0.96875,16
Talia,S04,sym,-1.060151431455491,0.84375,16
Talia,S05,asym,0.6418140347475774,0.34375,16
Talia,S05,sym,-0.10268880560570255,0.53125,16
Talia,S06,asym,-0.8135438688102935,0.71875,16
Talia,S06,sym,-0.8918938895093518,0.78125,16
Talia,S07,asym,1.889572034243267,0.03125,16
Talia,S07,sym,-0.6297166673911825,0.84375,16
Talia,S08,asym,1.4249847105819704,0.09375,16
Talia,S08,sym,-0.6202498573981268,0.65625,16
Talia,S09,asym,1.7356764848192334,0.03125,16
Talia,S09,sym,-0.13844557831241644,0.59375,16
Talia,S10,asym,1.5599402663302362,0.03125,16
Talia,S10,sym,0.8268953064324566,0.28125,16
Talia,S11,asym,0.5353593788109803,0.34375,16
Talia,S11,sym,1.639319277810914,0.03125,16
Talia,S12,asym,1.0119628207787936,0.15625,16
Talia,S12,sym,0.2270770688358548,0.40625,16
Talia,S13,asym,0.9059908330185229,0.34375,16
Talia,S13,sym,-1.3119518440000626,0.90625,16
Talia,S14,asym,-0.5776364404308649,0.71875,16
Talia,S14,sym,1.2264963745508077,0.15625,16
Talia,S15,asym,0.1221860493270145,0.34375,16
Talia,S15,sym,-0.9186888508055839,0.84375,16
