table,feature,dataset,stouffer_z,stouffer_p,n,mean,lo,hi,t,p,k,sign_p,wilcoxon_p
group,erp,D1,5.583115362095117,1.1812396139457854e-08,30,1.14543,0.8009744577006254,1.4898855422993744,6.801073291925709,9.084374885340392e-08,26,2.9738061130046848e-05,
group,erp,D2,5.17080172453332,1.1654589257812918e-07,15,1.6423266666666667,1.304440916329782,1.9802124170035513,10.424945024663169,2.782690571810141e-08,14,0.00048828125,
group,erp_all,D1,5.580116887632928,1.2017850303736422e-08,32,1.107478125,0.7742000943453227,1.4407561556546775,6.777273986798511,6.866378042460435e-08,27,5.653710104525089e-05,
group,erp_all,D2,5.17080172453332,1.1654589257812918e-07,15,1.6423266666666667,1.304440916329782,1.9802124170035513,10.424945024663169,2.782690571810141e-08,14,0.00048828125,
group,erpmean,D1,0.14765039028088736,0.44130934259993,30,0.0009433333333333608,-0.39017202208763824,0.39205868875430494,0.0049329009178599725,0.4980489542240456,13,0.8192026959732175,
group,erpmean,D2,-0.4559482617520351,0.6757864082695677,15,-0.06214000000000004,-0.6225093515781487,0.49822935157814857,-0.23783785535713,0.40772620670683035,7,0.696380615234375,
group,erp_roi,D1,1.5840164669724495,0.05659498591986219,30,0.28470333333333325,-0.0795517800920782,0.6489584467587447,1.598560116484282,0.06037924530342354,14,0.707667644135654,
group,erp_roi,D2,2.170560693172579,0.014982198032774533,15,0.6024266666666666,0.02289661048296321,1.1819567228503698,2.2295249078570505,0.02133396752046456,13,0.003692626953125,
group,erpmean_roi,D1,2.745057177153807,0.0030250177903343427,30,0.5098833333333334,0.14556180744474523,0.8742048592219215,2.8623851001372542,0.003864184048960075,21,0.021386972628533847,
group,erpmean_roi,D2,-0.48103325861500956,0.6847535693835285,15,-0.24859333333333336,-0.7726498211569981,0.27546315449033143,-1.017408780211212,0.1631099804929992,6,0.84912109375,
group,erp_ratio_roi,D1,0.21554607684341787,0.4146707960344095,30,0.01359333333333334,-0.3932377565490547,0.4204244232157214,0.06833668556835494,0.4729933165109124,14,0.707667644135654,
group,erp_ratio_roi,D2,1.6456228690022394,0.049920713906863444,15,0.4809400000000001,-0.11529518471487782,1.077175184714878,1.730045016012369,0.052797558612569725,11,0.05923461914062499,
group,snr,D1,1.219148172816824,0.11139397936774947,30,0.24872333333333335,-0.17616154879673918,0.6736082154634059,1.197256846308917,0.12045088062576963,18,0.18079730402678257,
group,snr,D2,0.22906025658168813,0.40941104144635854,15,0.08608666666666667,-0.48947102018997923,0.6616443535233125,0.32079762096874165,0.3765511319004286,6,0.84912109375,
group,snr_roi,D1,2.3826585566479577,0.00859406414604451,30,0.4423733333333333,0.1220479618210159,0.7626987048456506,2.8244876450181353,0.004239049472357371,21,0.021386972628533847,
group,snr_roi,D2,1.5499500737432,0.06057674983408172,15,0.4574933333333334,-0.06567371279124379,0.9806603794579106,1.8755493458791466,0.04086324264400351,10,0.15087890624999997,
group,snr_ratio_roi,D1,0.7551768305712226,0.22507144432502363,30,0.11977666666666664,-0.2752819910185234,0.5148353243518566,0.6200871296882813,0.27002142402855345,16,0.42776777595281607,
