dataset,subject,variant,arm,stat,z,p,n_assignments
Angelique,S02,A0_tdca,disc,0.00965973718131395,1.0895231498093083,0.203125,64
Angelique,S03,A0_tdca,disc,0.0062744029377297455,1.7803551304717289,0.015625,64
Angelique,S04,A0_tdca,disc,0.00015711324562057112,0.053580570774848735,0.390625,64
Angelique,S05,A0_tdca,disc,0.0014351880836005217,0.5615462573766945,0.328125,64
Angelique,S07,A0_tdca,disc,0.0105841799455465,1.6827190853427245,0.046875,64
Angelique,S08,A0_tdca,disc,-0.0012963877995707607,0.024037878120549215,0.421875,64
Angelique,S09,A0_tdca,disc,0.0028874290636695782,1.8948181517753708,0.046875,64
Angelique,S10,A0_tdca,disc,0.0010256658305958222,1.1205409356019942,0.171875,64
Angelique,S11,A0_tdca,disc,0.0021341987316028216,0.29966006966346587,0.421875,64
Angelique,S13,A0_tdca,disc,0.009486897667680854,1.3586763552149834,0.140625,64
Angelique,S15,A0_tdca,disc,0.014073715586799465,2.4950761862414645,0.046875,64
Angelique,S16,A0_tdca,disc,0.006460000442043561,1.7931161486512341,0.078125,32
Angelique,S18,A0_tdca,disc,0.006477877430151285,1.1935498076876483,0.109375,64
Angelique,S19,A0_tdca,disc,-0.004365861859353753,-0.4498481950402361,0.578125,64
Angelique,S21,A0_tdca,disc,-0.0013646107694237927,0.4621522896407926,0.390625,64
Angelique,S22,A0_tdca,disc,0.001419267842370349,0.9869675114552193,0.171875,64
Angelique,S23,A0_tdca,disc,-0.0032757395212182137,-0.14042075146289143,0.546875,64
Angelique,S24,A0_tdca,disc,0.012893764345992596,1.9479974938044375,0.046875,64
Angelique,S25,A0_tdca,disc,9.820857884388083e-05,0.9753252162882482,0.140625,64
Angelique,S26,A0_tdca,disc,0.002862064924544738,0.8426014376238449,0.171875,64
Angelique,S27,A0_tdca,disc,-0.00539421544378759,0.18053250645195634,0.515625,64
Angelique,S28,A0_tdca,disc,-0.0038116313320728967,-0.31933096302476915,0.578125,64
Angelique,S29,A0_tdca,disc,0.0069898145369753405,1.2123178506871943,0.109375,64
Angelique,S31,A0_tdca,disc,-0.0005259084655456842,0.6349673761521152,0.234375,64
Angelique,S32,A0_tdca,disc,0.0064552697211601095,1.9643618077033098,0.046875,64
Angelique,S33,A0_tdca,disc,-0.0049327950145776215,-0.9926035195817443,0.796875,64
Angelique,S34,A0_tdca,disc,0.016374312001607865,1.6431203845066178,0.046875,64
Angelique,S35,A0_tdca,disc,0.005381520118644795,0.7910425194738789,0.203125,64
Angelique,S37,A0_tdca,disc,0.003385028736400558,0.671907419649853,0.296875,64
Angelique,S38,A0_tdca,disc,0.0029454296326172093,0.6864540397887604,0.265625,64
Talia,S01,A0_tdca,disc,0.006270030844668043,1.2286113543974355,0.0625,16
Talia,S02,A0_tdca,disc,0.025501970890345824,1.7936298556825025,0.0625,16
Talia,S03,A0_tdca,disc,0.021910874438804205,1.8615661547263218,0.0625,16
Talia,S04,A0_tdca,disc,0.02677486291159585,1.932921494865253,0.0625,16
Talia,S05,A0_tdca,disc,0.013643154363322892,1.2134415557024414,0.0625,16
Talia,S06,A0_tdca,disc,0.008142972584837918,1.470960022253315,0.0625,16
Talia,S07,A0_tdca,disc,0.01861358456839054,1.8874422323397322,0.0625,16
Talia,S08,A0_tdca,disc,0.01699990277740605,1.8824976307332333,0.0625,16
