table,dataset,comparison,arm,n,mean,lo,hi,t,p_two,k_pos,p_holm
variant,D1,A0_tdca,disc,30,0.8814914716949533,0.5728817237958267,1.19010121959408,5.841852046057168,2.4601299243810573e-06,26,
variant,D1,A0_tdca,ctrl,30,0.07077579839866202,-0.2527623580657308,0.39431395486305487,0.4474055314291276,0.6579063747589485,16,
variant,D1,A0_tdca,disc-ctrl,30,0.8107156732962915,0.3383820563113687,1.2830492902812143,3.510441913813803,0.0014831580632906321,23,
variant,D1,A1_roimean,disc,30,0.9395493699813386,0.5786954152823118,1.3004033246803655,5.325130005394182,1.0276968616660984e-05,23,
variant,D1,A1_roimean,ctrl,30,-0.0335894671502677,-0.49245304519061617,0.4252741108900807,-0.14971372139091307,0.8820268620099369,16,
variant,D1,A1_roimean,disc-ctrl,30,0.9731388371316062,0.34408399926115796,1.6021936750020545,3.1639410044915737,0.0036379691808213605,22,
variant,D1,A2_roi8,disc,30,1.128308196268946,0.8908918285443685,1.3657245639935236,9.719841098519355,1.2525131154356054e-10,28,
variant,D1,A2_roi8,ctrl,30,0.18776416993425338,-0.13484551005182221,0.510373849920329,1.1903574812031437,0.24355930250377536,16,
variant,D1,A2_roi8,disc-ctrl,30,0.9405440263346925,0.5262925957753415,1.3547954568940435,4.643625538705176,6.823232780062613e-05,25,
variant,D1,A3_all68_k8,disc,30,0.737215856624076,0.4192653201858468,1.0551663930623052,4.74217071469147,5.19169217601125e-05,24,
variant,D1,A3_all68_k8,ctrl,30,0.03271864841419073,-0.2927195064315493,0.3581568032599308,0.20562170904312146,0.8385230413162413,10,
variant,D1,A3_all68_k8,disc-ctrl,30,0.7044972082098853,0.18612621876799518,1.2228681976517755,2.779589526377449,0.009454783423296831,23,
variant,D1,A4_L0,disc,30,0.8714312687618907,0.5754784228138539,1.1673841147099275,6.022165646841119,1.4988427522881632e-06,24,
variant,D1,A4_L0,ctrl,30,0.014310666101171203,-0.25650606065933923,0.28512739286168165,0.10807529822432975,0.9146802572639153,16,
variant,D1,A4_L0,disc-ctrl,30,0.8571206026607194,0.42341808154314237,1.2908231237782966,4.041960509999223,0.0003569393335012941,23,
variant,D1,A5_noged,disc,30,1.0453062875157983,0.7527243358191351,1.3378882392124616,7.306983195434688,4.7678045249049216e-08,27,
variant,D1,A5_noged,ctrl,30,0.031143541592121272,-0.3294813398087746,0.3917684229930172,0.17662590051403182,0.8610299913071813,15,
variant,D1,A5_noged,disc-ctrl,30,1.014162745923677,0.5611873546466313,1.4671381372007228,4.5790472282879415,8.159543705667592e-05,24,
tdca_minus_variant,D1,TDCA - A1_roimean,disc,30,-0.05805789828638515,-0.43897960078574944,0.32286380421297917,-0.31172215643302337,0.7574817977257501,14,1.0
tdca_minus_variant,D1,TDCA - A2_roi8,disc,30,-0.24681672457399256,-0.5085341451511856,0.014900696003200486,-1.9287859408042123,0.06359690666517674,11,0.3179845333258837
tdca_minus_variant,D1,TDCA - A3_all68_k8,disc,30,0.14427561507087736,-0.060951687183734116,0.3495029173254888,1.4378046260814006,0.16119363301425751,17,0.6447745320570301
tdca_minus_variant,D1,TDCA - A4_L0,disc,30,0.010060202933062638,-0.15307146618466874,0.17319187205079403,0.1261277185223973,0.9005012222250476,11,1.0
tdca_minus_variant,D1,TDCA - A5_noged,disc,30,-0.16381481582084495,-0.4335596721510296,0.10593004050933968,-1.2420585945379168,0.22416618025379298,16,0.6724985407613789
A3_minus_A2,D1,A3 - A2,disc,30,-0.3910923396448699,-0.7331479752654431,-0.04903670402429672,-2.338431420378592,0.026468078293049094,11,
tdca_minus_variant,D1,TDCA - A1_roimean,ctrl,30,0.10436526554892969,-0.5189723385741508,0.7277028696720101,0.34243230842780237,0.7344951206752474,15,1.0
tdca_minus_variant,D1,TDCA - A2_roi8,ctrl,30,-0.11698837153559144,-0.4982459196643878,0.2642691765932049,-0.627575995344218,0.5351924943848714,15,1.0
tdca_minus_variant,D1,TDCA - A3_all68_k8,ctrl,30,0.03805714998447128,-0.25809506384706743,0.33420936381601,0.2628229930693894,0.7945452553281773,18,1.0
tdca_minus_variant,D1,TDCA - A4_L0,ctrl,30,0.05646513229749079,-0.18703019288933653,0.2999604574843181,0.4742767124303722,0.6388543820160066,19,1.0
tdca_minus_variant,D1,TDCA - A5_noged,ctrl,30,0.03963225680654073,-0.4616097882392356,0.540874301852317,0.16171242457912743,0.8726537410522361,17,1.0
variant,D2,A0_tdca,disc,15,1.7366934055825112,1.545374222500313,1.9280125886647093,19.469228528368074,1.547962429692653e-11,15,
variant,D2,A0_tdca,ctrl,15,-0.1342339442848724,-0.6058130294862789,0.33734514091653406,-0.6105087901553863,0.5513076652554341,5,
variant,D2,A0_tdca,disc-ctrl,15,1.8709273498673842,1.4109872475697813,2.3308674521649873,8.724484023053224,4.922420254245104e-07,15,
variant,D2,A1_roimean,disc,15,1.1800700383823968,0.855617508107003,1.5045225686577905,7.800828389240536,1.8342803058748287e-06,14,
variant,D2,A1_roimean,ctrl,15,-0.26439928828244913,-0.7782606172819779,0.24946204071707961,-1.1035663549682266,0.2883893203833035,6,
variant,D2,A1_roimean,disc-ctrl,15,1.4444693266648456,0.9368135683658515,1.9521250849638396,6.102715338671838,2.7298731965135366e-05,14,
variant,D2,A2_roi8,disc,15,1.6994247824248923,1.5135833466471984,1.885266218202586,19.61297616545862,1.4012549956504424e-11,15,
variant,D2,A2_roi8,ctrl,15,-0.14425553386230508,-0.7182012585315727,0.4296901908069626,-0.5390707437791893,0.598306692676902,6,
variant,D2,A2_roi8,disc-ctrl,15,1.8436803162871973,1.2250145622191815,2.4623460703552134,6.3916597502730585,1.67760241762613e-05,14,
variant,D2,A3_all68_k8,disc,15,1.5579923767921187,1.1854665088009717,1.9305182447832656,8.970011472332352,3.5275235422111996e-07,14,
variant,D2,A3_all68_k8,ctrl,15,0.16051547321820378,-0.4115238564771386,0.7325548029135462,0.6018317837456786,0.5569074940653198,7,
variant,D2,A3_all68_k8,disc-ctrl,15,1.397476903573915,0.7930543854123208,2.001899421735509,4.958931491458084,0.0002099306123575492,13,
variant,D2,A4_L0,disc,15,1.728070624319147,1.5556018910617828,1.9005393575765113,21.489940818958612,4.051406927103668e-12,15,
variant,D2,A4_L0,ctrl,15,-0.21353382848440622,-0.6522755606493194,0.22520790368050692,-1.0438590158579488,0.31424099711292525,5,
variant,D2,A4_L0,disc-ctrl,15,1.9416044528035532,1.5263788115776473,2.3568300940294593,10.02907087163571,9.011367091870471e-08,15,
variant,D2,A5_noged,disc,15,1.306574284977727,0.9254218956704859,1.6877266742849684,7.352238138371059,3.6074418816701205e-06,14,
variant,D2,A5_noged,ctrl,15,-0.17342843706718086,-0.6691643937135687,0.322307519579207,-0.7503329103751234,0.46547853630686936,7,
variant,D2,A5_noged,disc-ctrl,15,1.480002722044908,0.8929827454645349,2.067022698625281,5.407465270288664,9.236145817887129e-05,13,
tdca_minus_variant,D2,TDCA - A1_roimean,disc,15,0.5566233672001145,0.24323929261190258,0.8700074417883265,3.8095056033829993,0.0019145404892959364,14,0.009572702446479682
tdca_minus_variant,D2,TDCA - A2_roi8,disc,15,0.03726862315761903,-0.13072320353555472,0.20526044985079278,0.47581628463079584,0.6415446215300368,11,1.0
tdca_minus_variant,D2,TDCA - A3_all68_k8,disc,15,0.17870102879039276,-0.032548327652928866,0.3899503852337144,1.814327835690632,0.09110990627210651,10,0.2733297188163195
tdca_minus_variant,D2,TDCA - A4_L0,disc,15,0.008622781263364227,-0.0397441842369359,0.05698974676366436,0.3823689635103508,0.7079296550190849,9,1.0
tdca_minus_variant,D2,TDCA - A5_noged,disc,15,0.4301191206047843,0.12408883335098425,0.7361494078585844,3.0144524987063965,0.009281733868152526,11,0.037126935472610104
A3_minus_A2,D2,A3 - A2,disc,15,-0.1414324056327737,-0.4176483468245246,0.1347835355589772,-1.0982072198026462,0.2906428303345384,8,
tdca_minus_variant,D2,TDCA - A1_roimean,ctrl,15,0.13016534399757665,-0.44338519116284636,0.7037158791579996,0.486752046977269,0.6339660354254661,9,1.0
tdca_minus_variant,D2,TDCA - A2_roi8,ctrl,15,0.01002158957743271,-0.6995196198658782,0.7195627990207436,0.030293056458718305,0.9762609524458161,8,1.0
tdca_minus_variant,D2,TDCA - A3_all68_k8,ctrl,15,-0.29474941750307615,-0.5726569245839053,-0.016841910422247086,-2.2747662831154014,0.039178212440388854,5,0.19589106220194427
tdca_minus_variant,D2,TDCA - A4_L0,ctrl,15,0.07929988419953374,-0.1237316415779581,0.28233140997702555,0.8377089978183015,0.4162667195934606,8,1.0
tdca_minus_variant,D2,TDCA - A5_noged,ctrl,15,0.03919449278230848,-0.4134526981156918,0.4918416836803087,0.18571600144565717,0.8553313587066338,8,1.0
