dataset,subject,measure,z,p,n_assignments
Angelique,S02,tdca_diff,1.0895231498093083,0.203125,64
Angelique,S03,tdca_diff,1.7803551304717289,0.015625,64
Angelique,S04,tdca_diff,0.053580570774848735,0.390625,64
Angelique,S05,tdca_diff,0.5615462573766945,0.328125,64
Angelique,S07,tdca_diff,1.6827190853427245,0.046875,64
Angelique,S08,tdca_diff,0.024037878120549215,0.421875,64
Angelique,S09,tdca_diff,1.8948181517753708,0.046875,64
Angelique,S10,tdca_diff,1.1205409356019942,0.171875,64
Angelique,S11,tdca_diff,0.29966006966346587,0.421875,64
Angelique,S13,tdca_diff,1.3586763552149834,0.140625,64
Angelique,S15,tdca_diff,2.4950761862414645,0.046875,64
Angelique,S16,tdca_diff,1.7931161486512341,0.078125,32
Angelique,S18,tdca_diff,1.1935498076876483,0.109375,64
Angelique,S19,tdca_diff,-0.4498481950402361,0.578125,64
Angelique,S21,tdca_diff,0.4621522896407926,0.390625,64
Angelique,S22,tdca_diff,0.9869675114552193,0.171875,64
Angelique,S23,tdca_diff,-0.14042075146289143,0.546875,64
Angelique,S24,tdca_diff,1.9479974938044375,0.046875,64
Angelique,S25,tdca_diff,0.9753252162882482,0.140625,64
Angelique,S26,tdca_diff,0.8426014376238449,0.171875,64
Angelique,S27,tdca_diff,0.18053250645195634,0.515625,64
Angelique,S28,tdca_diff,-0.31933096302476915,0.578125,64
Angelique,S29,tdca_diff,1.2123178506871943,0.109375,64
Angelique,S31,tdca_diff,0.6349673761521152,0.234375,64
Angelique,S32,tdca_diff,1.9643618077033098,0.046875,64
Angelique,S33,tdca_diff,-0.9926035195817443,0.796875,64
Angelique,S34,tdca_diff,1.6431203845066178,0.046875,64
Angelique,S35,tdca_diff,0.7910425194738789,0.203125,64
Angelique,S37,tdca_diff,0.671907419649853,0.296875,64
Angelique,S38,tdca_diff,0.6864540397887604,0.265625,64
Talia,S01,tdca_diff,1.2286113543974355,0.0625,16
Talia,S02,tdca_diff,1.7936298556825025,0.0625,16
Talia,S03,tdca_diff,1.8615661547263218,0.0625,16
Talia,S04,tdca_diff,1.932921494865253,0.0625,16
Talia,S05,tdca_diff,1.2134415557024414,0.0625,16
Talia,S06,tdca_diff,1.470960022253315,0.0625,16
Talia,S07,tdca_diff,1.8874422323397322,0.0625,16
Talia,S08,tdca_diff,1.8824976307332333,0.0625,16
Talia,S09,tdca_diff,2.0005464249778386,0.0625,16
Talia,S10,tdca_diff,0.9888003683877588,0.0625,16
Talia,S11,tdca_diff,2.028008229898769,0.0625,16
Talia,S12,tdca_diff,1.8491901638153383,0.0625,16
Talia,S13,tdca_diff,1.8598544092996343,0.0625,16
Talia,S14,tdca_diff,2.1960276885488637,0.0625,16
Talia,S15,tdca_diff,1.8569034981092332,0.0625,16
Angelique,S02,tdca_mean,-0.6307186851988891,0.734375,64
Angelique,S03,tdca_mean,0.8278124203013103,0.234375,64
Angelique,S04,tdca_mean,0.0076327361943627214,0.359375,64
Angelique,S05,tdca_mean,1.6937819348254333,0.046875,64
Angelique,S07,tdca_mean,-0.03423944349808541,0.484375,64
Angelique,S08,tdca_mean,1.5929610583053009,0.015625,64
Angelique,S09,tdca_mean,-0.39388236144669964,0.609375,64
Angelique,S10,tdca_mean,0.3599885130457031,0.390625,64
Angelique,S11,tdca_mean,0.45760968194892365,0.515625,64
Angelique,S13,tdca_mean,-0.1518182929908892,0.546875,64
Angelique,S15,tdca_mean,-0.16980830056881138,0.515625,64
Angelique,S16,tdca_mean,0.3217014093932025,0.328125,32
Angelique,S18,tdca_mean,0.0004186601915848968,0.421875,64
Angelique,S19,tdca_mean,-2.28577000272696,0.984375,64
Angelique,S21,tdca_mean,-1.1628351780735962,0.859375,64
Angelique,S22,tdca_mean,-0.8664355846782881,0.765625,64
Angelique,S23,tdca_mean,1.3686161864335022,0.078125,64
Angelique,S24,tdca_mean,0.2298724519092138,0.484375,64
Angelique,S25,tdca_mean,-0.5169960753454123,0.671875,64
Angelique,S26,tdca_mean,0.7653326642633078,0.203125,64
Angelique,S27,tdca_mean,0.42194445655922125,0.359375,64
Angelique,S28,tdca_mean,-0.6649156922384457,0.640625,64
Angelique,S29,tdca_mean,-0.1313072970008156,0.609375,64
Angelique,S31,tdca_mean,-0.8770672011386826,0.765625,64
Angelique,S32,tdca_mean,-0.5256531601835611,0.609375,64
Angelique,S33,tdca_mean,1.3420518348996187,0.078125,64
Angelique,S34,tdca_mean,0.018487238156958324,0.421875,64
Angelique,S35,tdca_mean,-0.2769185549154547,0.546875,64
Angelique,S37,tdca_mean,0.9556026976671267,0.203125,64
Angelique,S38,tdca_mean,0.4478258378696807,0.234375,64
Talia,S01,tdca_mean,-0.6302770629501957,0.6875,16
Talia,S02,tdca_mean,-0.45687641468380435,0.6875,16
Talia,S03,tdca_mean,-0.6314586866362232,0.6875,16
Talia,S04,tdca_mean,-0.16287312652903507,0.6875,16
Talia,S05,tdca_mean,-0.006172978784803376,0.4375,16
Talia,S06,tdca_mean,-1.828038803835713,0.9375,16
Talia,S07,tdca_mean,0.1576896240222327,0.4375,16
Talia,S08,tdca_mean,-0.29989537604552075,0.5625,16
Talia,S09,tdca_mean,0.5563295300264619,0.3125,16
Talia,S10,tdca_mean,-0.48028892618711905,0.6875,16
Talia,S11,tdca_mean,-1.2618836477383835,0.9375,16
Talia,S12,tdca_mean,0.8035576407842124,0.1875,16
Talia,S13,tdca_mean,0.9275383774958388,0.3125,16
Talia,S14,tdca_mean,-0.20254905393348968,0.4375,16
Talia,S15,tdca_mean,1.5016897407224554,0.0625,16
