dataset,subject,arm,stat,z,p,p_two,n_assignments
Angelique,S02,disc,0.00040702851600870954,1.0436848627537292,0.1640625,0.328125,64
Angelique,S03,disc,0.00017676889524686004,0.3884000526940001,0.3984375,0.796875,64
Angelique,S04,disc,2.8027552379412957e-05,0.14901039618084655,0.4296875,0.859375,64
Angelique,S05,disc,-0.0005089521674634875,-1.6276424540195775,0.9609375,0.078125,64
Angelique,S07,disc,0.0009459367210212584,1.8828244000642627,0.0546875,0.109375,64
Angelique,S08,disc,0.0003353395283546244,1.356015179577515,0.1171875,0.234375,64
Angelique,S09,disc,0.0002592705432761782,1.0885419432997876,0.1171875,0.234375,64
Angelique,S10,disc,7.904999642131469e-05,0.25036122011581186,0.3515625,0.703125,64
Angelique,S11,disc,0.00023653872249301778,0.941421634149198,0.1796875,0.359375,64
Angelique,S13,disc,0.0007499886381893352,1.6624721463869725,0.0390625,0.078125,64
Angelique,S15,disc,0.0010109878120073733,2.2052906548306153,0.0234375,0.046875,64
Angelique,S16,disc,0.0006781713246937797,0.9782228892061235,0.140625,0.28125,32
Angelique,S18,disc,-4.527449475675476e-05,-0.23519734685781546,0.5703125,0.859375,64
Angelique,S19,disc,0.00024860102566707674,0.8179225502663852,0.1953125,0.390625,64
Angelique,S21,disc,-0.0002653480244511181,-0.9201865593708448,0.7578125,0.484375,64
Angelique,S22,disc,8.528321127437453e-05,0.27985091968843817,0.4296875,0.859375,64
Angelique,S23,disc,0.00018539176050512678,1.0839921223163516,0.1328125,0.265625,64
Angelique,S24,disc,0.00011789149153352933,0.4343958740898154,0.3046875,0.609375,64
Angelique,S25,disc,-0.00013692943147215232,-0.552349821369247,0.7109375,0.578125,64
Angelique,S26,disc,0.0005564804752503576,2.1682416342905326,0.0078125,0.015625,64
Angelique,S27,disc,0.00033818923566723185,1.1827576214733688,0.1171875,0.234375,64
Angelique,S28,disc,0.00024697464892232436,0.5302493899520814,0.3203125,0.640625,64
Angelique,S29,disc,0.0003579669000605902,0.9902081465332406,0.1953125,0.390625,64
Angelique,S31,disc,0.000804766121588303,2.0264769671487137,0.0234375,0.046875,64
Angelique,S32,disc,0.0007584702654519888,2.2984390628748876,0.0078125,0.015625,64
Angelique,S33,disc,-8.046195525185243e-05,-0.30766954703209726,0.6328125,0.734375,64
Angelique,S34,disc,0.00040162997541276415,0.9052114251249985,0.2265625,0.453125,64
Angelique,S35,disc,0.00010760485048904103,0.2525204837033852,0.3828125,0.765625,64
Angelique,S37,disc,0.0006010205530262275,1.6383392051216878,0.0546875,0.109375,64
Angelique,S38,disc,-0.00017164408367391403,-0.8872451806815451,0.8515625,0.296875,64
Talia,S01,disc,0.0004918807312691697,1.430546334728134,0.03125,0.0625,16
Talia,S02,disc,0.000472663537513727,0.935483314535043,0.21875,0.4375,16
Talia,S03,disc,0.0007753444567036721,1.4721952391483424,0.03125,0.0625,16
Talia,S04,disc,-0.00037174638724061463,-0.616143862144753,0.65625,0.6875,16
Talia,S05,disc,0.00035570908397142146,0.4253181187620704,0.34375,0.6875,16
Talia,S06,disc,-0.0005408834429488267,-1.6509158514796247,0.96875,0.0625,16
Talia,S07,disc,0.00039565481589936375,0.9856091824832275,0.21875,0.4375,16
Talia,S08,disc,0.0004279942751925017,1.0293595451252264,0.15625,0.3125,16
Talia,S09,disc,0.0023878297539371277,1.870624117962816,0.03125,0.0625,16
Talia,S10,disc,0.0008427728773554148,1.3974971427466494,0.09375,0.1875,16
Talia,S11,disc,0.0005469911864261464,0.92183641987231,0.15625,0.3125,16
Talia,S12,disc,0.0010012665723226747,1.7418620163172507,0.03125,0.0625,16
Talia,S13,disc,0.00014916172007190757,0.5510920789046916,0.28125,0.5625,16
Talia,S14,disc,-0.0007817779178746365,-1.494033304754565,0.90625,0.1875,16
Talia,S15,disc,0.0009578219523739,1.9085632092999352,0.03125,0.0625,16
Angelique,S02,ctrl,-0.001828735397924327,-1.6871759588484159,0.9609375,0.078125,64
Angelique,S03,ctrl,0.0006452679583163418,1.1964708163014095,0.1484375,0.296875,64
Angelique,S04,ctrl,-0.0010363227472625462,-1.2340802127100818,0.8671875,0.265625,64
Angelique,S05,ctrl,0.0008161556356902334,0.9101725485253149,0.2265625,0.453125,64
Angelique,S07,ctrl,-0.003920523920167188,-2.2274333559174324,0.9921875,0.015625,64
Angelique,S08,ctrl,-0.0005136999771753331,-1.0358525633902926,0.8671875,0.265625,64
Angelique,S09,ctrl,0.0010075602387396273,0.930366010687833,0.2265625,0.453125,64
Angelique,S10,ctrl,0.0002510641895183156,0.20568874874158383,0.4609375,0.921875,64
Angelique,S11,ctrl,-0.0008462692956802296,-0.9337558194777305,0.7890625,0.421875,64
Angelique,S13,ctrl,0.0005625384320525231,0.8031998695621979,0.2421875,0.484375,64
Angelique,S15,ctrl,0.00022360346694857633,0.23896059347346207,0.3984375,0.796875,64
Angelique,S16,ctrl,-0.0009917554878721077,0.5933914035364413,0.203125,0.40625,32
Angelique,S18,ctrl,-7.374196026181971e-05,-0.20391579932720372,0.5703125,0.859375,64
Angelique,S19,ctrl,0.0017755428125615248,1.7636968370062396,0.0234375,0.046875,64
Angelique,S21,ctrl,-0.0023437556772382935,-2.0550166767221176,0.9921875,0.015625,64
Angelique,S22,ctrl,-0.0006401469751871583,-1.3464713089814475,0.9140625,0.171875,64
Angelique,S23,ctrl,-0.0003151399524798128,-0.2763906888382877,0.5546875,0.890625,64
Angelique,S24,ctrl,-8.974725332148645e-05,-0.07363434035413148,0.5703125,0.859375,64
Angelique,S25,ctrl,-4.8827599565175704e-05,-0.0974682301086421,0.5390625,0.921875,64
Angelique,S26,ctrl,-7.61587796624533e-05,-0.06185032169520128,0.5078125,0.984375,64
Angelique,S27,ctrl,-0.0007269719052218171,-1.43434122122532,0.8984375,0.203125,64
Angelique,S28,ctrl,-0.0018495503130161618,-1.0739160111964352,0.8203125,0.359375,64
Angelique,S29,ctrl,-0.0013395628874190522,-1.228480653451736,0.8671875,0.265625,64
Angelique,S31,ctrl,-4.443322167297335e-05,-0.03211759323999877,0.5078125,0.984375,64
Angelique,S32,ctrl,0.0005189802159904855,0.37611795628545247,0.3515625,0.703125,64
Angelique,S33,ctrl,0.0006775094440935152,0.9343725097782212,0.2109375,0.421875,64
Angelique,S34,ctrl,0.0022708253955145826,2.062081610670916,0.0078125,0.015625,64
Angelique,S35,ctrl,0.0011081115271711086,3.1299158360352375,0.0078125,0.015625,64
Angelique,S37,ctrl,-0.0002132902096883679,-0.18982573414713153,0.5390625,0.921875,64
Angelique,S38,ctrl,-0.00033240472641342606,-0.9470949983530926,0.8515625,0.296875,64
Talia,S01,ctrl,0.0011211871440635892,2.281579070903383,0.03125,0.0625,16
Talia,S02,ctrl,0.0030574789922530373,1.888891385995935,0.03125,0.0625,16
Talia,S03,ctrl,-0.00016703202306141314,-0.07710909372435704,0.53125,0.9375,16
Talia,S04,ctrl,2.0327788435455484e-05,0.031199432286452628,0.46875,0.9375,16
Talia,S05,ctrl,0.0013977559385128582,0.9388943214638973,0.28125,0.5625,16
Talia,S06,ctrl,-0.0011073391815797032,-0.8720647383185914,0.78125,0.4375,16
Talia,S07,ctrl,-0.0009575040808919577,-1.3150641429760639,0.90625,0.1875,16
Talia,S08,ctrl,-0.0013966689150117532,-1.0902854142236365,0.84375,0.3125,16
Talia,S09,ctrl,-0.000615198947556253,-0.45850411649555833,0.71875,0.5625,16
Talia,S10,ctrl,-0.00030989464804580605,-0.2166856754188027,0.71875,0.5625,16
Talia,S11,ctrl,-0.0012785644942092753,-1.0704163107683562,0.84375,0.3125,16
Talia,S12,ctrl,-0.0016887971923908087,-0.4655123236517682,0.65625,0.6875,16
Talia,S13,ctrl,-0.00026999257539386465,-0.3145938774072151,0.65625,0.6875,16
Talia,S14,ctrl,-0.00021828042655794733,-0.3908717004278606,0.53125,0.9375,16
Talia,S15,ctrl,0.00042296660576872976,0.28796323132292195,0.40625,0.8125,16
