dataset,arm,contrast,scale,n,mean,t,p,wilcoxon_p,ties,pos,not_interpreted
D1,disc,L_RMS alone,z,30,0.7341519957503875,4.0660488488562585,0.0003342826865568107,0.0003449581563472748,0,24,
D1,disc,L_RMS alone,rank,30,0.7195171980882604,3.9586016666243085,0.0004476116775125433,0.00092419362693794,0,24,
D1,disc,ROI_RMS alone,z,30,0.28470333333333325,1.598560116484282,0.12075849060684708,0.20540969260036945,0,14,
D1,disc,ROI_RMS alone,rank,30,0.28920051680681585,1.6340375920817465,0.1130620744188699,0.2057563016020102,0,14,
D1,disc,A1 alone,z,30,0.9395493699813386,5.325130005394181,1.0276968616661017e-05,4.968419671058655e-05,0,23,
D1,disc,A1 alone,rank,30,1.003131290481272,4.998714312466347,2.5457133670693716e-05,0.0002750096002402038,0,22,
D1,disc,TDCA alone,z,30,0.8814914716949533,5.841852046057169,2.4601299243810484e-06,5.973502993583679e-06,0,26,
D1,disc,TDCA alone,rank,30,0.8213489838315734,6.235753325894648,8.359145500303028e-07,2.102997155205787e-05,0,25,
D1,disc,L_RMS - ROI_RMS,z,30,0.4494486624170541,2.707742512822274,0.011239910481768235,0.016431212425231934,0,21,False
D1,disc,L_RMS - ROI_RMS,rank,30,0.43031668128144435,2.4999701372223035,0.018326608853560033,0.026228994131088257,0,22,False
D1,disc,L_RMS - ROI_RMS,rank2,30,0.4129657009176243,1.7179822659984487,0.0964613390265082,0.140283040702343,0,18,False
D1,disc,TDCA - L_RMS,z,30,0.14733947594456603,0.7560405055549115,0.45572281541616794,0.42795460671186447,0,16,False
D1,disc,TDCA - L_RMS,rank,30,0.10183178574331318,0.5243085900203946,0.6040487729061896,0.761065473780036,0,16,False
D1,disc,TDCA - L_RMS,rank2,30,0.4345930565447557,2.1430593698927094,0.04062914755885119,0.08172400130179472,1,17,False
D1,disc,A1 - ROI_RMS,z,30,0.6548460366480051,2.8509915230009697,0.007946935644254157,0.00466480478644371,0,21,False
D1,disc,A1 - ROI_RMS,rank,30,0.7139307736744559,2.7643955168215286,0.009808551518323445,0.010598260909318924,0,21,False
D1,disc,A1 - ROI_RMS,rank2,30,1.0293410641120784,4.168657710003142,0.00025261624442374735,0.0007709689864627917,0,23,False
D1,disc,L_RMS - A1,z,30,-0.20539737423095114,-0.8307378568611783,0.41290920392406505,0.3817984350025654,0,14,False
D1,disc,L_RMS - A1,rank,30,-0.2836140923930115,-1.046976997389717,0.3037584413313849,0.2988441474735737,0,13,False
D1,disc,L_RMS - A1,rank2,30,-0.6163753631944541,-2.454762482809366,0.02033565443905425,0.020808050438464284,2,7,False
D1,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),z,30,-0.5075065607034392,-2.065806096639832,0.04788381492272128,0.0635564886033535,0,11,False
D1,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank,30,-0.6120989879311426,-2.3230337428107997,0.027395215447924864,0.0426517054438591,0,11,False
D1,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank2,30,-0.5947480075673225,-1.8349890507750664,0.07678420407084878,0.09194962680339813,0,12,False
D1,ctrl,L_RMS alone,z,30,-0.09981289157934632,-0.43790442068619223,0.6647000098100141,0.4521643426269293,0,12,
D1,ctrl,L_RMS alone,rank,30,-0.12098847785664792,-0.5371992939110579,0.595228193646938,0.3930464479185226,0,12,
D1,ctrl,ROI_RMS alone,z,30,0.5098833333333334,2.8623851001372542,0.00772836809792015,0.009301122277975082,0,21,
D1,ctrl,ROI_RMS alone,rank,30,0.5011765791895316,2.691533989629346,0.011684007393977163,0.011719220214269554,0,21,
D1,ctrl,A1 alone,z,30,-0.03358946715026767,-0.14971372139091293,0.882026862009937,0.9192965272814035,0,16,
D1,ctrl,A1 alone,rank,30,-0.045480881520598364,-0.2094133162666437,0.8355897609923518,0.8772803386203267,0,16,
D1,ctrl,TDCA alone,z,30,0.07077579839866202,0.4474055314291276,0.6579063747589485,0.7000329215079546,0,16,
D1,ctrl,TDCA alone,rank,30,0.14774495357889747,0.9357102360464171,0.3571495049403156,0.3985603128393512,0,16,
D1,ctrl,L_RMS - ROI_RMS,z,30,-0.6096962249126797,-1.6713887959544123,0.10540324632571017,0.06056523136794567,0,10,False
D1,ctrl,L_RMS - ROI_RMS,rank,30,-0.6221650570461797,-1.6778841938009048,0.10411658482942027,0.0635564886033535,0,9,False
D1,ctrl,L_RMS - ROI_RMS,rank2,30,-0.05269977260025724,-0.19333107691777224,0.8480474081571963,0.871207794174552,0,13,False
D1,ctrl,TDCA - L_RMS,z,30,0.17058868997800836,0.6203047197740192,0.5399015944074463,0.23665234446525574,0,19,False
D1,ctrl,TDCA - L_RMS,rank,30,0.26873343143554546,0.9856457898050908,0.3324595428167616,0.13473508320748806,0,19,False
D1,ctrl,TDCA - L_RMS,rank2,30,0.0014803053936797853,0.004759102263955568,0.9962353879712251,0.8936415915787894,0,16,False
D1,ctrl,A1 - ROI_RMS,z,30,-0.543472800483601,-2.189576211490113,0.036749293835773196,0.034536734223365784,0,10,False
D1,ctrl,A1 - ROI_RMS,rank,30,-0.5466574607101301,-2.1758521715427626,0.03785796959718467,0.03272089920938015,0,9,False
D1,ctrl,A1 - ROI_RMS,rank2,30,-0.2444453023060733,-1.1897121619418156,0.24380897506927807,0.23665234446525574,0,12,False
D1,ctrl,L_RMS - A1,z,30,-0.06622342442907864,-0.20535392670721478,0.8387302941306638,0.9838335812091827,0,15,False
D1,ctrl,L_RMS - A1,rank,30,-0.07550759633604963,-0.23422289171907024,0.8164576926681619,0.9753865135681143,0,15,False
D1,ctrl,L_RMS - A1,rank2,30,0.19174552970581613,0.7341200200392586,0.4687700110381271,0.28020169115939697,0,19,False
D1,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),z,30,0.7140614904616094,1.572528522582055,0.12667605442639399,0.029325857758522034,0,23,False
D1,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank,30,0.8153908921456755,1.8285684630986063,0.0777671710707617,0.027741437777876854,0,22,False
D1,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank2,30,0.24592560769975297,0.6089568175212065,0.5472942151265107,0.5561132747679949,0,16,False
D2,disc,L_RMS alone,z,15,0.7272595801004502,2.484964525305914,0.026216794611741957,0.05535888671875,0,12,
D2,disc,L_RMS alone,rank,15,0.7735255661824787,2.5566894407701306,0.022819346705055362,0.03180889833078469,0,12,
D2,disc,ROI_RMS alone,z,15,0.6024266666666666,2.2295249078570505,0.04266793504092912,0.04791259765625,0,13,
D2,disc,ROI_RMS alone,rank,15,0.5604363611059884,1.8157094101738556,0.09088795636020083,0.04492806466214981,0,13,
D2,disc,A1 alone,z,15,1.1800700383823968,7.800828389240536,1.8342803058748287e-06,0.00018310546875,0,14,
D2,disc,A1 alone,rank,15,1.2654647814686062,8.154140828489734,1.0958784200092875e-06,0.0005759149722064346,0,13,
D2,disc,TDCA alone,z,15,1.7366934055825112,19.469228528368077,1.5479624296926485e-11,6.103515625e-05,0,15,
D2,disc,TDCA alone,rank,15,1.5341205443525465,2.5851353014933228e+16,3.709007352208718e-223,0.00010751117672950054,0,15,
D2,disc,L_RMS - ROI_RMS,z,15,0.12483291343378364,0.5818193234013743,0.5699391611017731,0.45428466796875,0,8,False
D2,disc,L_RMS - ROI_RMS,rank,15,0.21308920507649035,0.952915900181666,0.35679655016778256,0.3457785861511603,3,8,False
D2,disc,L_RMS - ROI_RMS,rank2,15,0.4190832325256618,1.2521565292883483,0.23102810576710844,0.2533223899687097,3,8,False
D2,disc,TDCA - L_RMS,z,15,1.0094338254820612,3.2072882969983496,0.0063281452982313705,0.00335693359375,0,12,False
D2,disc,TDCA - L_RMS,rank,15,0.7605949781700675,2.5139507139851367,0.024789087771394186,0.022489834918143884,0,10,False
D2,disc,TDCA - L_RMS,rank2,15,0.7916987397683328,3.9450819568615874,0.0014658565953189187,0.007473541540877041,6,9,False
D2,disc,A1 - ROI_RMS,z,15,0.57764337171573,1.92006190219613,0.07545953095152558,0.1688232421875,0,8,False
D2,disc,A1 - ROI_RMS,rank,15,0.7050284203626177,2.0217860426589356,0.06274165198681565,0.09872045766777865,0,8,False
D2,disc,A1 - ROI_RMS,rank2,15,0.9421262094100544,2.984320352684789,0.009852955727086225,0.014978337753425037,6,8,False
D2,disc,L_RMS - A1,z,15,-0.45281045828194644,-1.2801965643980813,0.22128186377951936,0.42120361328125,0,7,False
D2,disc,L_RMS - A1,rank,15,-0.4919392152861272,-1.33117758473306,0.20440269114911483,0.19046019313514295,0,7,False
D2,disc,L_RMS - A1,rank2,15,-0.5230429768843926,-1.9973236013633766,0.06560720029543356,0.07479137758694414,6,2,False
D2,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),z,15,0.43179045376633096,1.8773712864364134,0.08146103996737063,0.1353759765625,0,10,False
D2,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank,15,0.055566557807449936,0.2361023875691377,0.8167723988328637,0.7835711252143678,3,7,False
D2,disc,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank2,15,-0.1504274696417216,-0.46281023576261787,0.6506121569443671,0.721447272762191,4,6,False
D2,ctrl,L_RMS alone,z,15,-0.056171996762641375,-0.2084630089500171,0.8378698731905467,0.389404296875,0,5,
D2,ctrl,L_RMS alone,rank,15,-0.1075861238940438,-0.44008267398110135,0.6665952931594252,0.33320242324960236,0,5,
D2,ctrl,ROI_RMS alone,z,15,-0.24859333333333336,-1.017408780211212,0.3262199609859984,0.359130859375,0,6,
D2,ctrl,ROI_RMS alone,rank,15,-0.1242022533058545,-0.5073999561993268,0.6197729450869847,0.5309680550316693,0,6,
D2,ctrl,A1 alone,z,15,-0.264399288282449,-1.1035663549682262,0.28838932038330384,0.33026123046875,0,6,
D2,ctrl,A1 alone,rank,15,-0.31128440363048976,-1.3873509267606474,0.18702432961561807,0.2184791715542289,0,6,
D2,ctrl,TDCA alone,z,15,-0.1342339442848724,-0.6105087901553863,0.5513076652554341,0.48870849609375,0,5,
D2,ctrl,TDCA alone,rank,15,-0.11991212329715581,-0.5666753246223498,0.5799069234160843,0.5452063973972339,0,7,
D2,ctrl,L_RMS - ROI_RMS,z,15,0.19242133657069196,0.55025986493278,0.5908131604618027,0.67877197265625,0,8,False
D2,ctrl,L_RMS - ROI_RMS,rank,15,0.016616129411810683,0.048984443859547096,0.961623665111636,0.8752340238797087,3,6,False
D2,ctrl,L_RMS - ROI_RMS,rank2,15,-0.24203862704973786,-0.7263661040985783,0.4795834076946746,0.43188067365799454,3,5,False
D2,ctrl,TDCA - L_RMS,z,15,-0.07806194752223099,-0.22791992763813648,0.8230036359164099,0.93408203125,0,7,False
D2,ctrl,TDCA - L_RMS,rank,15,-0.012325999403112024,-0.039146342829329425,0.9693264723538448,0.7332196494460775,0,8,False
D2,ctrl,TDCA - L_RMS,rank2,15,0.0033373376077033318,0.008761225892261464,0.9931332650730784,1.0,0,8,False
D2,ctrl,A1 - ROI_RMS,z,15,-0.015805954949115762,-0.04144183157112499,0.9675288904040376,0.890380859375,0,7,False
D2,ctrl,A1 - ROI_RMS,rank,15,-0.18708215032463524,-0.5164412939690289,0.6136067724015555,0.638671875,0,6,False
D2,ctrl,A1 - ROI_RMS,rank2,15,-0.4300735697753684,-2.185509109308961,0.04634096885537545,0.054334582503651106,3,3,False
D2,ctrl,L_RMS - A1,z,15,0.20822729151980782,0.47399105522731044,0.6428136016426835,0.803955078125,0,8,False
D2,ctrl,L_RMS - A1,rank,15,0.20369827973644608,0.5115747376236106,0.6169220237321903,0.7332196494460775,0,8,False
D2,ctrl,L_RMS - A1,rank2,15,0.1880349427256306,0.5282239227723526,0.6056164181852897,0.5757537147907794,2,6,False
D2,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),z,15,-0.06225599257311527,-0.1915614193642783,0.850836275128353,1.0,0,7,False
D2,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank,15,0.17475615092152322,0.5385068068250769,0.5986856354217794,0.638671875,0,9,False
D2,ctrl,interaction (TDCA-A1)-(L_RMS-ROI_RMS),rank2,15,0.43341090738307175,1.1684828033332515,0.26212505907068695,0.32015779990933857,0,8,False
